SKU,Description,Size,imgurl1,productname
 H 05,"
                        	Exercising Ball
                            Code: H 05
                            Sizes Available: OR / NR
                            Exercising ball is an excellent physiotherapy device to provide a pleasurable exercise plan for the hand, wrist, forearm and the fingers

Safe and inert
High patient compliance
Excellent resilience for a long functional life .
Compatible in thermal/hydrotherapy

Salient feature

Ergonomic design and materials 

Two resistances available- Ortho (hard) &amp; Neuro (soft)
Compatible for thermal/hydrotherapy
Flexible and pleasurable exercise schedules can be planned
Better compliance
Inert PU material, safe to use
Excellent resilience, offers longer life.



						", OR ; NR,http://www.tynorindia.com/wp-content/uploads/2012/02/H-05.jpg,Exercising Ball
 A-13,"
                        	Taylor Brace (Short /Long Type)
                            Code: A-13
                            Sizes Available: UN /  Spl Size
                            Taylor Brace is a light weight spinal brace, covers all dorsal, lumbar and sacral vertebras, supports and immobilizes the spine in neutral position, still permitting the requisite body movement.

Customizable
High Comfort
Flexible sizing
Anatomical design
Excellent spine immobilization

Salient feature

Rigid ,anatomic Customizable, splints – Improves durability, maintains the spine in neutral position , Perfect fitting, Enhanced immobilization, Improved comfort.
Ergonomic design – Weakened dorsolumbar spine due to tuberculosis. - allows wearing and tightening of the brace by the patient without the aid of another person.
Adjustable Shoulder straps – Correct the shoulder posture, Ensure better fitting , Ensure no loosening , no slippage of the brace
Convenient sizing – Available in two heights, ensure better Dorso -lumbar immobilization. – One universal circumference , One size fits all due to large hook loop panel.
Double elastic panel – Allows better compression and fitting of the lumbo sacral region – Easy application and removal of the brace

						", UN ;  Spl Size,http://www.tynorindia.com/wp-content/uploads/2012/01/Talors-Brace.jpg,Taylor Brace (Short /Long Type)
 B 05,"
                        	Cervical Orthosis (Philadlphia) Ethafoam
                            Code: B 05
                            Sizes Available: S  /  M  /  L  /  XL
                            Cervical orthosis (Ethafoam) is an advanced collar with scientific design which ensures complete immobilization on one hand and perfect comfort on the other. It is called as a gold standard in cervical immobilization.

Ultimate comfort.
Perfect immobilization.
Anatomically moulded
Minimal contact surface
Hypoallergenic

 
Salient feature

Pre-formed chin

Provides rest to the chin, ensures comfort, improves immobilization.


Anatomical and balloon design

Offers perfect immobilization, minimal contact of the neck, allows use in burn or trauma patients.


Hypoallergenic materials

Ensures no rash or allergy even on prolonged use, compatible to geriatrics, better patient compliance .


Tracheotomy opening

Compatible to use of endotracheal tube, improves air ventilation, improves patient comfort and compliance.


Two piece design

Easy application, firm occipital support, option for varying rigidity.


Ethafoam

Light weight, better patient compliance, non absorbent ensures easy cleaning and maintenance.



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2011/12/B-05.jpg,Cervical Orthosis (Philadlphia) Ethafoam
 J 06,"
                        	Abs Wrap
                            Code: J 06
                            Sizes Available: Universal
                            Abs Wrap (Neoprene) supports and compresses the abdominal muscles for waist line reduction and is used as a post operative or post delivery aid.

Extra grip.
Versatile closing system
Optimal therapeutic warmth
Easy application.
Controlled compression.

 
Salient feature

Neoprene layer bonded with nylon fabric on both sides

Four way strechability and compression.
Ensures longer life.
Appealing aesthetics with color fastness.


Wrap around design and UBL closing system

Ensure easy application and removal
Customized compression and grip
Better sizing flexibility
Better fitting
Better support and wrist stabilization


Excellent workmanship

Appealing aesthetics.
Better compliance


Better compression

Tones up loose abdominal muscles after delivery.
Improves waist line



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/abs-wrap.jpg,Abs Wrap
 G 14,"
                        	Cervical Traction Kit (Sleeping) With Weight Bag
                            Code: G 14
                            Sizes Available: Universal
                            Cervical Traction Kit is a complete apparatus designed to provide traction to the cervical and upper dorsal vertebras. It relieves pressure by stretching the musculature and connective tissue components of the cervical spine. It expands the intervertebral joint space and relieves pressure on the anterior vertebral bodies. It allows you to enjoy the benefits of traction therapy at home. Cervical traction Kit includes the following bodies.
Traction Pulley Bracket, Cervical Traction Head Halter ,Cervical Traction Spreader Bar , Traction Cord 10 ft. ,Traction Weight Bag.

Convenient home use
Controlled continuous traction
Easy removal and application
Reduced frictional losses

Salient feature

Ergonomic design and materials 

Can be conveniently used at homes or hospitals.
Sturdy design for a long life and multiple use.
Can be used in sleeping posture.
Pulley is ergonomically designed to fit any door side.
Soft padded head halter provides a comfortable interface for the traction.




A complete solution 

Kit includes Traction Pulley Bracket. Cervical Traction Head Halter, Cervical Traction Spreader Bar, Traction Cord 10 ft., Traction Weight Bag.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/G-14.jpg,Cervical Traction Kit (Sleeping) With Weight Bag
 E 01,"
                        	Elastic Wrist Splint
                            Code: E 01
                            Sizes Available: S  /  M  /  L  /  XL
                            Elastic Wrist Splint is designed to immobilize and provide firm support to hand and wrist in various orthopedic conditions. It maintains the wrist in the dorsi flexion functional position while allowing full range of motion to fingers and thumb. The splint can be removed to permit, therapy sessions, washing and hygiene.

Malleable Splint.
Perfect Immobilization
Controlled compression.
Anatomical thumb opening.

 
Salient feature

High quality Elastic Webbing

Strong and durable
Porous and comfortable
High modulus of elasticity—- Retains shape and size for a long time.


Removable, Aluminum Splints

Customized fitting
Required degree of dorsi-flexion can be achieved
Very good grip and immobilization


Hook loop closures

Easy to apply and remove
Ensures optimal compression.


Built in opening for thumb abduction

Better pain relief and healing.
Thumb remains relaxed, no fatigue
mproves comfort



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/Elastic-wrist-splint.jpg,Elastic Wrist Splint
 E 30,"
                        	Forearm Splint
                            Code: E 30
                            Sizes Available: Universal
                            Forearm Splint is a long brace designed to provide splinting support to radius and ulna and immobilize, firmly the forearm in various orthopedic conditions. It maintains the wrist in the functional position.

Amphi-dextrous
Customizable splints
Perfect immobilization
Easy to use and remove

 
Salient feature

Aluminum dorsal and volar splints

Customizable for Improved immobilization


Rigid and strong – improves immobilization
Enhanced comfort
Perfect fitting
Light in weight


PUF lined Matty Fabric body

Durable
Enhance comfort
Better aesthetics


Long length

Improved immobilization
Can be used for mid forearm fractures


Two part design

Amphi-dextrous
One size fits all circumference
Easy to apply and remove
Desired compression



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/forearm-splint1.jpg,Forearm Splint
 E 03,"
                        	Wrist &amp; Forearm Splint (Right/Left)
                            Code: E 03
                            Sizes Available: S  /  M  /  L  /  XL
                            Wrist and Forearm Splint is designed to immobilize and provide firm and comfortable support to hand and wrist in various orthopedic conditions. It maintains the wrist in the functional position.

Aesthetically appealing.
Customizable splint.
Perfect immobilization.
Controlled compression.
Anatomical thumb opening.

 
Salient feature

Made out of PUF fused Matty fabric

Breathable
Excellent aesthetics
Improved comfort
Enhanced life.


Removable, Aluminum Splints

Customized fitting
Required degree of dorsi-flexion can be achieved
Very good grip and immobilization


Design features

Long length of the brace, ensures enhanced immobilization
Brace abuts the Palmer crease , allows free finger movement.
Elegant tabs , allow easy application and removal
Elegant tabs, also enhance the aesthetics of the product.
Black Color, enhances the aethetics


Hook loop closures

Easy to apply and remove
Ensures optimal compression ,


Built in opening for thumb abduction

Better pain relief and healing.
Thumb remains relaxed, no fatigue
Improves comfort



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/E-03.jpg,Wrist & Forearm Splint (Right/Left)
 E 11,"
                        	Elbow Support
                            Code: E 11
                            Sizes Available: S  /  M  /  L  /  XL
                            Elbow support provides firm compression, warmth &amp; support to the forearm and the elbow joint, to allay pain inflammation and stiffness, generally associated with old age, arthritis, sports injury etc.

Light weight
Four way stretch
Freely breathable
Soft and comfortable

 
Salient feature

Anatomically shaped with extra stretch at elbow

Easy elbow movement
Better comfort
Better compression and grip


Bilayered, cotton on the inside

Ensures dermophillic interphase with the skin,
More comfort
Better patient compliance


Bilayered, nylon on the outside

Long life
Excellent aesthetics
Color fastness
Retains body heat effectively
Quicker healing


Four-way stretch ability

Good grip and compression
Snug fitting



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/E-11.jpg,Elbow Support
 E 10,"
                        	Tennis Elbow Support
                            Code: E 10
                            Sizes Available: S  /  M  /  L  /  XL
                            Tennis Elbow Support is designed to help provide relief from generalized pain and tenderness in the forearm and elbow caused by repetitive strain injury due to strong grip or active finger movement. It’s quite often used by tennis players, golfers, racquet players, industrial workers etc.

Targeted pressure
Freely breathable
Custom compression and fit
Soft and comfortable

 
Salient feature

Made out of PUF fused fabric

Breathable
Excellent aesthetics
Improved comfort
Enhanced life


Design Superiority

Reverse buckle mechanism, ensure a strong grip and firm compression
Silicon pad interface, improves impact and vibration absorption
Silicon pad with projections, improve propioception, and healing
Smart and sporty aesthetics



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/E-10.jpg,Tennis Elbow Support
 E 29,"
                        	Hand Resting Splint (Right/Left)
                            Code: E 29
                            Sizes Available: Universal
                            						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/Hand-resting-Splint.jpg,Hand Resting Splint (Right/Left)
 E 05,"
                        	Wrist Brace with Double Lock
                            Code: E 05
                            Sizes Available: S  /  M  /  L
                            Wrist brace with double lock is designed to support, protect and partially immobilize the wrist. It compresses the area and retain the body heat to allay local pain and inflammation.

Extra grip.
Extra porous
Controlled compression.
Easy application.

 
Salient feature

High quality,  striped elastic webbing

Strong and durable
Porous and comfortable
High modulus of elasticity– Retains shape and size for a long time.
Excellent compressive strength, better support


Hook loop Double locking

Easy to apply and remove
Ensures optimal compression
Better fitting and universal sizing.



						", S  ;  M  ;  L,http://www.tynorindia.com/wp-content/uploads/2012/02/E-05.jpg,Wrist Brace with Double Lock
 E 06,"
                        	Wrist Brace with Thumb
                            Code: E 06
                            Sizes Available: Universal
                            Wrist brace with thumb is designed to support, protect and partially immobilize the wrist and the palm while allowing free and natural movement of the fingers.
It compresses the area and retains the body heat to allay local pain and inflammation.

Extra grip.
Extra porous
Controlled compression.
Anatomical thumb placement.

 
Salient feature

High quality , striped elastic webbing

Strong and durable
Porous and comfortable
High modulus of elasticity– Retains shape and size for a long time.
Excellent compressive strength, better support


Hook loop closures

Easy to apply and remove
Ensures optimal compression
Better fitting and universal sizing.


Anatomical thumb opening

Better pain relief and healing.
Thumb in abduction remains relaxed, no fatigue
Improves comfort
Allows free and natural movement of the thumb and fingers.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/E-06.jpg,Wrist Brace with Thumb
 D 01,"
                        	Ankle Binder
                            Code: D 01
                            Sizes Available: S  /  M  /  L  /  XL /  XXL
                            Ankle Binder is an effective device to support, compress and partially immobilize the ankle following ankle sprain to control pain, oedema or inflammation. Composed of two components, elasticized wrap. and compression sleeve, which is knitted on a 3 dimensional computer controlled circular looms. .

Soft Patella
Dual grip
Four way stretchable fabric
Controlled compression.
Convenient application

 
Salient feature

Anatomically shaped and reduced compression on patella

No Chondromalacia on prolonged use
Easy knee movement
Improved Comfort


Elasticized wrap in figure of eight

improves ankle stability.
Prevents inversion or aversion injuries.
Allows controlled compression and pain relief.


Bi-layered, cotton on the inside , a dermophillic interphase

Enhanced comfort
Better sweat absorption
No allergies or rash
Better patient compliance.


Bi-layered, nylon on the outside

Ensures long life
Excellent aesthetics
Color fastness.
Retains body heat effectively.
Speeds up healing
Allays pain


Four-way stretchable fabric

Effective compression
Enhanced comfort.
No vaso constriction.
Adjusts compression even on uneven diameters



						", S  ;  M  ;  L  ;  XL ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Ankle-Binder.jpg,Ankle Binder
 D 06,"
                        	Knee Cap (with Rigid Hinge)
                            Code: D 06
                            Sizes Available: S  /  M  /  L  /  XL
                            Knee Cap (with Rigid Hinge) a versatile device which offers the advantage of compression around the knee and the support of a side splint, while allowing normal flexion of knee.

Extra strap for secured fitting
Side splinting with free flexion movement
Double layered and four way stretch fabric
Hinge, mimics the motion of natural knee joint

 
Salient feature

Rigid hinges

Rigid side splinting
Free flexion movement


Bilayered, cotton on the inside

Ensures dermophillic interphone with the skin,
More comfort
Better patient compliance


Bilayered, nylon on the outside

Long life
Excellent aesthetics
Color fastness.
Better comfort


Anti tourniquet effect

No constriction to blood flow, on one hand
Better grip to the body on the other



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/D-06.jpg,Knee Cap (with Rigid Hinge)
 G 05,"
                        	Leg Traction Brace
                            Code: G 05
                            Sizes Available: S  /  M  /  L
                            Leg traction brace is a traction halter applied to the leg for below knee traction. It offers a distinct advantage of a very large holding surface area, ease of application and removal , reuse and patient comfort.

Easy application &amp; removal
Can be used for geriatric/ weak skin
Ideal for sensitive skins.
Easy monitoring
Distributes pressure evenly

Salient feature

Three-layered PU bonded fabric offers:

Soft feel and plush looks through the top layer.
Comfortable cushioning through the middle
Polyurethane layer.
Inner layer provides good frictional characteristics.


Multiple hook loop closures

Ensure controlled compression.
Easy application and removal
No loosening, less monitoring


Large skin contact area 

Ensures no vaso-constriction.
Eliminates need of an adhesive.
Convenient and quick to apply
Ensures no skin peeling.
Ideal for weak or geriatric skins



						", S  ;  M  ;  L,http://www.tynorindia.com/wp-content/uploads/2012/02/G-05.jpg,Leg Traction Brace
 D 07,"
                        	Knee Cap Open Patella (Single)
                            Code: D 07
                            Sizes Available: S  /  M  /  L  /  XL
                            Knee Cap open patella is a compression tubular support used in orthopaedic practice to provide firm compression warmth &amp; support to the limbs and joints, to allay pain and inflammation, generally associated with old age, arthritis, sports injury etc.

Silicon patellar insert
Four way stretch
Freely breathable
Soft and comfortable

 
Salient feature

Made from high quality nylon

Ensures longer life.
Appealing aesthetics
Offers color fastness.


Four-way stretch ability

Good grip and compression
Snug fitting
No bunching at the back.
Better comfort..


Special interlocking weave and single spiral elastic yarn , double layered

Uniform compression even on uneven limb surface.
Warmth improves healing.
Provides firm support and gentle compression.


Anterior patellar opening

Relieves patellar pressure.
Positions patella in patellar dislocations.


Silicon patellar padding

Propioception.
Massages, increases blood flow, quick healing.
Compresses and supports patellar tendon.



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/D-07.jpg,Knee Cap Open Patella (Single)
 D 02,"
                        	Ankle Brace
                            Code: D 02
                            Sizes Available: CH  /  S  /  M /  L
                            Ankle brace is designed to support, stabilize, and limit the range-of-motion of the ankle joint. In injury, or offer protection to people who are prone to ankle injuries. It uses the triple action of straps, laces and rigid lateral natomical splints to provide optimal ankle stabilization.

Rigid Splinting
Fits left &amp; right.
Easy to wear
Controlled compression.
Comfortable sung fit.

 
Salient feature

Triple stabilization

Splint ensure strong immobilization
Lace offers regional tightening, firm grip and good fitting.
“Figure of eight” strap provides additional binding and
stabilization. It provides extra protection to lateral ligaments.


Ergonomic design with Lace pull mechanism

Single pull tightening and loosening
Easy to wear and remove.
Sleek — can be used inside the shoe
Bilateral symmetry — can be used for either ankle


Rigid anatomic PP splint

Ensures strong Immobilization of both dorsi-flexion and plantar flexion.
Provides room for the malleolus
Enhances grip and comfort
Light in weight — enhances compliance. .


Made of Polyester matte fabric and PU lined fabric

Enhances durability
Provides appealing aesthetics
High cushioning coefficient
Better comfort.



						", CH  ;  S  ;  M ;  L,http://www.tynorindia.com/wp-content/uploads/2012/01/D-02.jpg,Ankle Brace
 D 09,"
                        	Functional Knee Support
                            Code: D 09
                            Sizes Available: S  /  M  /  L  /  XL / XXL
                            Functional knee Support is an anterior opening device, which offers the advantage of controlled compression around the knee and a rigid lateral support and immobilization. It allows normal flexion and free movement of the knee joint.

Anterio Open able
Easy application
Controlled compression.
Perfect lateral splinting.
Anatomical design

 
Salient feature

Bi axial heavy duty aluminum hinge

Mimics the natural knee joint
Ensures full weight bearing.
Allows free flexion movement


Four way stretchable fabric

Controlled and comfortable compression
No buckling
No vaso constriction
Enhanced comfort


Open patella design

Release patellar pressure
Hold the patella in position
Can be used for Patellofemoral diseases


Wrap design with anterior closing

Easy application and removal on swollen or asymmetric knees
Easy application and removal for weak or geriatric patients.
Allows customized compression
Offers flexibility in sizing


Ergonomic design

Anti tourniquet effect — ensures no constriction to blood flow
Better grip of the product to the body.
Anatomic construction— Better functionality and Snug fit.



						", S  ;  M  ;  L  ;  XL ; XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/D-09.jpg,Functional Knee Support
 D 03,"
                        	Anklet (Pair)
                            Code: D 03
                            Sizes Available: S  /  M  /  L  /  XL
                            Anklets are tubular supports widely used in orthopedic practice to provide mild compression, warmth &amp; support to the ankle joint, to allay pain and inflammation generally associated with old age, arthritis, sports etc.

Four way stretch
Two layered fabric
Hypoallergenic
Uniform compression
Simple pull on application

 
Salient feature

Bilayered , cotton on the inside

Dermophillic interpahse with the skin
Better sweat absorption
Better comfort
Better patient compliance.
No allergies or rash


Bilayered, nylon on the outside

Ensures long life
Excellent aesthetics
Color fastness.
Two layers enclose air space retains body heat effectively
Provides therapeutic warmth and assuring support to the knee.


Four-way stretchable seamless tubular fabric

Effective compression
Enhanced comfort.
No vaso constriction.
Adjusts compression even on uneven diameters
Simple pull on application improves patient compliance.



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/D-03.jpg,Anklet (Pair)
 D 04,"
                        	Knee Cap (Pair)
                            Code: D 04
                            Sizes Available: S  /  M  /  L  /  XL / XXL
                            Knee Caps are tubular supports widely used in orthopaedic practice to provide mild compression warmth &amp; support to the limbs and joints, to allay pain and inflammation, generally associated with old age, arthritis, sports injury etc.

Hypoallergenic
Four way stretch
Uniform compression
Simple pull on application

 
Salient feature

Bilayered , cotton on the inside

Dermophillic interpahse with the skin
Better sweat absorption
Better comfort
Better patient compliance.
No allergies or rash


Bilayered, nylon on the outside

Ensures long life
Excellent aesthetics
Color fastness.
Two layers enclose air space retains body heat effectively
Provides therapeutic warmth and assuring support to the knee.


Four-way stretchable seamless tubular fabric

Effective compression
Enhanced comfort.
No vaso constriction.
Adjusts compression even on uneven diameters



						", S  ;  M  ;  L  ;  XL ; XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Knee-Cap.jpg,Knee Cap (Pair)
 D 08,"
                        	Elastic Knee Support
                            Code: D 08
                            Sizes Available: S  /  M  /  L  /  XL
                            Elastic knee Support is a versatile knee support which offers the advantage of controlled compression around the knee and a rigid lateral immobilization and support of a splint. It allows normal flexion and free movement of the knee joint.

Patellar Opening.
Easy application.
Controlled compression.
Perfect lateral splinting.
Mimics movement of natural joint.

 
Salient feature

Strong aluminum Hinges

Rigid side splinting
Free flexion movement.


Open patella design

Release patellar pressure.
Hold the patella in position
Can be used for Patellofemoral diseases


Wrap design

Easy application and removal on swollen or asymmetric knees
Easy application and removal for weak or geriatric patients.
Allows customized compression
Offers flexibility in sizing


Patellar cushion

Improves patient comfort
Improves compression
Improves grip of the product


Large dorsal opening

Ensures no buckling on bending
No vaso constriction on the dorsal area
Improves patient comfort and compliance.



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/elastic-knee-support.jpg,Elastic Knee Support
