stock,Video,description,SP,,imgurl,productname,imgurl2,imgurl3,imgurl4,imgurl5,imgurl6,imgurl7,imgurl8,imgurl9,imgurl10,
"In Stock,0.6 L,
,
,
,
,
,
,
,
,Worth the admittedly high selling price. Light weight, well made and well insulated. The spout is completely drip free. Perfect for long rides.","http://www.youtube.com/embed/lBOat-ogh7o,http://www.youtube.com/embed/eATl8ZPRp7g","The Podium Chill Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Lightweight, easy-squeeze bottle delivers the right flow to quench your thirst.
TruTaste™ Polypropylene lets you taste your water, not your plastic bottle.
Anti-microbial HydroGuard™ ensures that there is no fungal growth.
First insulated bottle to be team issue at the Tour de France.
Innovative, self-sealing Jet ValveTM eliminates splatters and spills.
Also keeps warm beverages warm during cool weather rides.
Positive lockout for leakproof transport.
",Rs.899,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/52269_S12_6185_V1_300.jpg?itok=jwfIuz1-,Podium® Chill,http://www.camelbakindia.com/cbi/sites/default/files/bottles-podium-chill-race-edition-large-300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/52283_S13_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/bottles-podium-chill-21oz-clear-carbon-w10-300-jpg.jpg,http://www.camelbakindia.com/cbi/sites/default/files/52270_S12_6195_V1_300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/bottles-podium-chill-21oz-clear-racing-red-w10-300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-bottles-outdoor-chill-green-intl-only-300-jpg.jpg,http://www.camelbakindia.com/cbi/sites/default/files/52272_S12_A200_V1_300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-bottles-outdoor-chill-black-intl-only-300-jpg.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-bottles-outdoor-chill-blue-intl-only-300-jpg.jpg,http://www.camelbakindia.com/cbi/sites/default/files/rec-bottles-outdoor-chill-red-intl-only-300-jpg.jpg
"In Stock,
,
",,"FEATURES
• Big Bite™ Valve’s one-piece, silicone design self-seals to prevent leaks
• Fits CamelBak® Better Bottle™, Better Bottle™ Stainless and Performance Bottle
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90746_S12_V1.jpg?itok=pDTuAEYI,Better™ & Performance Bottle Bite Valve Multi-pack,,,,,,,,,,
"In Stock,0.75L,
,
,
,
,
,
","http://www.youtube.com/embed/0tQybd45VUU,http://www.youtube.com/embed/kxSshPDK4lI,http://www.youtube.com/embed/MNAjn-tcit8","The Better Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Flip, Bite-N-Sip: Our bottle Bite Valve's proven design contains no moving parts. Simply bite and sip- no tilting required (though possible: just remove the straw).
Simple to Carry: The integrated handle makes it easy to clip a carabiner or carry with the crook of a finger.
The Perfect Size: Cap fits most other bottles, bottle attaches to most water filters, fits most cup holders.
Dishwasher Safe: Disassemble the parts and your bottle is safe to clean in the top rack of your dishwasher.
Spill-Proof: Our bottle won't spill even if it is left in the open position.
","Rs.1,199",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/Better_bottle_75l_clear_53390_S12_6100_V1.jpg?itok=ZNiPaw2r,Better Bottle™,http://www.camelbakindia.com/cbi/sites/default/files/bottles-better-bottle-75-forest-2010-300-jpg.jpg,http://www.camelbakindia.com/cbi/sites/default/files/Better_Bottle_Tangerine.jpg,,,,,,,,
"In Stock,0.6L,
,
,
,
,
,
","//www.youtube.com/embed/zkbxeGJSvhw,http://www.youtube.com/embed/eATl8ZPRp7g","THE SPORTS BOTTLE REINVENTED !!
The Podium Bottle is 100% BPA-Free, so it's healthier from the very first sip. Lightweight, easy-squeeze bottle delivers the right flow to quench your thirst.
Water Volume: 21 oz (610 ml)
KEY FEATURES
- Spill-proof, self-sealing Jet Valve™
- New removable Jet Valve for easy cleaning
- Positive lockout for leakproof transport
- Lightweight, easy-squeeze bottle
- BPA-Free, TruTaste™ Polypropylene with HydroGuard™
DRINK INTERFACE: Jet Valve™ - Innovative, self-sealing Jet Valve™ eliminates splatters and spills.
BOTTLE MATERIAL: BPA-Free TruTaste™ Polypropylene - lets you taste your water, not the plastic of your bottle. Anti-microbial HydroGuard™ greatly reduces chances of fungal growth.
",Rs.699,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/S14_Podium21_Garmin_0.jpg?itok=DET7nS-Z,Special Edition Podium® Bottle 21 oz,,,,,,,,,,
"In Stock,0.6L,
,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/h5WerDY9LnM,http://www.youtube.com/embed/kxSshPDK4lI,http://www.youtube.com/embed/MNAjn-tcit8","0.6 Litre spill-proof bottle for hydration on the go. The Eddy Insulated is 100% BPA-Free, so it's healthier from the very first sip.
Flip, Bite-N-Sip: Our Bottle's Bite Valve's proven design contains no moving parts. Redesigned cap and bite valve provide faster flow and enhanced durability. New, redesigned bottle shape.
Double-Wall Bottle keeps water cool (up to 2-3 hours) and reduces condensation.
Simply bite and sip- no tilting required (though possible: just remove the straw).
Simple to Carry: The integrated handle makes it easy to clip a carabiner or carry with the crook of a finger.
The Perfect Size: Cap fits most other bottles, bottle attaches to most water filters, fits most cup holders.
Dishwasher Safe: Disassemble the parts and your bottle is safe to clean in the top rack of your dishwasher.
Spill-Proof: Our bottle won't spill even if it is left in the open position.
Bottle Material: BPA-Free Eastman Tritan™
","Rs.1,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53378_S12_7700_V1.jpg?itok=aCWJOGen,Eddy™ Insulated,http://www.camelbakindia.com/cbi/sites/default/files/53380_S12_0100_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53377_S12_6200_V1.jpg,,,,,,,,
"In Stock,0.7 L,
,
,
,
,
,
","http://www.youtube.com/embed/23DPe7lSzPU,http://www.youtube.com/embed/eATl8ZPRp7g","The Podium Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Innovative, self-sealing Jet Valve™ eliminates splatters and spills.
Lightweight, easy-squeeze bottle delivers the right flow to quench your thirst.
TruTaste™ Polypropylene lets you taste your water, not your plastic bottle.
Anti-microbial HydroGuard™ ensures that there is no fungal growth.
Positive lockout for leakproof transport.
",Rs.699,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/52274_S12_6141_V1_300.jpg?itok=ZOarUl4i,Podium® Bottle 24 oz,http://www.camelbakindia.com/cbi/sites/default/files/52268_S12_6995_V1_300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/52267_S12_6185_V1_300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/bottles-podium-24oz-frost-carbon-300.jpg,http://www.camelbakindia.com/cbi/sites/default/files/bottles-podium-24oz-clear-carbon-300.jpg,,,,,,
"In Stock,0.6L,
,
,
,
,
,
","http://www.youtube.com/embed/23DPe7lSzPU,http://www.youtube.com/embed/eATl8ZPRp7g","The Podium Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Innovative, self-sealing Jet Valve™ eliminates splatters and spills.
Lightweight, easy-squeeze bottle delivers the right flow to quench your thirst.
TruTaste™ Polypropylene lets you taste your water, not your plastic bottle.
Anti-microbial HydroGuard™ ensures that there is no fungal growth.
Positive lockout for leakproof transport.
",Rs.599,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/S13_Podium_Yellow.jpg?itok=ng7bjuOo,Podium® Bottle 21 oz,http://www.camelbakindia.com/cbi/sites/default/files/Podium21_Red.jpg,http://www.camelbakindia.com/cbi/sites/default/files/S12_Podium_Pink.jpg,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
",,"#1 Hydration pack since its debut, the M.U.L.E. is perfect for any day on the trail.
Includes NEW 100 oz (3 L) Antidote™ Reservoir with Quick Link™ System — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 100 oz (3 L)
Total Capacity: 671cu in / 11L + 3L Reservoir
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
BACK PANEL: XV™
HARNESS: Independent Suspension™ with Slider™ Sternum Strap
BELT: Removable 20mm / .75” stability
KEY FEATURES
• Helmet hook
• Four point compression
• Media pocket
• Overflow storage
• Bike tool organizer pocket
FABRIC SPECS
70D Diamond Clarus &amp; 420 Nylon with DWR + 1000 mm PU
","Rs.6,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62067-IN_S13_V1.jpg?itok=1Yc69LiI,M.U.L.E.®,http://www.camelbakindia.com/cbi/sites/default/files/62064-IN_S14_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/62220-IN_S14_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/S13_Bike_HelmetHook.jpg,http://www.camelbakindia.com/cbi/sites/default/files/S13_Bike_MediaPocket.jpg,http://www.camelbakindia.com/cbi/sites/default/files/S13_BikeToolOrganizerPocket.jpg,,,,,
"In Stock,
",,"An innovative way to keep your delivery tube and reservoir clean. Includes reservoir brush and tube brush for a complete cleaning solution.
",Rs.899,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90640_S12_0000_V1_300.jpg?itok=jGNDqXpv,Cleaning Kit Brush,,,,,,,,,,
"In Stock,2014,
,
,
,
",,"Lightweight run belt contoured to hug your hand making hydrating fast and easy.
CARGO CAPACITY
15 cu in / .25L + 10 oz bottle
KEY FEATURES
• 10 oz Podium Arc Bottle
• Essentials pocket
• Front and back reflectivity
FABRIC SPECS
70D Diamond Clarus with DWR + 1000 mm PU &amp; 320g Air Mesh
","Rs.1,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62074-IN_S13_V1.jpg?itok=diMjT9aF,ARC QUICK GRIP™,,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
",,"This versatile insulated reservoir sleeve adds hours of hydration to any pack.
Includes NEW 70 oz (3 L) Antidote™ Reservoir — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 100 oz (3 L)
KEY FEATURES
• External fill
• Carry handle/hanger loop
• Insulated reservoir sleeve
• Zippered tube access
• Attachment points
Designed to Carry: Water
Fabric Specs: 70D Diamond Clarus &amp; 420 Nylon with DWR + 1000 mm PU
","Rs.3,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/61613_S12_V1.jpg?itok=OOzqEGDt,UNBOTTLE™ 3L,,,,,,,,,,
"In Stock,
,
",,"The patented Big Bite™ Valve mouthpiece offers Hands-Free Hydration and is ideal for any high-performance situations. Easy to use just bite and sip! Self-seals after each drink to eliminate annoying drips.
One-piece silicone design includes no moving parts to break.
",Rs.499,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90011_S12_0000_V1_300.jpg?itok=8ooZlVG6,Big Bite™ Valve,,,,,,,,,,
"In Stock,2013,
,
,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/itdKIioc2jM,http://www.youtube.com/embed/-jGoMugf-pU","The women’s-specific design for 2+ hours on the bike with essential cargo.
Includes NEW 70 oz (2 L) Antidote™ Reservoir.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 70 oz (2 L)
Cargo Capacity: 183 cu in / 3L + 2L Reservoir
Antidote features: Quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
BACK PANEL: Air Channel™
HARNESS: Women’s Specific Air Mesh
Additional Features: External Fill, multi-tool pocket, Velvetex™ lining, reflectivity
Designed to Carry: multi-tool, pump, spare tube, phone, wallet, keys
Fabric Specs: 70D diamond clarus with DWR + 1000 mm PU coating, 210D nylon with DWR + 400 mm PU coating
","Rs.4,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/61818-IN_S13_V1.jpg?itok=I85RG8dR,Aurora™,,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/itdKIioc2jM,http://www.youtube.com/embed/Xj9aDn2JkZ4","An incredibly stable hydration system for trail running or elite races.
Includes NEW 100 oz (3 L) Antidote™ Reservoir with Quick Link™ System — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 70 oz (2 L)
Total Capacity: 200 cu in / 3.28L + 2L Reservoir
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
BACK PANEL: Air Channel
HARNESS: Custom fit hook-and-loop adjust with cargo pockets and dual Slider™ Sternum Strap
BELT: Side cinch 38mm / 1.5” with cargo pockets
Key Features: Safety whistle, quick stash overflow storage, lumbar reservoir compression, reflectivity
Designed to Carry: Additional hydration, extra layers, nutritional supplements, keys
Fabric Specs: 70D Diamond Box Rip with DWR + 1000 mm PU
","Rs.8,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/61923_S12_V1.jpg?itok=-wN9KE_r,ULTRA LR™ VEST,http://www.camelbakindia.com/cbi/sites/default/files/61923_S12_V2.jpg,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/itdKIioc2jM,http://www.youtube.com/embed/VIWlcTWwpZA","A versatile pack with enough cargo and hydration for full-day ascents.
Includes NEW 100oz (3L) Antidote™ Reservoir with Quick Link™ System and integrated Rain Cover.
CamelBak® Got Your Bak Guarantee™:  If we built it, we'll Bak it™ with our lifetime guarantee
Hydration Capacity: 100 oz (3 L)
Total Capacity: 1648 cu in / 27L + 3L Reservoir
Antidote features: Quick Link™ System, quick-seal cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, PureFlow™ tube, easy-to-clean wide-mouth opening.
BACK PANEL: Air Director™
HARNESS: Dynamic Suspension™ with Sternum Strap
BELT: Removable 1.5 in / 38 mm stability
KEY FEAT URES
• Hike essentials organizer pocket
• Sunglasses pocket and media pocket
• Quick stash overflow pocket
• Tool attachment
• Four point compression straps
• Side pockets
Designed to Carry: Extra layers, food, head lamp, trail maps, trekking poles, ice axe, media, sunglasses
Torso Length: 19 in (48 cm)
Fabric Specs: 70D Diamond Clarus &amp; 420D Nylon with DWR + 1000mm PU coating
","Rs.7,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62001-IN_S13_V1.jpg?itok=E684xtka,Alpine Explorer™ 30 3L,http://www.camelbakindia.com/cbi/sites/default/files/61810.jpg,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
",,"Lightweight run belt with 1 Podium® Arc bottle and cargo storage.
CARGO CAPACITY
25 cu in .4L + 10 oz bottle
SIZING
One size adjustable
FITS: 22-42” waist
BELT: Elastic webbing
KEY FEATURES
• Quick release bottle cage
• Self-sealing Jet Valve™ technology
• Front Hook-and-loop adjust with elasticity
• Essential pocket with key clip
• Front and back reflectivity
FABRIC SPECS
70D Diamond Clarus with DWR + 1000 mm PU &amp; 320g Air Mesh
","Rs.1,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62010_S13_V2.jpg?itok=tkmyGO_X,ARC 1™,,,,,,,,,,
"In Stock,
,
,
",,"Keep your bite valve clean.
Patented one-piece silicone design - No moving parts to break.
One piece design works with all Hydrolink™ and Ergo Hydrolock™ components.
",Rs.499,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/rec-accessories-big-bite-valve-cover-waterfall-blue-large-72_1.jpg?itok=WQBGK-Cu,Big Bite™ Valve Cover,,,,,,,,,,
"In Stock,2014,
,
,
,
,
,
",,"Ideal for a 10K, the 21 oz Podium® Chill Bottle leaves no excuses for not setting personal bests.
CARGO CAPACITY: 50 cu in / .75L + 21 oz bottle
BACK PANEL: Perforated foam
BELT: Side cinch 25 mm / 1” with dual adjust
KEY FEATURES
• Podium® Chill 0.6L bottle
• Back reflectivity
• Essentials pocket
• Key clip
FABRIC SPECS
70D Diamond Clarus with DWR + 1000 mm PU &amp; 320g Air Mesh
","Rs.2,699",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/62035_S13_V1.jpg?itok=5Rv58SL6,Delaney Chill,http://www.camelbakindia.com/cbi/sites/default/files/62035_S13_V2.jpg,http://www.camelbakindia.com/cbi/sites/default/files/62034_S13_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/62034_S13_V2.jpg,,,,,,,
"In Stock,2014,
,
,
,
,
,
","http://www.youtube.com/embed/1_ExLvZfhcM,http://www.youtube.com/embed/lBOat-ogh7o,http://www.youtube.com/embed/eATl8ZPRp7g","Insulated Podium Chill Bottle keeps water cool and close at hand.
Hydration Capacity: 21 oz (610 ml)
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Cinch strap keeps the Quick Grip in place. Adjustable comfort grip. Air mesh allows keeps the air flowing between the Quick Grip and your hand.
Additional Features: Essentials pocket with key fob.
Designed to Carry: Gel, keys, other essentials.
","Rs.1,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/61939_S12_V1.jpg?itok=PoBQ5v0X,Podium Chill Quick Grip,http://www.camelbakindia.com/cbi/sites/default/files/61911_S12_V1_0.jpg,,,,,,,,,
"In Stock,2013,
,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/itdKIioc2jM,http://www.youtube.com/embed/vgYdluWiUiE","The kids’ pack for big adventures on two wheels.
Includes NEW 50 oz (1.5 L) Antidote™ Reservoir — the ultimate cure for dehydration.
CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee.
Hydration Capacity: 50 oz (1.5 L)
Total Capacity: 91 cu in / 1.5L + 1.5L Reservoir
BACK PANEL: Slit Mesh
HARNESS: Kids’ Fit Lightweight Mesh
BELT: N/A
KEY FEATURES
• Overflow storage
• Reflectivity
• Phone pocket
• Dual compression straps
• Bike tool organizer pocket
• Safety flasher loop
FABRIC SPECS
210D Nylon &amp; 70D Diamond Clarus with DWR + 1000 mm PU
","Rs.3,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/61897_S12_V1.jpg?itok=bh6kPFfX,Kids MINI-M.U.L.E.®,,,,,,,,,,
