MRP,productname,description1,,id,imgurl
"
		Rs.9,000.00			",Studion Focus pads,"    




	     ",,497,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Studion_Focus_pa_5051b7767ec51.jpg
"
		Rs.14,100.00			",XLR8 Kettle Bell - 40kg,"    




	     ",,318,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/XLR8_Kettle_Bell_4ee8847c37d71.jpg
"
		Rs.1,500.00			",Rip Trainer Light Cord,"    




	     ",,750,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Rip_Trainer_Ligh_5219f4be178d5.jpg
"
		Rs.1,800.00			",Rip Trainer Heavy Cord,"    




	     ",,751,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Rip_Trainer_Heav_5219f5205ecb6.jpg
"
		Rs.87,000.00			",TRX Suspension Trainer Club Pack,"    




	     ",,752,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/TRX_Suspension_T_5219fb546f416.jpg
"
		Rs.4,050.00			",Quad Baller,"    




	     ",,749,
"
		Rs.1,500.00			",Cool Point,"    




	     ",,748,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Cool_Point_5219f22439f7d.jpg
"
		Rs.8,100.00			",Cold Roller,"    




	     ",,747,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Cold_Roller_5219f1c9bc2a7.jpg
"
		Rs.1,800.00			",Trigger Point Grid Mini,"    




	     ",,707,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Trigger_Point_Gr_5211f231273e0.jpg
"
		Rs.290,250.00			",Group Fitness Pack,"    




	     ",,720,
"
		Rs.274,950.00			",Club Pack,"    




	     ",,717,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Club_Pack__52121f26bf639.jpg
"
		Rs.126,450.00			",ViPR Lite,"    




	     ",,721,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR_Lite_5213031be1569.jpg
"
		Rs.30,525.00			",ViPR - 26kg,"    




	     ",,719,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR___26kg_5212223f97c57.jpg
"
		Rs.30,000.00			",ViPR Rack,"    




	     ",,686,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR_PT_Rack_51986280a5cef.jpg
"
		Rs.290,250.00			",Group Fitness Pack,"    




	     ",,720,
"
		Rs.274,950.00			",Club Pack,"    




	     ",,717,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Club_Pack__52121f26bf639.jpg
"
		Rs.126,450.00			",ViPR Lite,"    




	     ",,721,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR_Lite_5213031be1569.jpg
"
		Rs.30,525.00			",ViPR - 26kg,"    




	     ",,719,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR___26kg_5212223f97c57.jpg
"
		Rs.30,000.00			",ViPR Rack,"    




	     ",,686,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR_PT_Rack_51986280a5cef.jpg
"
		Rs.14,100.00			",XLR8 Kettle Bell - 40kg,"    




	     ",,318,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/XLR8_Kettle_Bell_4ee8847c37d71.jpg
"
		Rs.11,250.00			",XLR8 Battling Rope 15m long (12.8kg),"    




	     ",,723,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/XLR8_Battling_Ro_52132427d364e.jpg
"
		Rs.3,900.00			",XLR8 Marker Cones - set of 30 with stand,"    




	     ",,728,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/XLR8_Marker_Cone_52132a6ad431a.jpg
"
		Rs.47,850.00			","Eleiko 3 in 1 Plyo Puzzle Box 20"", 24"", 30"" Black","    




	     ",,731,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_3_in_1_Pl_52132d69070b6.jpg
"
		Rs.8,925.00			",Eleiko Competition Kettlebells 20 kg - coloured,"    




	     ",,743,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Competiti_5218a6ba8a43a.jpg
"
		Rs.8,070.00			",Eleiko Competition Kettlebells 16 kg - coloured,"    




	     ",,742,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Competiti_5218a67846fb2.jpg
"
		Rs.7,785.00			",Eleiko Competition Kettlebells 12 kg - coloured,"    




	     ",,741,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Competiti_5218a64e49819.jpg
"
		Rs.10,200.00			",Eleiko Competition Kettlebells 24 kg - coloured,"    




	     ",,744,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Competiti_5218a6fb4e4e3.jpg
"
		Rs.11,760.00			",Eleiko Competition Kettlebells 28 kg - coloured,"    




	     ",,745,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Competiti_5218a72265a4e.jpg
"
		Rs.13,305.00			",Eleiko Competition Kettlebells 32 kg - coloured,"    




	     ",,746,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Competiti_5218a75629621.jpg
"
		Rs.7,500.00			",Eleiko Competition Kettlebells 8 kg - coloured,"    




	     ",,740,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Competiti_5218a60fef0c5.jpg
"
		Rs.187,485.00			",Eleiko Sport Training set - 160kg,"    




	     ",,764,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Sport_Tra_52288fc2e1937.jpg
"
		Rs.3,370.00			",BODYATTACK™ Full Assessment,"    




	     ",,181,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYATTACK____Fu_4f0aa15d55c65.jpg
"
		Rs.900.00			",BODYATTACK™ Resubmission,"    




	     ",,182,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYATTACK____Re_4f0aa1db41866.jpg
"
		Rs.3,370.00			",BODYBALANCE™ Full Assessment,"    




	     ",,189,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYBALANCE____F_4f0aa2a92148f.jpg
"
		Rs.900.00			",BODYBALANCE™ Resubmission,"    




	     ",,190,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYBALANCE____R_4f0aa30d2d851.jpg
"
		Rs.3,370.00			",BODYCOMBAT™ Full Assessment,"    




	     ",,191,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYCOMBAT____Fu_4f0aa3b75c626.jpg
"
		Rs.900.00			",BODYCOMBAT™ Resubmission,"    




	     ",,192,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYCOMBAT____Re_4f0aa466b3edd.jpg
"
		Rs.3,370.00			",BODYJAM™ Full Assessment,"    




	     ",,183,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYJAM____Full__4f0aa4c19e227.jpg
"
		Rs.900.00			",BODYJAM™ Resubmission,"    




	     ",,184,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYJAM____Resub_4f0aa4f4bcddd.jpg
"
		Rs.3,370.00			",BODYPUMP™ Full Assessment,"    




	     ",,179,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYPUMP____Full_4f0aa547efade.jpg
"
		Rs.900.00			",BODYPUMP™ Resubmission,"    




	     ",,180,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYPUMP____Resu_4f0aa58048508.jpg
"
		Rs.3,370.00			",BODYSTEP™ Full Assessment,"    




	     ",,187,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYSTEP____Full_4f0aa5e12650b.jpg
"
		Rs.900.00			",BODYSTEP™ Resubmission,"    




	     ",,188,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYSTEP____Resu_4f0aa6035ade0.jpg
"
		Rs.3,370.00			",BODYVIVE™ Full Assessment,"    




	     ",,185,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYVIVE____Full_4f0aa62fc537c.jpg
"
		Rs.900.00			",BODYVIVE™ Resubmission,"    




	     ",,186,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYVIVE____Resu_4f0aa6c11e3d1.jpg
"
		Rs.3,370.00			",RPM™ Full Assessment,"    




	     ",,193,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/RPM____Full_Asse_4f0aa72cb306f.jpg
"
		Rs.900.00			",RPM™ Resubmission,"    




	     ",,194,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/RPM____Resubmiss_4f0aa7bb0c122.jpg
"
		Rs.15,730.00			",AIM BODYATTACK™,"    




	     ",,199,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/AIM_BODYATTACK_4ea537de69bfe.jpg
"
		Rs.15,730.00			",AIM BODYBALANCE™,"    




	     ",,198,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/AIM_BODYBALANCE_4ea53734204b0.jpg
"
		Rs.15,730.00			",AIM BODYCOMBAT™,"    




	     ",,196,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/AIM_BODYCOMBAT_4ea535be09fe2.jpg
"
		Rs.15,730.00			",AIM BODYPUMP™,"    




	     ",,197,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/AIM_BODYPUMP_4ea5365258dce.jpg
"
		Rs.15,730.00			",AIM RPM™,"    




	     ",,200,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/AIM_RPM_4ea53840047a7.jpg
"
		Rs.1,800.00			",Aeromic Pouch Belt - Standard,"  Aeromic Standard Black Pouchbelt. Aeromic Standard pouch belts (straight pocket) suit almost all brands of transmitters we know about. It is very similar to the Zipster but is open at the top yet still holds the transmitter securely. Like all Aeromic pouch belts it has an adjustable belt to fit most instructors and a secure ABS buckle. The Aeromic Standard pouch belt is available in a variety of colors and is also available in a larger size. (32""+ waist sizes) The Aeromic Pouch Belt has been specifically designed to give you maximum comfort performance and life from your wireless system. A tough neoprene construction gives the belt long lasting washable durability with no flaps no Velcro and no studs. More importantly the transmitter is held vertically reducing any 'tug on the plug' extending the life of all connections and the system itself. 
Features - Used daily by over 50000 instructors worldwide - Superior neoprene construction - As used at Aerobic Conventions everywhere - Light weight and comfortable - Adjusts to fit everyone - Helps protect against transmitter damage - Stitched piping all the way round the belt ensures long lasting durability    




	     ",PROLINE4441,339,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Aeromic_Belt_4ef1b40b0f73c.jpg
"
		Rs.1,050.00			",TRX™ Xtender," 

The TRX® Xtender is 37"" inches in length. For greater lengths simply join two or more Xtenders together. We recommend using one TRX Xtender for anchor points under 25 inches in circumference. And two or more combined Extenders for larger anchor points.
To attach the Xtender follow these steps:

Slide the Suspension Anchor with carabiner end first through the Xtender's small loop.
Wrap the Xtender around the anchor point until the entire length of the Xtender is deployed.
The Xtender should wrap around the anchor point at least 1.5 times. (use more Extenders if necessary)
Slide the carabiner through the end of the Xtender's big loop then clip the carabiner around the yellow Suspension Anchor strap.
Pull hard on the Suspension Anchor. It will pull the loops of the Xtender together locking the Xtender around the anchor point.
To adjust anchor height release tension on the Suspension Anchor and move the Anchor/Xtender assembly up or down then repeat step ""5"" to re-lock the assembly.

Complete set up and use instructions are included in the box. The TRX Xtender is compatible with all TRX® Anchoring Solutions including TRX®Xmount (sold separately).

   




	     ",PROLINE4442,220,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/TRX____Xtender_4ec243fb628f7.jpg
"
		Rs.2,925.00			",TRX™ X-Mount," 

This discrete anchoring solution is the perfect accessory for those who want to dedicate an area to TRX Suspension Training. This discrete 4.5' diameter high-quality steel construction plate attaches easily to any wall vertical stud or secure overhead beam. It supports all TRX Suspension Trainer models. Turn any space into your own dedicated training room.

   




	
		Availability

		

		
		

			Usually ships in: 

		

		

		     ",PROLINE4443,219,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/TRX_X_Mount_4ef86940d10b1.jpg
"
		Rs.56,775.00			",Eleiko Curl Bar - 50mm 12kg," 
A bar specially designed for training of biceps and triceps. Made of chromed Swedish steel. 50 mm sleeves.
Specifications:


Art. No - 3000256
Weight - approx. 12kg
Length - 1320mm
Grip - 28mm
Sleeves - 50mm
Line - Barbells
Type - Curl Bar
Feature - Curly


MAINTAINING YOUR ELEIKO BAR:
Do not leave the Eleiko Bar loaded with weights on a rack. Clean the knurling on a regular basis use the provided brush. Sharp edges can damage the chrome.
   




	     ",PROLINE4444,757,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Curl_Bar__52288c3c08054.jpg
"
		Rs.14,050.00			",Les Mills GRIT™ Strength," 
 
LES MILLS GRIT™SERIES will push you to your max and beyond. Get the up close and personal attention of small group or team training. With your instructor right down on the floor with you motivating you and the team you won't believe how hard you can work out.
Best of all get the specific fitness results you're looking for.

Three unique programs offering fitness results fast.
30 minutes of intense challenge to set training routines.
Explosive music to send energy levels through the roof.
Highly-charged certified trainers giving you one-on-one attention.


 
What can I expect?

    Bursts of 110% effort broken up by periods of recovery.
    The warm up kick-starts your heart rate and wakes up the neuromuscular system.
    Then it's straight into high gear with a combination of strength power plyometric and cardio circuit sequences that leave comfort zones in the dust.
    The sting in the tail is the final intense core track.

The LES MILLS GRIT™ SERIES is for you if:

    You want to take your fitness to the next level
    You want extra motivation to challenge your physical limits
    You have a weight-loss or fitness goal to reach
    You just want to up the intensity

You'll be hooked on LES MILLS GRIT™.   




	     ",PROLINE4445,489,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Les_Mills_GRIT___503c97ec0a264.jpg
"
		Rs.219,450.00			",ViPR Set of 12," (2x4kg/6kg/8kg/10kg/12kg/16kg)   




	     ",PROLINE4446,722,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR_Set_of_12__521303867652f.jpg
"
		Rs.219,450.00			",ViPR Set of 12," (2x4kg/6kg/8kg/10kg/12kg/16kg)   




	     ",PROLINE4447,722,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/ViPR_Set_of_12__521303867652f.jpg
"
		Rs.7,200.00			",Additional 2.5kg Handheld plates," (8 per pack)    




	     ",PROLINE4448,327,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Handheld_plates__4ef19246abc5f.jpg
"
		Rs.5,100.00			",Additional 5kg Handheld plates," (8 per pack)    




	     ",PROLINE4449,710,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Handheld_plates__5211f9da4ca0e.jpg
"
		Rs.6,000.00			",Additional 1kg Handheld plates," (8 per pack)    




	     ",PROLINE4450,709,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Handheld_plates__5211f9c4a9704.jpg
"
		Rs.17,600.00			",TRX Force Kit Tactical," 12-Week Progressive Tactical Conditioning Program Armed with feedback from service members in the field and the latest best-practices in exercise science we designed this new program to build more durable and higher performing tactical athletes with an emphasis on operational readiness. Focuses on mobility strength agility and conditioning this is our most sophisticated program ever. Movements are easily progressed or regressed to match any ability level. Periodic built in benchmarking tests allow users to easily track their progress. 
The New TRX Tactical Conditioning Program is laid out in three distinct Phases. Each phase is four weeks including four workouts per week. Each workout begins with a mobility module to increase durability and improve operational readiness. The more mobile you are the less likely you are to get injured. 

Phase one focuses on building a solid core making everything that happens in your shoulders arms hips and legs become more powerful. 
Phase two focus on arm and leg strength while maintain core strength. 
Phase three brings it all together and layers on some high intensity interval training.

TRX Tactical Conditioning Program Includes: 

Easy to follow Program Guide made from tear proof waterproof paper including four detailed exercise maps clearly illustrating each movement. 
Two DVDs with: Three real-time workouts agility drills and benchmarking challenges and a comprehensive video exercise library.

 
Updated TRX Tactical Suspension Trainer  With no moving parts or pieces that could be subject to failure in harsh climates or after repeated use the Tactical Suspension Trainer™ is the most versatile and rugged Suspension Trainer available. Plus it is even lighter than before now weighing only 1.5lbs. The updated ultra-durable TRX Tactical Suspension Trainer provides fast effective workouts that develop functional strength by engaging the muscle chains you use every day in your job and in life.
Updates: 

D-rings: Lighter stronger and more durable 
Rubber handles: Making the suspension trainer more durable and easy to clean.
   




	     ",PROLINE4451,389,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/TRX_Force_Kit_Ta_4fbb781390089.jpg
"
		Rs.21,675.00			",Eleiko Curl Bar - 50mm 10.5kg," A bar specially designed for training of biceps and triceps. Made of chromed Swedish steel. 50 mm sleeves.
Specifications:
        Art. No - 3002142        Weight - 10.5kg        Length - 1200mm        Grip - Ø28 mm        Sleeves - 50mm        Line - Barbells        Type - Curl Bar        Feature - Rotating Sleeves
MAINTAINING YOUR ELEIKO BAR:
Do not leave the Eleiko Bar loaded with weights on a rack. Clean the knurling on a regular basis use the provided brush. Sharp edges can damage the chrome.   




	     ",PROLINE4452,758,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Curl_Bar__52288cecca703.jpg
"
		Rs.73,200.00			",Eleiko PL Competition Bar - 20kg," A high quality callobrated powerlifting barbell in pure steel. The 50 mm chromed sleeves are mounted on bronze bearings specially designed for powerlifting. To achieve the best grip the bar surface is not chromed.

How To Maintain Your Eleiko Bar
Do not leave the Eleiko Bar loaded with weights on a rack. Clean the knurling on a regular basis used the provided brush. Sharp edges can damage the chrome.

Line:        Barbells
Type:       Powerlifting
Feature:   Lifetime Warranty
Length:    2200 mm
Grip:         29 mm
Sleeves:  50 mm
Weight:    20 kg   




	     ",PROLINE4453,754,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_PL_Compet_52288ac552e97.jpg
"
		Rs.60,300.00			",Eleiko Sports Training Bar 15kg," A high quality Sport Training Bar excellent for strength and conditioning training at colleges and universities Olympic sport centers professional sport clubs commercial gyms and Crossfit boxes. Use it for squats deadlifts clean &amp; jerks snatches power cleans push presses….you name it!
The Eleiko Sport Training Bar is produced in chromed Swedish steel. The flexibility is perfectly balanced and the durability unsurpassed. Drop it as many times as you want and it will still be totally straight – year in and year out. With a smooth and consistent rotation of the sleeves the risks of injuries in the wrists and shoulders are minimized.
215000 PSIThe strength rating of the Eleiko bar is 215000 PSI. That means that it requires 215000 pounds per square inch to pull the bar apart! The average Olympic bar usually runs about 130000 to 150000 PSI. Research has shown that anything under 190000 PSI develops permanent bends over time.
Eight Precision earingsA total of eight precision bearings are fitted to each Eleiko Sport Training Bar for long lasting performance. A firm but not sharp knurling gives the bar the special ""Eleiko feeling"".
Thoroughly Tested All bars are individually tested in accordance with the Eleiko quality policy and provided with a serial number. Sleeves to suit 50 mm discs.
The Eleiko Sport Training Bar is not calibrated according to IWF Standards. Therefore it can not be used at IWF organized competitions.
MAINTAINING YOUR ELEIKO BARDo not leave the Eleiko Bar loaded with weights on a rack. Clean the knurling on a regular basis use the provided brush. Sharp edges can damage the chrome.
Line:        Barbells
Type:       Sport Training
Feature:   10 Year Warranty
Length:    2200 mm
Grip:         28mm
Sleeves:   50 mm
Weight:    15 kg   




	     ",PROLINE4454,755,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Sports_Tr_52288b5415f67.jpg
"
		Rs.60,300.00			",Eleiko Sports Training Bar 20kg," A high quality Sport Training Bar excellent for strength and conditioning training at colleges and universities Olympic sport centers professional sport clubs commercial gyms and Crossfit boxes. Use it for squats deadlifts clean &amp; jerks snatches power cleans push presses….you name it!
The Eleiko Sport Training Bar is produced in chromed Swedish steel. The flexibility is perfectly balanced and the durability unsurpassed. Drop it as many times as you want and it will still be totally straight – year in and year out. With a smooth and consistent rotation of the sleeves the risks of injuries in the wrists and shoulders are minimized.
215000 PSIThe strength rating of the Eleiko bar is 215000 PSI. That means that it requires 215000 pounds per square inch to pull the bar apart! The average Olympic bar usually runs about 130000 to 150000 PSI. Research has shown that anything under 190000 PSI develops permanent bends over time.
Eight Precision earingsA total of eight precision bearings are fitted to each Eleiko Sport Training Bar for long lasting performance. A firm but not sharp knurling gives the bar the special ""Eleiko feeling"".
Thoroughly Tested All bars are individually tested in accordance with the Eleiko quality policy and provided with a serial number. Sleeves to suit 50 mm discs.
The Eleiko Sport Training Bar is not calibrated according to IWF Standards. Therefore it can not be used at IWF organized competitions.
MAINTAINING YOUR ELEIKO BARDo not leave the Eleiko Bar loaded with weights on a rack. Clean the knurling on a regular basis use the provided brush. Sharp edges can damage the chrome.
Line:        Barbells
Type:       Sport Training
Feature:   10 Year Warranty
Length:    2200 mm
Grip:         28mm
Sleeves:   50 mm
Weight:    20 kg   




	     ",PROLINE4455,756,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Sports_Tr_52288bbfe8e10.jpg
"
		Rs.11,025.00			",Eleiko Sport Training Disc 10kg Coloured," A training disc in Olympic sizes and colours perfect for strength training in Olympic sports centers professional sports clubs commercial gyms and CrossFit centers. Use it to squat dead lift free twists jerks power cleans shoulder press...the list of possible exercises is long!  The Eleiko Sport Training Disc is made of high quality synthetic rubber and drop-tested for 3000 ""drops"" in the drop machine.  Eleiko Sport Training Disc is not calibrated according to the International Weightlifting Federation (IWF) standard. That means it can not be used on the competitions organised by the IWF.   




	     ",PROLINE4456,768,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Sport_Tra_522892e6ae67c.jpg
"
		Rs.20,550.00			",Eleiko Sport Training Disc 25kg Coloured," A training disc in Olympic sizes and colours perfect for strength training in Olympic sports centers professional sports clubs commercial gyms and CrossFit centers. Use it to squat dead lift free twists jerks power cleans shoulder press...the list of possible exercises is long!  The Eleiko Sport Training Disc is made of high quality synthetic rubber and drop-tested for 3000 ""drops"" in the drop machine.  Eleiko Sport Training Disc is not calibrated according to the International Weightlifting Federation (IWF) standard. That means it can not be used on the competitions organised by the IWF.   




	     ",PROLINE4457,765,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Sport_Tra_5228902e3e175.jpg
"
		Rs.15,000.00			",Eleiko Sport Training Disc 15kg Coloured," A training disc in Olympic sizes and colours perfect for strength training in Olympic sports centers professional sports clubs commercial gyms and CrossFit centers. Use it to squat dead lift free twists jerks power cleans shoulder press...the list of possible exercises is long!  The Eleiko Sport Training Disc is made of high quality synthetic rubber and drop-tested for 3000 ""drops"" in the drop machine.  Eleiko Sport Training Disc is not calibrated according to the International Weightlifting Federation (IWF) standard. That means it can not be used on the competitions organised by the IWF.   




	     ",PROLINE4458,767,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Sport_Tra_5228917ec2142.jpg
"
		Rs.16,725.00			",Eleiko Sport Training Disc 20kg Coloured," A training disc in Olympic sizes and colours perfect for strength training in Olympic sports centers professional sports clubs commercial gyms and CrossFit centers. Use it to squat dead lift free twists jerks power cleans shoulder press...the list of possible exercises is long!  The Eleiko Sport Training Disc is made of high quality synthetic rubber and drop-tested for 3000 ""drops"" in the drop machine.  Eleiko Sport Training Disc is not calibrated according to the International Weightlifting Federation (IWF) standard. That means it can not be used on the competitions organised by the IWF.   




	     ",PROLINE4459,766,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Eleiko_Sport_Tra_522892906b7bd.jpg
"
		Rs.11,910.00			",CXWORX™,"  WHAT IS CXWORK™?
Based on cutting-edge scientific research this program is the ultimate way to get a tight and toned core. With dynamic training that hones in on your abs glutes back obliques and ""slings"" connecting the upper and lower body. This workout will leave you looking good and feeling strong.
 
A TYPICAL CLASS

Warm UpConnects you with your core muscles and teaches you how to engage them.
Core Strength 1Increases the challenge on your lower and upper abs and begins activating your muscular slings.
Standing Strength 1Trains your glutes abs and sling muscles in standing and improves your awareness of how these muscles function in daily activities.
Standing Strength 2Increases the demands on your glutes using squat and hip pulse moves.
Core Strength 2Trains your obliques in three patterns of movement - laying twists side hovers and mountain climbers in a plank position. This is ""superset"" core training.
Core Strength 3Brings your focus to the back muscles to improve trunk extension.

 





	
	
		
			

	
	
	
	
	
	
	
	

		

				Dim lights
				
				Download
		
				Embed Embed this video on your site
				
	




   




	     ",PROLINE4460,85,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/CXWORK____4e55288986317.png
