SKU,Description,CP,SP,productname,Brand,Size,imgurl,
253278-CWJ1017,"
							These great-value outdoor trousers make a superb alternative to the Kiwi Trousers. With reliable sun-protective and water-repellent properties, and incorporating four useful pockets, Basecamp Trousers provide practical, everyday performance.

The walking clothing produced by Craghoppers focuses on being comfortable and durable, and utilises a combination of waterproof fabrics and innovative technologies to achieve this. As with all Solar Dry garments made by Craghoppers this has been tested in every colour to ensure it meets a minimum UPF 40+, the international standard for clothing to be considered truly protective.

Features: *SolarDry polyester cotton *Weight: 450g *4 pockets including 1 zipped pocket and map-sized cargo pocket *Heel tape *Part-elasticated waistMaterialCotton 35%Polyester 65%						",3800,4446,CRAGHOPPERS Ladies Basecamp Lined Trousers Regular Length,CRAGHOPPERS,"08,10,12,14,16,18,Black,Brown",http://products.activinstinct.com/y2011/m10/253278/62812035-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
314100-4-20129,"
							A great jacket for cold weather protection, with a beautiful high loft fleece lining inside the AQ2 shell to make for a flattering fit.

AQ2 is designed for use on the hill, tried and tested, it offers good waterproofing and breathability, as well as being light in weight. With a high moisture vapour transmission rate any moisture can easily escape through the fabric, enhancing overall enjoyment of the outdoors.

Features:

Fixed adjustable hood with loft fleece lining
Two front zipped hand-warmer pockets
Pit zips for venting
High loft fleece lining to upper body and sleeves
Adjustable outer cuffs and hemMaterialNylon 						",9000,10530,BERGHAUS Ladies Sandia Jacket,BERGHAUS,"08,10,12,14,16,18,Black,Cherry,Pink,Violet",http://products.activinstinct.com/y2012/m09/314100/50435803-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
382849-4-21048,"
							The Berghaus Calisto Delta Shell Jacket is a classic Waterproof Walking Jacket with AQ 2 Technology. Head to the hills in style and confidence with the Calisto Delta Waterproof Jacket. The Calisto Delta is packed full of Berghaus technology and functionality for year round use, including AQ 2 fabric which is breathable and completely waterproof. The jacket also features a roll-away hood, internal communication pocket and two zipped hand-warmer pockets, all user friendly and offering superb outdoor performance.

Features:

Additional wet weather protection is achieved with the adjustable roll-away hood
Keep essentials close at hand in the two zipped hand warmer pockets and the internal communications pocket
A perfect fit is ensured with the dual drawcord hem adjustment and adjustable cuff tabsMaterialPolyester Fabric 						",6499,7603.83,BERGHAUS Ladies Calisto Delta Shell Jacket,BERGHAUS,"08,10,12,14,16,18,Black,Dark Grey",http://products.activinstinct.com/y2013/m09/382849/42006483-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
343305-4-20859,"
							The Paclite jacket uses exclusive lightweight fabric to create a perfect strength to weight ratio, as well as excellent packability. Refreshed style lines and a bonded front stand make this a perfect update to a Berghaus classic.

GORE-TEX Active is ideal for the all-weather, fast-paced user; those seeking durable water and wind protection, with maximum breathability and sweat management during highly aerobic activities.

Features:

Hood; roll away with peak and volume adjuster
Storm flap covering centre front zip
Two zipped hand pockets
Sleeve articulation
Hook and loop cuff tab adjustment
Draw cord hem adjustment
Mesh stuff sack providedMaterialNylon Gore-Tex 						",12499,14623.83,BERGHAUS Ladies Paclite Shell Jacket,BERGHAUS,"08,10,12,14,16,18,Black,Pink",http://products.activinstinct.com/y2013/m02/343305/67425535-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
382230-4-21007,"
							From winter trail walking to a stroll down the high street the Bowfell GORE-TEX Jacket will keep you protected whatever the weather and is styled for any setting.

The Bowfell is a fantastic trail jacket with GORE-TEX laminate that creates an outer jacket that is guaranteed to keep you dry while Nylon ripstop offers a great strength to weight ratio. An adaptable style with both functionality and performance is offered through a number of features including the zip-off roll-away hood and three zipped pockets.

Features:

Additional protection in wet weather is achieved with the adjustable roll-away hood, which can also be zipped off for less bulk and a new style in warmer weather.
Essentials can be kept at hand in the two zipped hand warmer pockets or the internal zipped map pocket.
A comfortable fit is ensured with the asymmetrically cut adjustable cuffs and the dual drawcord hem adjustment.MaterialPolyamide Nylon 						",15499,18133.83,BERGHAUS Ladies Bowfell Jacket,BERGHAUS,"08,10,12,14,16,18,Blue,Green,Pink",http://products.activinstinct.com/y2013/m09/382230/79764552-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
382249-4-21009,"
							Stay warmer, drier and more comfortable than those wearing standard down on your next hike with the water resistant Scafell Hydrodown Jacket.

Constructed from lightweight, water resistant and highly wind resistant AF fabric and insulated with our innovative water resistant Hydrodown resulting in a versatile and packable insulation layer with a space on all your trail adventures.

Protection from the worst conditions is achieved with the high wind resistance of the AF fabric and the innovative water resistant 600 fill Hydrodown.

Essentials can be kept close at hand in the two zipped hand warmer pockets.

A comfortable fit is ensured with the stretch bound cuffs and drawcord hem adjustment.MaterialPolyamide Nylon 						",12400,14508,BERGHAUS Ladies Scafell Hydrodown Jacket,BERGHAUS,"08,10,12,14,16,18,Magenta,Blue,White",http://products.activinstinct.com/y2013/m09/382249/88089306-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
410152-4-21199,"
							The Stormcloud Waterproof Jacket offers the versatility for performance through all on the hill adventures.

Lightweight, fully waterproof and with a coloured fabric backer adding a shot of interesting detail, the Stormcloud is a great example of style and performance.

Features:

Additional wet weather protection comes with the adjustable hood
Essentials can be kept close at hand in the two zipped hand pockets
Find your perfect fit with the adjustable cuff tabs and drawcord hem adjustmentsMaterialPolyester Fabric 						",7499,8773.83,BERGHAUS Ladies Stormcloud Waterproof Jacket,BERGHAUS,"08,10,12,14,16,Black,Blue,Pink",http://products.activinstinct.com/y2014/m02/410152/60092520-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
410022-4-20903,"
							The Parham Waterproof Jacket is the perfect jacket for your everyday adventures; where style meets performance and function.

This contemporary lifestyle jacket utilises Berghaus waterproof AQ2 fabric and has been designed to have a cotton look and feel. Treated with a durable water repellent finish it provides protection and results in a product that is stylish practical and functional.

Features:

Additional weather protection is achieved with the draw cord adjustable hood with stud-off option
Keep your essentials close at hand with the four patch pockets with stud fastener
Find your perfect fit with the draw cord waist and metal buckle cuff adjustments
The storm flap zip covers the front zip offering protection from the wet weather
Great looking shoulder epaulettes with button fastening add to the contemporary style of the jacketMaterialPolyester Fabric 						",12499,14623.83,BERGHAUS Ladies Parham Waterproof Jacket,BERGHAUS,"08,10,12,14,16,Black,Natural",http://products.activinstinct.com/y2014/m02/410022/30704961-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
382491-4-21037,"
							Whether you're hiking up Carbells peak or walking along the Northumberland coast the Glissade III GORE-TEX Walking Jacket is a true tried and tested Berghaus waterproof jacket.

The Glissade is packed full of features for comfort and performance and utilises 2-Layer GORE-TEX fabric for great breathability and complete waterproofing providing everything you need from a jacket and more on your next hike.

When the rain comes down additional protection is offered through the adjustable roll-away hood.

Essentials can be kept close at hand in the three zipped pockets, two zipped lower pockets and zipped map pocket.

An inner InterActive zip allows for Berghaus InterActive fleeces to be zipped into this jacket creating a flexible layering system.

A perfect fit in ensured through use of the dual drawcord hem adjustment, full waist drawcord adjustment and the elasticated adjustable cuffs.MaterialPolyester Fabric 						",13499,15793.83,BERGHAUS Ladies Glissade III Shell Jacket,BERGHAUS,"08,10,12,14,16,Blue,Cherry",http://products.activinstinct.com/y2013/m09/382491/21766291-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
354081-CWS361,"
							The Craghoppers Kiwi Ladies Long Sleeved Shirt features a classic and flattering design combined with a soft fabric that's just as quick drying with added stretch for all day comfort. Protective and practical with roll up sleeves and a neat pleated pocket.

Features

Solar collar
2 pockets, 1 with zip fastening
Hidden security pocket
Roll up sleeves with button tab
Drying loops
SolarShield Fabric ensures you have UPF40 + protection from the sun on those scorching days in the outdoors.
Fabric: Cotton Polyester ElastaneMaterialCotton Polyester Elastane 						",4100,4797,CRAGHOPPERS Kiwi Ladies Long Sleeved Shirt,CRAGHOPPERS,"08,10,12,14,16,Brown,Plum",http://products.activinstinct.com/y2013/m04/354081/51410451-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
385052-CWA115,"
							Introducing brand new Madigan interactive microfleece jacket; an insulating jacket in Craghoppers exclusive lightweight, super-soft microfleece fabric, complete with interactive zip for effortless integration with the Madigan waterproof.

Madigan fresh streamlined look features concealed lower pockets and creates a warm and versatile winter layer. Craghoppers leads the field in outdoor wear. Technical trousers, shirts, tops, softshell and waterproofs offer outstanding performance, comfort and practicality for the everyday outdoors, all year round.

Features:

Pockets: 2 zipped lower
Full-length zip
Polyester microfleece 350gMaterialPolyester Fabric 100%						",4400,5148,CRAGHOPPERS Madigan Interactive Ladies Jacket,CRAGHOPPERS,"08,10,12,14,16,Cerise,Plum,Slate",http://products.activinstinct.com/y2013/m09/385052/43001139-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
354087-CWS362,"
							The Craghoppers Short Sleeved Ladies Shirt is the summer version of the classic Kiwi Shirt. This year the shirt is constructed from a soft new lightweight sun-protective fabric with a hint of stretch for a flattering fit. The easy care polyester and cotton blend makes it perfect for travel.

Features solar collar, 2 pockets, 1 with zip fastening and drying loops

Fabric: Cotton Polyester Elastane

SolarShield Fabric ensures you have UPF40 + protection from the sun on those scorching days in the outdoors.MaterialCotton Polyester Elastane 						",3900,4563,CRAGHOPPERS Short Sleeved Ladies Shirt,CRAGHOPPERS,"08,10,12,14,16,Lavender,Navy,Plum,Powder Blue",http://products.activinstinct.com/y2013/m04/354087/43941648-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
385153-CWW1064,"
							This classic walking jacket now features a tougher, more breathable fabric construction with sleek styling for enhanced performance on the trail all year round. The design incorporates an interactive zip, zip-off hood, adjustable waist and hem, double stormflap, two welted outer pockets, one zipped inner chest and O/S map size pocket. A superb jacket with an impressive outdoor pedigree. Also includes single-handed hood adjustment, lined inner collar, brushed chin guard and self-fabric cuff adjusters.

Craghoppers leads the field in outdoor wear. Technical trousers, shirts, tops, softshell and waterproofs offer outstanding performance, comfort and practicality for the everyday outdoors, all year round.

Features:

Lined
30in jacket length
Brushed inner collar
Zip-off hood with toggle adjusters to front and velcro adjuster to back
Interactive
Pockets: 6; 2 bellowed stud-fastening lower with 2 zipped hand warmer pockets, 1 zipped under stormflap and 1 velcro inner
Pocket fits O/S map
Adjustable waist &amp; hem
Stud and velcro-fastening stormflap with inner zip guard
Self-fabric velcro cuff adjusters
Brushed chin guard
AquaDry polyester twill 795gMaterialPolyester Fabric 						",5500,6435,CRAGHOPPERS Madigan II Ladies Jacket,CRAGHOPPERS,"08,10,12,14,Cerise,Plum,Turquoise",http://products.activinstinct.com/y2013/m09/385153/69962927-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
410178-4-21193,"
							Designed with avid walkers in mind. Enhanced DWR ensures this versatile pant is an ideal companion for walking, whatever the weather.

Great durability and improved abrasion resistance mean that it is suitable for all types of terrain and the UPF provides fantastic protection against the harmful rays of the sun.

Features:

Keep your accessories close at hand in one of the many pockets, including a side volume pocket
Comfortable fit with elasticated waistbandMaterialPolyester Fabric 						",4499,5263.83,BERGHAUS Ladies Navigator Trousers,BERGHAUS,"08,10,12,14,Dark Grey,Natural",http://products.activinstinct.com/y2014/m02/410178/45518877-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
382433-4-20639,"
							Whether you're heading out on your favourite country walk or to the inner city the Ladies Holburn Insulated Parka will keep you warm, dry and looking great.

The AQ2 fabric is fully waterproof, combine this with the AT Fibre Fill insulation and it offers superb winter weather protection with a flattering feminine cut. This stylish garment is designed and developed with a host of Berghaus technologies and features, giving a high performing fashionable piece for your everyday adventures.

Additional protection is achieved with the adjustable and detachable zip off hood, complete with a stylish detachable fake fur trim.

Keep all your essentials close at hand in the four pockets with one chest pocket, two lower patch pockets and one internal zipped pocket.

A comfortable fit is ensured with the elasticated side waist panel alongside the button fastened cuff tab and inner stretch cuff.MaterialPolyamide Nylon Polyester Fabric 						",9600,11232,BERGHAUS Ladies Holburn Insulated Parka,BERGHAUS,"08,10,12,14,Green,Grey",http://products.activinstinct.com/y2013/m09/382433/61855182-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
249337-32908-B50,"
							Take on the elements and stay dry whilst keeping on the move with the Berghaus Deluge Overtrousers.

When you get caught in the rain you can be confident that Berghaus' own AQ 2 fabric offers great waterproof capabilties, breathability and durability, making them ideal for year round use.

Features:

Elasticated waist with drawcord
3/4 length side leg zips opening top and bottom
Articulated knees
Upper leg venting facilityMaterialPolyester 100%Nylon 100%Polyester (Lining) 100%						",4400,5148,BERGHAUS Ladies Deluge Pant,BERGHAUS,"08,10,12,16,18,20",http://products.activinstinct.com/y2011/m10/249337/86857335-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
277495-34293-BP6,"
							This lightweight gilet is perfectly suited to walking and hiking, providing a high level of warmth despite its lightweight nature.

The fleece can be used on its own as a layer to wear over t-shirts and alike, or can be zipped into a waterproof shell or outer layer to add extra warmth. The top features a full length zip and two zipped hand warmer pockets. There are also figure enhancing seam lines and elastic binding at the armhole, inner front baffle and hem.

Features:

Material: AT-Classic (260 g/sq m)
Double sided velour microfleece
Thermal insulation 0.6-0.7 CLO
InterActive zip featureMaterialPolyester 100%						",5099,5965.83,BERGHAUS Ladies Spectrum IA Gilet,BERGHAUS,"08,10,12,18",http://products.activinstinct.com/y2012/m03/277495/38751076-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
382410-4-20640,"
							Take to your everyday adventures in confidence with the stylish Ladies Hartley Insulated Mac packed full of Berghaus performance and technology.

Constructed of Berghaus' own fully waterproof AQ 2 fabric and insulated with AT Fibre Fill to offer both warmth and weather protection. The Hartley Mac is cut to a flattering feminine fit and features a tie-belt and detachable hood for added versatility and style.

Additional weather protection is offered with the adjustable and detachable zip-off hood.

All your essentials can be kept close at hand with the three pockets, two lower front zipped pockets and one internal zipped pocket.

A perfect fit is ensured with the waistbelt adjustment, cuff tabs with button fastening and inner stretch cuff.MaterialPolyamide Nylon Polyester Fabric 						",9499,11113.83,BERGHAUS Ladies Hartley Insulated Mac,BERGHAUS,"08,10,14,16",http://products.activinstinct.com/y2013/m09/382410/41623573-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
405650-CWJ1075,"
							Features ProStretch fabric, allowing unrestricted movement and an improved fit and durability. The fabric enhances comfort and agility, with a tighter weave for weatherproof, sun-protective and insect-repellent technologies.

Famous, lightweight Kiwi comfort that comes in crop form, with plenty of stretch, SolarShield UV protection and quick-drying Wash&amp;Wear technology.

Features:

3 pockets with zip-fastening
19in length cropped trousers
Removable sunglasses wipe in side pocket
Stain-resistant finishMaterialPolyester Fabric 						",5099,5965.83,CRAGHOPPERS Ladies Kiwi Pro Crops II,CRAGHOPPERS,"08,16",http://products.activinstinct.com/y2014/m01/405650/30486386-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
318401-CWW1042,"
							The Craghoppers Aira Waterproof Stretch Trousers are innovative waterproof trousers that feel just like normal walking trousers and yet offer day-long comfort and protection when the weather is unpredictable. The superb full-stretch anatomical 4-zipped-pocket construction features a comfy brushed lining and Velcro hem adjuster for unbeatable active performance in the heaviest showers.

Also available in Short and Regular lengths.

Fabrics: AquaDry Membrane polyester with polyester lining
Weight: 400g

Features:

Active fit
Pockets: Outer 3 zip-fastening
Heel tape
Elasticated at back
Anatomical curved leg shape
Full-stretch
Brush polyester lined
Velcro adjustor at hem
Lifetime GuaranteeMaterialPolyester 						",6400,7488,CRAGHOPPERS Aira Waterproof Stretch Trousers (Long),CRAGHOPPERS,"08,18,20",http://products.activinstinct.com/y2012/m10/318401/13904000-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
410168-4-34295,"
							Step out into the cold and face the elements in this great-value Spectrum Micro Full Zip Jacket.

This jacket is lightweight and sporty, making it ideal for all levels of walking, and offering great versatility as it can be worn on its own or under your favourite waterproof for additional insulation.

Features:

Keep your hands warm and away from the cold in the two zipped hand-warmer pockets
Stretch bound cuffs will keep the cold out and allow you to stay warmMaterialPolyester Fabric 						",4499,5263.83,BERGHAUS Ladies Spectrum Micro Full Zip Jacket,BERGHAUS,"10,12",http://products.activinstinct.com/y2014/m02/410168/59452039-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
314188-4-21251,"
							For chalet holidays or walks in the winter, this jacket has a longer length and 600 fill down to deliver exceptional warmth. The durable DWR finish affords you time to find shelter when caught in light showers also.

AF is a tightly woven, synthetic fabric that ensures excellent retention properties, good packability and high wind resistance. The DWR finish adds that extra element of durability.

Features:

Easy attach hood with draw cord adjustment
Two hand-warmer pocketsMaterialPolyester 						",10500,12285,BERGHAUS Ladies Akka Long Down Jacket,BERGHAUS,"10,12",http://products.activinstinct.com/y2012/m09/314188/61277158-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
