SKU,Description,CP,SP,productname,Size,Brand,imgurl,
426318-4074,"
							Stretch thermal cycling tights. These are made from micro denier Thermastretch fabric for warmth and fast moisture transfer.

Padded for comfort with a moulded Coolmax Silver pad, there is also reflective detailing and self-fabric foot stirrups for comfort.MaterialSynthetic 						",6249,7311.33,POLARIS Cadence Ladies Tight,08;10;12;14;16,POLARIS,http://products.activinstinct.com/y2014/m04/426318/45593367-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
244475-04386-004R,"
							Ronhill has a long tradition with off road running. The trail running heritage associated with the brand means that their products provide exceptional performance, utilizing some of the most innovative technology.

Flexlite fabrics consist of high elastane content within its woven construction. The relaxed fit allows the fabric to breath, with plenty of room for movement during activity.

A comfortable pant that provides protection from the rain, as well as support to your body, all while managing to stay cool and relaxed.


Flexlite fabric
Lightweight and breathable with great stretch
Durable water repellent treatment to fabric
Flat fronted waistband with zip fly and stud fastening
Two front zip pockets feature welded technology
Articulated knee
Fibre content: 90% Polyester, 10% Elastane
Weight: 335gMaterialPolyester 90%Elastane 10%						",6499,7603.83,RONHILL Ladies Trail Soft Tech Pant,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2011/m09/244475/96041664-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414182-RH-000097-RH_00024,"
							This is the lightest waterproof, packable jacket that Ronhill have ever produced.

Made from Aqualite fabric, this offers a brilliant barrier against water and wind. It brings together all the benefits of a taped waterproof garment with total wind protection and fantastic breathability. This combination ensures wearer comfort in the worst weather conditions.

Features:

Mountain marathon event regulation spec
Just 250 grams
2.5 layer hydrophobic coating
Waterproof to a minimum 10,000mm hydrostatic head
Fully waterproof wit taped seams
adjustable integrated mountain spec hood
Two chest pockets
Self-packable into front zip pocket
Adjustable cuffs and hems
Waterproof zips
Back vent for increased air flow
Reflective graphics
Lock down zip and chin guard
Fibre content: 50% Polyester, 26% PU, 24% PolyamideMaterialPU 26%Polyamide Nylon 24%Polyester Fabric 50%						",13400,15678,RONHILL Ladies Trail Tempest Jacket,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2014/m03/414182/93405743-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
248403-AL28WMERG,"
							Merino is excellent at regulating body temperature and naturally wicking away moisture. This base layer has a tailored fit to be worn against the skin, and thus naturally helps to keep your core body temperature regulated at a comfortable constant.

The Merino wool helps wick moisture away, and there are anti-odour properties to keep the top as comfortable as possible.


100% Merino WoolMaterialWool 100%Merino Wool 100%						",5099,5965.83,ALTURA Ladies Merino Base Layer,08;10;12;14;16;18,ALTURA,http://products.activinstinct.com/y2011/m10/248403/44383637-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381153-RH-000285,"
							The Ronhill Vizion Contour Tight boasts a wide range of technologies and features designed to give you the lift you need to post your best times and perform at your best.

Powerlite fabric allows for excellent stretch and recovery, great movement and a soft comfortable feel. It looks good to with a matt finish.

The inclusion of Powermesh inserts great flexibility and breathability with the inclusion of Ronhill gripper hems and reflective lock down ankle zips ensure a fit that promotes top performance.

Contrast flat-locked stitching and flat bonidex waist band ensure heightened comfort for those endurance runs.

Reflective strips ensure high visibility in low light conditions providing for safe training.MaterialElastane 9%Polyamide Nylon 91%						",4599,5380.83,RONHILL Ladies Vizion Contour Capri,08;10;12;14;16;18;Black/Blue;Black/Fluo Pink;Black/Fluo Yellow,RONHILL,http://products.activinstinct.com/y2013/m09/381153/51048354-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381747-RH-000094-R525,"
							The Ronhill Ladies Aspiration Contour Capri is perfect for runners who do not accept compromise on comfort or performance.

Constructed from Powerlite fabric that provides for stretch and recovery with a next to skin fit. This is achieved from the knitted construction along with high elastane content. Powerlite offers exceptional freedom of movement combined with total support to give you precisely what you need to get the best from your run.

Non-stitch transfer labels on the inside and flat locked seams prevent chaffing whilst Power mesh inserts provide excellent breathability with protection provided from harmful UV rays by UPF 40 and high visibility from reflective tape.

Gripper hems ensure a faultless fit with versatility afforded by the back zip security pocket.MaterialElastane 9%Polyamide Nylon 91%						",4200,4914,RONHILL Ladies Aspiration Contour Capri,08;10;12;14;16;18;Black/Purple;Black;Black/Pink,RONHILL,http://products.activinstinct.com/y2013/m09/381747/79408575-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414278-RH-000093,"
							The Ronhill Aspiration Windlite Jacket is designed to provide comfort and warmth for training on days with poor conditions. Breathability and protection in just the right ratio will have you training to your maximum potential.

Activelite fabric is both breathable and wind resistant. The excellent wind resistance is achieved through a tightly woven construction which prevents wind from penetrating the fabric whilst maintaining a high standard of breathability. Added to that this fabric is lightweight and boasts water resistant finish ensuring you can perform unhindered on any run.

Single hand operated draw cords, lock down front zip with chin guard, ergonomic shaped cuff and chest pocket provide a level of functionality that will leave you free to enjoy your training.

Reflective tape and L.E.D compatibility will make you highly visible in low light and ensure your safety on the road.

100% PolyesterMaterialPolyester Fabric 100%						",6000,7020,RONHILL Ladies Aspiration Windlite Jacket,08;10;12;14;16;18;Blue;Purple,RONHILL,http://products.activinstinct.com/y2014/m03/414278/22006928-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
186691-03196,"
							The Ronhill Peak Trackster is designed to provide you with reliable hard wearing and comfortable performance for those treks and trail activities. Ideal for training in a variety of conditions with superb all round performance.

Features Thermalite fabric that utilises a knitted construction with thermal properties to regulate your body temperature as your body heats up during a run. Thermalite is soft to the touch with a smooth next to skin feel.

Boasts a durable water repellent treatment for adverse weather, heavy weight fabric with a brushed inner surface, calf reflective piping, two front zipped hand pockets and a flat bonidex waistband with shoelace end draw cord.MaterialPolyester 100%						",4199,4912.83,RONHILL Ladies Trackster Peak,08;10;12;14;16;Black;Black/Fluo Pink,RONHILL,http://products.activinstinct.com/y2010/m09/186691/49838473-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
186672-03195,"
							The Ronhill Evolution Trackster is a progressive approach that modernises the classic aspects of the trickster style but pays homage to the original elements at the same time. Ideal for training in a variety of conditions with superb all round performance.

Features Thermalite fabric that utilises a knitted construction with thermal properties to regulate your body temperature as your body heats up during a run. Thermalite is soft to the touch with a smooth next to skin feel.

Boasts a durable water repellent treatment for adverse weather, calf reflective piping, foot stirrups, two front zipped hand pockets and a flat bonidex waistband with shoelace end draw cord.MaterialPolyester 100%						",3700,4329,RONHILL Ladies Trackster Evolution,08;10;12;14;16;Black;Black/Fluo Pink;Black/Fluo Yellow,RONHILL,http://products.activinstinct.com/y2010/m09/186672/69843809-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414389-RH-000394,"
							A brilliant running garment for runners of all abilities, this is made from lightweight, breathable and wind-resistant fabric, with water repellent treatment.

Features:

Reflective pipe down front zip
Reflective detailing
Two zipped security pockets
Single hand operated draw cord
Back vent for ventilationMaterialPolyester Fabric 100%						",4500,5265,RONHILL Ladies Pursuit Run Jacket,08;10;12;14;16;Black;Blue;Fluo Pink;Fluo Yellow,RONHILL,http://products.activinstinct.com/y2014/m03/414389/92098205-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381134-RH-000284,"
							The Ronhill Vizion Contour Tight boasts a wide range of technologies and features designed to give you the lift you need to post your best times and perform at your best.

Powerlite fabric allows for excellent stretch and recovery, great movement and a soft comfortable feel. It looks good to with a matt finish.

The inclusion of Powermesh inserts great flexibility and breathability with the inclusion of Ronhill gripper hems and reflective lock down ankle zips ensure a fit that promotes top performance.

Contrast flat-locked stitching and flat bonidex waist band ensure heightened comfort for those endurance runs.

Reflective strips ensure high visibility in low light conditions providing for safe training.MaterialElastane 9%Polyamide Nylon 91%						",4899,5731.83,RONHILL Ladies Vizion Contour Tight,08;10;12;14;16;Black/Blue;Black/Fluo Pink;Black/Fluo Yellow,RONHILL,http://products.activinstinct.com/y2013/m09/381134/76956520-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381219-RH-000293,"
							Thermal layering item to keep you warm with a new fabric for added stretch and recovery.

Regulite fabric regulates body temperature. It is a knitted fabric that is thermal and ideal to control body temperature as it heats up during running. It is soft to touch and smooth next to the skin.

Features:

Lightweight and breathable with premium wicking treatment
Thermal layering
Quick drying
Cut and sew construction with flat-locked seams
Material: 84% polyester hollow yarn, 16% elastaneMaterialElastane 16%Polyester Fabric 84%						",5099,5965.83,RONHILL Ladies Base Thermal 200 1/2 Zip Tee,08;10;12;14;16;Black/Fluo Pink;Black/Fluo Yellow,RONHILL,http://products.activinstinct.com/y2013/m09/381219/18317310-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381760-RH-000095,"
							The Ronhill Aspiration Contour Short provides runners with the ideal mix of comfort and performance with a blend of features that are sure to make every run a memorable experience for all the right reasons.

Powerlite fabric provides for stretch and recovery with a next to skin fit.

This is achieved from the knitted construction along with high elastane content.

Powerlite offers exceptional freedom of movement combined with total support to give you precisely what you need to get the best from your run.

Contrast flat locked seems and non-stitch transfer labels on the inside prevents chaffing and allows for a comfortable fit no matter how long the run.

Safe running with UPF 50 that blocks 98% of the sun's harmful UV rays, new reflective graphics provide 360 degree reflectivity for high visibility.

Flat Bonidex waistband with draw cord for optimum fit, 1 rear zipped security pocket and power mesh inserts and high Lycra content top off this serious running short.MaterialElastane 9%Polyamide Nylon 91%						",3700,4329,RONHILL Ladies Aspiration Contour Short,08;10;12;14;16;Black/Purple;Black;Black/Pink,RONHILL,http://products.activinstinct.com/y2013/m09/381760/49052265-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414138-01202,"
							Ronhill has a long tradition with off road running. The trail running heritage associated with the brand means that their products provide exceptional performance, utilizing some of the most innovative technology.

These shorts allow for great flexibility and freedom, so that you can still compete at the highest level without compromise. The inner short provides the support, while the outer section of the garment provides protection from the outside elements.

The moisture wicking fabric draws sweat away from the skin and out of the shorts, while high content of elastane ensures that these shorts remain durable and recover after each use to provide the right fit again and again.


Stretch woven short with supportive next-to-skin inner short
Flexlite fabric
Lightweight, breathable with enhanced stretch
Durable water repellent treatment
Concealed back zip security pocket
Contrast stitch detail
Flat elasticated waistband with draw cord
Inner short:
Powerlite fabric
High content of Elastane provides excellent support with great stretch and recovery
Wicking treatment for excellent moisture management
No side seams for extra comfort
Fibre content: Outer: 95% Polyester, 5% Elastane
Inner: 84% Polyamide, 16% ElastaneMaterialPolyamide Nylon Eleastane Polyester Fabric 						",4749,5556.33,RONHILL Ladies Trail Twin Short,08;10;12;14;16;Black/Purple;Black/Blue,RONHILL,http://products.activinstinct.com/y2014/m02/414138/18795438-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414235-RH-000385,"
							The Ronhill Ladies Aspiration Contour Tank features a flattering contemporary design that boasts premium levels of comfort and freedom of movement.

Constructed from Powerlite fabric that provides for stretch and recovery with a next to skin fit. This is achieved from the knitted construction along with high elastane content. Powerlite offers exceptional freedom of movement combined with total support to give you precisely what you need to get the best from your run.

Non-stitch transfer labels on the inside prevent chaffing whilst Power Mesh back panel allows for superb breathability and comfort.

Contrasting stitching with vibrant colour combinations provide a striking look.MaterialPolyamide Nylon 84%Eleastane 16%						",3900,4563,RONHILL Ladies Aspiration Contour Tank,08;10;12;14;16;Black/Purple;Black/Pink,RONHILL,http://products.activinstinct.com/y2014/m03/414235/88120422-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414149-RH-000388,"
							Ronhill has a long tradition with off road running. The trail running heritage associated with the brand means that their products provide exceptional performance, utilizing some of the most innovative technology.

The moisture wicking fabric draws sweat away from the skin and out of the shorts, while high content of elastane ensures that these shorts remain durable and recover after each use to provide the right fit again and again. This is a durable and practical garment.

With four power-mesh stretch pockets, two elasticated loops and two front handpockets, there is plenty of space for small valuables, energy gels and anything else you might need to keep you going.

Features:

Flexlite fabric
Lightweight and breathable with enhanced stretch
Durable water repellent treatment
Back zip security pocket - ideal for gels &amp; MP3 player
4 side Power-mesh stretch pockets
2 elasticated loops - ideal for gels
2 front hand pockets
11cm inside leg (size graded)
Inner Bamboo brief
Bonidex waistband with draw cord
Fibre content: Outer: 95% Polyester, 5% Elastane
Weight: 138gMaterialEleastane Polyester Fabric 						",4100,4797,RONHILL Ladies Trail Cargo Short,08;10;12;14;16;Black/Purple;Black/Pink,RONHILL,http://products.activinstinct.com/y2014/m02/414149/42587423-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414160-04414,"
							A supportive running Capri pant that offers brilliant stretch and recovery.

This garment is constructed using Powerlite fabric. Powerlite fabric shares the same features as Flexlite fabric, with high elastane content for fantastic stretch and recovery, but has a next-to-skin fit for greater support.

This Capri has been independently tested and certified to block at least 97% of UV rays from reaching the skin. There are also two side mesh stretch pockets, a back zipped security pocket and a flattering waistband with drawcord.


Material: 91% polyamide, 9% elastaneMaterialPolyamide Nylon 91%Eleastane 9%						",4400,5148,RONHILL Ladies Trail Contour Capri,08;10;12;14;16;Black/Purple;Black/Pink,RONHILL,http://products.activinstinct.com/y2014/m02/414160/11499922-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
200488-06076,"
							The Ronhill Pursuit Jacket is designed to provide athletes with all encompassing protection and performance with a lightweight, breathable and wind resistant construction. The fabric is soft to the touch with further comfort and breathability afforded by the back mesh ventilation and adjustable hem. The 2 hand warmer pockets will ensure hands stay totally warm before or after the run whilst the 360 degree reflectivity ensures high visibility in low light conditions. Also features a hood which rolls away into the collar. 100% PolyesterMaterialPolyester 100%						",3700,4329,RONHILL Ladies Pursuit Jacket,08;10;12;14;16;Black/White;Red/White,RONHILL,http://products.activinstinct.com/y2010/m12/200488/65348942-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414188-02063,"
							For warm or hot days this is the piece to wear for maximum breathability and comfort.

This breathable and lightweight garment, with its Vapourlite fabric, keeps you feeling cool and alert and draws moisture away from the body while you train and compete. It has a knitted construction which helps draw moisture away from the body where it can be evaporated. The fabric is lightweight, breathable and quick-drying.

Features:

Flat-locked seams
Fabric: 100% polyesterMaterialPolyester Fabric 100%						",3749,4386.33,RONHILL Ladies Aspiration Vest,08;10;12;14;16;Pink;Purple,RONHILL,http://products.activinstinct.com/y2014/m03/414188/20239563-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414171-RH-000098,"
							This is an incredibly lightweight jacket, not only water repellent, but wind resistant also.

The jacket is constructed with Activelite fabric; this combines breathability with fantastic wind resistance. A tightly woven construction prevents wind from penetrating the fabric but still allows a comfortable airflow throughout. It has a lightweight, relaxed fit.

The jacket can be self-packed into its own back pocket and has a single hand operated draw cord in the hem for extra practicality. The jacket features a roll away hood, ergonomically shaped cuffs, reflective graphics and a deep, micro fleece lined collar.

There is also a lock down zip and a draw cord in the hem.


Material: 100% polyesterMaterialPolyamide Nylon 100%						",6800,7956,RONHILL Ladies Trail Microlight Jacket,08;10;12;14;16;Pink;Purple,RONHILL,http://products.activinstinct.com/y2014/m03/414171/99608478-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
420095-RH-000588,"
							A supportive running top that offers brilliant stretch and recovery.

This garment is constructed using Powerlite fabric. Powerlite fabric shares the same features as Flexlite fabric, with high elastane content for fantastic stretch and recovery, but has a next-to-skin fit for greater support. This also has a wicking treatment for excellent moisture management.

There are flat-lock seams, a back zip security pocket and two side stretch pockets for small accessories. The top features a front zip with lock down puller and capped sleeves.


Material: 100% polyesterMaterialPolyester Fabric 100%						",4649,5439.33,RONHILL Ladies Trail Short Sleeve Zip Tee,08;10;12;14;16;Purple/Green;Blue/Pink,RONHILL,http://products.activinstinct.com/y2014/m03/420095/28010587-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381178-RH-000280,"
							A lightweight top with a relaxed fit.

Made from Vapourlite fabric, this excellent moisture management material helps draw moisture away from the body leaving you more comfortable. There is a lightweight knitted construction to make it breathable, lightweight and quick-drying.

Features:

Reflective graphics
Mesh panels for added breathability
Flat-locked seams
Fibre content: 100% PolyesterMaterialPolyester Fabric 100%						",3999,4678.83,RONHILL Ladies Vizion Long Sleeve Crew,08;10;12;14;16;Yellow/Purple;Pink/Navy;Fluo Pink/Black,RONHILL,http://products.activinstinct.com/y2013/m09/381178/13670330-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
186653-03194,"
							The Ronhill Origin Trackster utilises time honoured trackster design and silhouette for those who like to stick with what they know whilst gaining performance from modern fabrics and technologies. Ideal for training in a variety of conditions with superb all round performance.

Features Thermalite fabric that utilises a knitted construction with thermal properties to regulate your body temperature as your body heats up during a run. Thermalite is soft to the touch with a smooth next to skin feel.

Boasts a durable water repellent treatment for adverse weather, calf reflective piping, foot stirrups, back zip security pocket and a flat bonidex waistband with shoelace end draw cord.MaterialPolyester 100%						",3599,4210.83,RONHILL Ladies Trackster Origin,08;10;12;14;Black;Black/Fluo Pink;Black/White,RONHILL,http://products.activinstinct.com/y2010/m09/186653/77499475-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414099-RH-000589,"
							A brilliant top for running.

Vapourlite fabric offers excellent moisture management, with a lightweight knitted construction which helps draw sweat away from the body. This is lightweight, breathable and quick-drying.

This a Control Layer, with a principle function to aid regulation of body temperature to ensure better performance. It allows premium breathability while trapping air to create warmth.

Features:

Treated with Polygiene to keep it odour-free
Back zip security pocket
2 Powerlite stash pockets at rear
Added mesh panels for ventilation
Flat-locked seamsMaterialPolyester Fabric 100%						",4600,5382,RONHILL Ladies Trail LS Zip Tee,08;10;12;14;Purple/Green;Blue/Pink,RONHILL,http://products.activinstinct.com/y2014/m02/414099/83255466-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
187059-04392-555,"
							The Ronhill Aspiration Winter Tight is perfect for those early morning and evening winter runs with a heavier weight and a brushed inner surface to ward off the chills.

Powerlite fabric allows for excellent stretch and recovery, great movement and a soft comfortable feel. It looks good to with a matt finish. UPF 50 ensures you stay protected against 98% of the sun's harmful UV rays.

The high Lycra content provides excellent support with great stretch and recovery whilst the Power Mesh inserts provide excellent breathability.

Features contrast flatlock stitching, Ronhill gripper hem and lock down ankle zips, flat bonidex waistband with draw cord and a back zip security pocket.MaterialLycra 9%Polyamide 91%						",5549,6492.33,RONHILL Ladies Aspiration Winter Tight,10;12,RONHILL,http://products.activinstinct.com/y2010/m09/187059/90536127-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
