SKU,Description,CP,SP,productname,Brand,Size,imgurl,Stock
433617-M19931,"
							Part of the Battle Pack series of limited edition boots, designed by adidas for the Brazil 2014.

Bring tournament-level energy to your play in these boots. These Nitrocharge 1.0 FG boots are ultra-light and reinforced with tough protective layers in the heel and toe. They use ENERGYPULSE and ENERGYSLING to harness energy so no move is wasted. The TRAXION 2.0 FG stud plate is designed specifically for firm ground and dry pitches.

Features:

HYBRIDTOUCH synthetic leather material for premium softness, light weight and performance
Highly elastic ENERGYSLING element in upper for stability and energy return
Pre-moulded protection pads in toe and heel area to help protect you in any tackle
Super strong protective mesh layer in rearfoot area for high protection
Highly elastic ENERGYPULSE outsole element for increased energy output; miCoach compatible
TRAXION 2.0 FG stud configuration for maximum grip and acceleration on firm natural pitchesMaterialSynthetic 						",15899,18601.83,ADIDAS World Cup Nitrocharge 1.0 FG Men's Football Boots,ADIDAS,UK7;UK8;UK9;UK10;UK11;UK12,"http://products.activinstinct.com/y2014/m06/433617/69854213-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
399769-D67201,"
							Excellent football boots built with a lightweight HYBRIDTOUCH upper and raised 3D grip texture for fast dribbling. With SPRINTFRAME stability and the Hybrid TRAXION 2.0 SG stud configuration these are for speed on soft ground.

Features:

Semi-transparent SPEEDFOIL upper material for light weight, soft feel, high durability and great heel fit
HYBRIDTOUCH synthetic leather material for premium softness, light weight and performance
DRIBBLETEX raised 3D grip texture for high-speed dribbling under wet and dry conditions
The SPRINTFRAME construction uses geometrical research and TRAXION 2.0 stud configuration to offer the perfect balance between light weight and stability
miCoach compatible
Hybrid TRAXION 2.0 SG stud configuration has a mix of exchangeable screw-in studs and moulded TPU studs for maximum acceleration and grip on soft groundsMaterialRubber Synthetic 						",10300,12051,ADIDAS F50 adizero XTRX SG Adult Football Boots,ADIDAS,UK7;UK8;UK9;UK10;UK12,"http://products.activinstinct.com/y2013/m12/399769/15401560-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
392669-F32605,"
							The adidas Predator LZ TRX SG Mens Football Boots are a superb lightweight option for all levels of player, featuring the Lethal Zone technology to the forefoot providing enhanced precision, power and technique on passes, shots and overall ball control.

These boots benefit from a durable Traxion soleplate with a mix of removable and moulded studs for instant traction and mobility on softer pitches, and are compatible with adidas miCoach technology.

Features:

Asymmetrical lacing
Shaped ankle
Perforated tongue
Lethal Zone design
Durable Traxion outsole
Mixed studs for soft ground
adidas miCoach compatibile
Synthetic upper, inner and soleMaterialRubber Synthetic 						",10100,11817,ADIDAS Predator LZ XTRX SG Men's Football Boots,ADIDAS,UK7;UK9;UK10;UK11;UK12,"http://products.activinstinct.com/y2013/m11/392669/11846733-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427449-PRG125,"
							Precision Goalkeeping has continued to develop their Schmeichology range with the help of Kasper Schmeichel of Leicester and Denmark.

This new flat palm glove features a basic latex palm, EVA backhand and a finger protection system.

Features:

EVA backhand
3mm latex plus 3mm flat palm protection
Elasticated wristband and conventional strapMaterialLatex 						",4499,5263.83,PRECISION GK Schmeichology 4 Flat Palm Finger Protection Goalkeeping Gloves,PRECISION,UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427449/24478304-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427485-PRG137,"
							New this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

This negative cut glove features a finger support protection system, and this provides a glove with total comfort with the added protective spine support which provides more confidence to keepers during impact of the ball.

Features:

3mm Supersoft latex plus 3mm foal rollfinger palm
EVA backhand
Elasticated wristband and conventional strapMaterialEVA 						",5199,6082.83,PRECISION GK Brasileirao Negative Support Goalkeeping Gloves,PRECISION,UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427485/36170068-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427493-PRG138,"
							New this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

The very popular Rollfinger cut has a snugger fit than the conventional flat palm glove. It also has the best ball contact as the cut ensures the latex is always in contact with the ball when catching and throwing, thus providing a better feel when catching.

Features:

3mm soft German latex plaus 3mm rollfinger palm with finger protection
EVA backhand
Elasticated wristband and conventional strapMaterialLatex 						",5199,6082.83,PRECISION GK Brasileirao Finger Support Goalkeeping Gloves,PRECISION,UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427493/77641419-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427501-PRG135,"
							New this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

The Roll-Negative Cut combines the best features of Rollfinger and Negative Cut gloves. This cut ensures that not only do you get optimum grip and comfort, the latex on the index and little fingers are always in contact with the ball when catching and throwing.

Features:

3mm Supersoft German latex palm
New wrap round elasticated wrist strapMaterialLatex 						",5499,6433.83,PRECISION GK Brasileirao Hybrid Goalkeeping Gloves,PRECISION,UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427501/96783526-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427437-PRG122,"
							Precision Goalkeeping has continued to develop their Schmeichology range with the help of Kasper Schmeichel of Leicester and Denmark.

The Roll-Negative Cut combines the best features of Rollfinger and Negative Cut gloves.

This cut ensures that not only do you get optimum grip and comfort, the latex on the index and little fingers are always in contact with the ball when catching and throwing.

Features:

Wind protective membrane
3mm Supersoft German latex
Conventional elasticated strap with pull loopMaterialLatex 						",5999,7018.83,PRECISION GK Schmeichology 4 Hybrid Goalkeeping Gloves,PRECISION,UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427437/36651128-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427428-PRG123,"
							Precision Goalkeeping has continued to develop their Schmeichology range with the help of Kasper Schmeichel of Leicester and Denmark.

This very popular Rollfinger cut has a snug fit, far more than conventional flat palm gloves. It also has the best ball contact as the cut ensures that latex is always in contact with the ball when catching and throwing, thus providing better feel also.

Features:

Wind protective membrane
3mm Giga German latex
Backhand German Latex
Conventional elasticated strap with pull loopMaterialLatex 						",5999,7018.83,PRECISION GK Schmeichology 4 Rollfinger Goalkeeping Gloves,PRECISION,UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427428/59012211-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427420-PRG121,"
							Precision Goalkeeping has continued to develop their Schmeichology range with the help of Kasper Schmeichel of Leicester and Denmark.

The Negative finger is specially designed to provide total comfort at all levels of the game, increasing your grip and feel for the ball.

Features:

Wind protective membrane
4mm contact latex negative palm
Latex backhand
Elasticated wrist band with pull loop and conventional strap.MaterialLatex 						",6999,8188.83,PRECISION GK Schmeichology 4 Contact Negative Cut Goalkeeping Gloves,PRECISION,UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m05/427420/39062035-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
