SKU,Description,SP,MRP,productname,Brand,Size,Stock,imgurl,imgurl,imgurl,imgurl
224651--,"
							A monofilament string with excellent resiliency with above average durability, there is an abrasion resistant wear layer to resist notching.

Very easy to string, this has a softer playability than other synthetic guts.

Recommended for players requiring a more responsive string.						",12868.83,15313.9077,ASHAWAY Synthetic Gut 17 1.25mm Squash String 220m Reel,ASHAWAY,Natural;White,,http://products.activinstinct.com/y2014/m05/224651/62248130-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
268478-WRZ843294,"
							Designed for Wilson pro players and coach, ideal for serious players of every level. A luggage-style travel bag with Heavy duty trolley system, an extra large main compartment, side shoe tunnel, extra large carry straps and a small accessories pocket. This bag can carry all the rackets, clothing and equipment a travelling tennis player needs. PVC free for lower environmental impact.


Luggage Style bag with wheels and a retractable handle for easy travel
One Large Main compartment for rackets, clothing, shoes, and equipment
Two Side Compartments: One Built in shoe tunnel-Great for keeping shoes and dirty clothes separate from other equipment. One small accessories pocket
Snap in place Interior legs allow bag to collapse small for storage and give added support allowing the bag to stand up
Extra corner protection against wear
ID Card Holder
Extra large full wrap centre straps that make the bag easy to pick up and grab from carousel at Airport
PVC Free

Dimensions: 89 X 38 X 38cmMaterial600D Poly Gold Perforated Mirror Pu Honeycomb Rip Stop 						",11757.33,13991.2227,WILSON Tour Traveller with Wheels,WILSON,,,http://products.activinstinct.com/y2012/m01/268478/33789041-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
373897-Q35127,"
							Part of the Stabil family that has produced balanced and high performing court shoes for a number of years, this indoor shoe is lighter, stronger and more flexible than it has ever been. With an excellent fit and brilliant strength it has top on-court performance.

The combination of a power frame and power band embrace the foot and provides excellent stability during lateral movements. The Sprint Web is a supportive, lightweight TPU base layer and abrasion resistant RPU top layer provides excellent stability and protection.

There is a highly responsive second-density EVA Ringcore to ensure power and speed during multi-directional movement. There is also a Motion Guiding System that provides brilliant cushioning, stability and guidance for strong and powerful movement and there is anti-slip lining for greater comfort.

The new non-marking rubber compound ensures fantastic grip on all indoor surfaces and the shoe is MiCoach compatible.MaterialRubber Synthetic Material 						",11113.83,13225.4577,ADIDAS Adipower Stabil 10.1 Unisex Indoor Shoes,ADIDAS,UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,,http://products.activinstinct.com/y2013/m07/373897/98231814-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363041-R208Y-4201,"
							The Asics Gel Progressive Indoor shoe delivers the premium level of features making it quick, light, grippy but well supported for indoor courts. A shoe packed full of technology with great levels of stability, comfort and shock absorption.

Air Mesh, synthetic leather and Personal Heel Fit in the upper provide excellent comfort and breathability.

Biomorphic Fit technology allows the upper of the shoe to move in harmony with the foot, giving more comfort while in motion. This fit means the shoe material does not bunch, reducing the risk of blisters or irritation.

The Impact Guidance System (IGS) is an ASICS design philosophy. It aims to make shoe components from rear to midfoot and forefoot to work together effectively to allow the body to perform in a natural manner. ASICS designers strive to compliment, not correct, how the legs and feet move.

Utilises the Space Trusstic, an advanced system that creates a pocket between the Trusstic System device and the midsole, allowing for greater midsole deformation and more efficient foot function.

Forefoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

There is a vented sole and midsole which minimises weight and maximises breathability. There is also Forefoot Guidance Line, a vertical flex groove in the forefoot of the sole which encourages a more efficient running style.

With a wet grip rubber outsole designed from a special blend of components they deliver excellent traction even on a wet surface.

The AHAR+ (Asics High Abrasion Rubber) is an extremely tough material placed in critical areas of the shoe to offer exceptional durability. This plus version is lighter than the standard version of AHAR. Durable circular points of AHAR rubber on the sole provides brilliant grip during rotation.MaterialRubber Synthetic 						",11113.83,13225.4577,ASICS Gel-Progressive Men's Indoor Court Shoe,ASICS,UK6.5;UK7;UK10.5,,http://products.activinstinct.com/y2013/m06/363041/60553368-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
408138-D66799,"
							Part of the Stabil family that has produced balanced and high performing court shoes for a number of years, this indoor shoe is lighter, stronger and more flexible than it has ever been. With an excellent fit and brilliant strength it has top on-court performance.

The combination of a power frame and power band embrace the foot and provides excellent stability during lateral movements. The Sprint Web is a supportive, lightweight TPU base layer and abrasion resistant RPU top layer provides excellent stability and protection.

There is a highly responsive second-density EVA Ringcore to ensure power and speed during multi-directional movement. There is also a Motion Guiding System that provides brilliant cushioning, stability and guidance for strong and powerful movement and there is anti-slip lining for greater comfort.

The new non-marking rubber compound ensures fantastic grip on all indoor surfaces and the shoe is MiCoach compatible.MaterialRubber Synthetic Material 						",10179,12113.01,ADIDAS Adipower Stabil 10.1 Men's Indoor Shoes,ADIDAS,UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,,http://products.activinstinct.com/y2014/m02/408138/76820973-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
362991-E328N-4290,"
							Rearfoot GEL provides cushioning in all directions, absorbing impact forces and helping to stabilise the foot during heel contact. Forefoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

The AHAR+ (Asics High Abrasion Rubber) is an extremely tough material placed in critical areas of the shoe to offer exceptional durability. This 'plus' version is lighter than the standard version of AHAR.

The DuoMax Support System consists of a dual density midsole positioned sport specifically, to enhance support and stability. To add to this, the Impact Guidance System consists of category specific componentry that enhances the foot's natural gait.

The Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the shoe. The Personal Heel Fit consists of memory foam lining the heel collar and tongue, creating a personalised fit around the ankle.

An outsole made from a special blend of organic and non-organic components, designed to enhance traction even on wet surfaces is also included.MaterialRubber Synthetic 						",10179,12113.01,ASICS Gel-Fire Blast Men's Indoor Court Shoe,ASICS,UK7;UK8;UK8.5;UK10;UK10.5;UK11;UK12;UK13,,http://products.activinstinct.com/y2013/m06/362991/52254119-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
402487-F32310,"
							Part of the Stabil family that has produced balanced and high performing court shoes for a number of years, this indoor shoe is lighter, stronger and more flexible than it has ever been. With an excellent fit and brilliant strength it has top on-court performance.

The combination of a power frame and power band embrace the foot and provides excellent stability during lateral movements. The Sprint Web is a supportive, lightweight TPU base layer and abrasion resistant RPU top layer provides excellent stability and protection.

There is a highly responsive second-density EVA Ringcore to ensure power and speed during multi-directional movement. There is also a Motion Guiding System that provides brilliant cushioning, stability and guidance for strong and powerful movement and there is anti-slip lining for greater comfort.

The new non-marking rubber compound ensures fantastic grip on all indoor surfaces and the shoe is MiCoach compatible.MaterialRubber Synthetic Material 						",10179,12113.01,ADIDAS Adipower Stabil 10.1 Men's Indoor Shoes,ADIDAS,UK8;UK10,,http://products.activinstinct.com/y2014/m01/402487/45316192-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
397693-09KV38668,"
							The ultimate in lightweight court performance.

Parallel Wave Plate technology offers dynamic cushioning and agility while on court., while there is a TPU bumper for protection and greater durability.

Specifically designed modular gum rubber outsole offers maximum flexibility and superior traction, with a removable sockliner built to offer increased cushioning and durability.

Airmesh in the upper provides that cool comfortable feeling so you can perform better in hot conditions.MaterialRubber Synthetic Material 						",10177.83,12111.6177,MIZUNO Wave Bolt 2 Ladies Indoor Court Shoe,MIZUNO,UK4;UK4.5;UK5;UK5.5;UK6;UK7;UK7.5;UK8;UK8.5;UK9,,http://products.activinstinct.com/y2013/m12/397693/30215735-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
397673-09KV38824,"
							The ultimate in lightweight court performance.

Parallel Wave Plate technology offers dynamic cushioning and agility while on court., while there is a TPU bumper for protection and greater durability.

Specifically designed modular gum rubber outsole offers maximum flexibility and superior traction, with a removable sockliner built to offer increased cushioning and durability.

Airmesh in the upper provides that cool comfortable feeling so you can perform better in hot conditions.MaterialRubber Synthetic Material 						",10177.83,12111.6177,MIZUNO Wave Bolt 2 Men's Indoor Court Shoe,MIZUNO,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,,http://products.activinstinct.com/y2013/m12/397673/56855481-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
386003-C003076-031,"
							The Hi-Tec V-Lite Infinity Indoor Shoe features a design and construction that will provide unlimited performance and comfort for the discerning squash or badminton player seeking a shoe to match their prowess on the court.

This shoe utilises an air mesh tongue for a more breathable and comfortable fit, tighter fit design for a more secure feel around midfoot and forefoot, and a full foam and air mesh lining that will absorb sweat.

TPU welded abrazone raised toe cap ensures heightened drag protection whilst dual density 4:SYS midsole ensures optimum impact protection. Peak force outsole provides unrivalled grip on the court allowing you to make your shots with ease.

Features:

Seamless upper for instant comfort
Bonded Nylon support frame
Asymmetrical lacing system
Super Light moulded ortholite sockliner
Abrazone forefoot reinforcement
4:SYS Multi density midsole
Forefoot ESS inserts for lateral support
External TPU heel counter
Peak force outsoleMaterialRubber Synthetic Material 						",10177.83,12111.6177,HI-TEC V-Lite Infinity Men's Indoor Shoe,HI-TEC,UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,,http://products.activinstinct.com/y2013/m09/386003/83172032-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
309968-005159,"
							A large holdall, capable of carrying all you kit to matches. This holdall has been made with a premium fabric construction to ensure its performance and durability.

The holdall includes multiple internal pockets, a separate shoe bag and an extendable easy pull handle to make travel much easier.MaterialPolyester 						",10177.83,12111.6177,CARLTON Tour Wheelie Holdall,CARLTON,,,http://products.activinstinct.com/y2012/m08/309968/71400286-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358272-WRT905200,"
							BLX racket technology is engineered with Basalt fibres, combining proprietary frame, grommet and grip technologies to provide the perfect feel. Basalt fibres are woven longitudinally with [K]arophite Black filtering unwanted extreme frequency, delivering clean feedback with a better sensation and feel.

Specification:

Headsize: 497cm2
Weight (unstrung): 150g
Balance (unstrung): 35cm
String pattern: 12 x 18						",10177.83,12111.6177,WILSON Onefifty BLX Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358272/95782118-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
427414-20020,"
							Top quality mid balance racket with excellent control and handling.

Features:

Suitable for club team players
Excellent control and handling
Made from Carbon 4 with Kevlar inserts
Mega Power Zone
Balance- Mid
String- US 600 twist string						",9651.33,11485.0827,UNSQUASHABLE Y-Tech 5000 Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2014/m05/427414/57145845-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
315570--,"
							Designed to suit intermediate players, and up to professional use, this racket offers a fantastic option for the upper end of mid-level rackets. It has a slightly stiffer frame than the Breeze, and the bridged frame uses the Thermal Core Technology manufacturing process to produce a very consistent and durable frame.

Specification:

Frame: Thermal Core, HMG, Carbon 4
String: SuperNick XL Ti
String Tension: 25-29 lbs
Rigidity (RF): 89
Actual Frame Weight: 135g
Dynamic Weight: 140g
Balance: Head heavy
Area: 493 sq. cm						",9241.83,10997.7777,BLACK KNIGHT Main Frame Squash Racket,BLACK KNIGHT,,,http://products.activinstinct.com/y2012/m09/315570/94160265-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
183613-8P355081,"
							The Prince NFS Indoor V Shoe is designed for top performance on indoor surfaces with superior traction combined with unmatched comfort, exceptional stability and excellent ventilation.

The lightweight synthetic upper with breathable mesh keeps you comfortable and cool whilst keeping the weight of shoe down. Injected TPU bands provide midfoot stability and a lockdown fit whilst the rash toe cap provides added abrasion resistance for toe draggers.

TPU arch bridge ensures excellent torsional stability which compliments the ultra cushioned ride that comes courtesy of the performance sockliner.MaterialNylon Syn Leather 						",7720.83,9187.7877,PRINCE NFS Indoor V Men's Indoor Shoes,PRINCE,UK5.5;UK6.5;UK7,,http://products.activinstinct.com/y2010/m08/183613/46062466-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363137-B255N-0193,"
							The Asics Gel Progressive Indoor shoe delivers the premium level of features making it quick, light, grippy but well supported for indoor courts. A shoe packed full of technology with great levels of stability, comfort and shock absorption.

Air Mesh, synthetic leather and Personal Heel Fit in the upper provide excellent comfort and breathability.

Biomorphic Fit technology allows the upper of the shoe to move in harmony with the foot, giving more comfort while in motion. This fit means the shoe material does not bunch, reducing the risk of blisters or irritation.

Utilises the Space Trusstic, an advanced system that creates a pocket between the Trusstic System device and the midsole, allowing for greater midsole deformation and more efficient foot function.

Forefoot and rearfoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

There is a vented sole and midsole which minimises weight and maximises breathability. There is also Forefoot Guidance Line, a vertical flex groove in the forefoot of the sole which encourages a more efficient running style.

With a wet grip rubber outsole designed from a special blend of components they deliver excellent traction even on a wet surface.MaterialRubber Synthetic 						",9009,10720.71,ASICS Gel-Beyond Ladies Indoor Court Shoe,ASICS,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK9,,http://products.activinstinct.com/y2013/m06/363137/46473629-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363057-B205N-0190,"
							The Asics Gel Progressive Indoor shoe delivers the premium level of features making it quick, light, grippy but well supported for indoor courts. A shoe packed full of technology with great levels of stability, comfort and shock absorption.

Air Mesh, synthetic leather and Personal Heel Fit in the upper provide excellent comfort and breathability.

Biomorphic Fit technology allows the upper of the shoe to move in harmony with the foot, giving more comfort while in motion. This fit means the shoe material does not bunch, reducing the risk of blisters or irritation.

Utilises the Space Trusstic, an advanced system that creates a pocket between the Trusstic System device and the midsole, allowing for greater midsole deformation and more efficient foot function.

Forefoot and rearfoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

There is a vented sole and midsole which minimises weight and maximises breathability. There is also Forefoot Guidance Line, a vertical flex groove in the forefoot of the sole which encourages a more efficient running style.

With a wet grip rubber outsole designed from a special blend of components they deliver excellent traction even on a wet surface.MaterialRubber Synthetic 						",8773.83,10440.8577,ASICS Gel-Beyond Men's Indoor Court Shoe,ASICS,UK6;UK7;UK9.5;UK10.5;UK11,,http://products.activinstinct.com/y2013/m06/363057/39037802-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
166879-SX200,,8773.83,10440.8577,APOLLO XL 200m Squash String Reel,APOLLO,,,http://products.activinstinct.com/y2010/m03/166879/58266912-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
210566-8P353077,"
							The Prince Renegade Indoor Shoe is a renegade by name and by nature breaking with traditional squash shoe design with the use of LightSpeed Technology. A low profile silhouette keeps your centre of gravity low for killer balance and uncompromising stability. The shoe's propulsion plate redirects energy into the forefoot for speed that'll blow your opponents away. All this results in unmatched agility and response.

Features a lightweight synthetic leather and mesh upper, Duraskin II high abrasion toe guard for protection and a TPU arch bridge for torsional stability.

The visible Shock Eraser Pro insert for increased heel protection and gum rubber outsole will provide comfort and grip to keep you playing your hardest no matter how long the game.MaterialNylon Syn Leather 						",8716.5,10372.635,PRINCE Men's Renegade Indoor Shoes,PRINCE,UK6;UK6.5;UK7;UK7.5,,http://products.activinstinct.com/y2011/m01/210566/94029581-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
387685-8P715084,"
							Part of the NFS series which has been designed to provide exceptional traction on indoor surfaces for enhanced Club. The shoe features Prince Natural Foot Shape design to bring a new level of comfort and fit to performance indoor footwear. Moulded lateral and medial stabilisers provide a stable base for your game by strategically cradling the foot.

Prince ShockEraser2 heel cushion and polyurethane forefoot cushion optimise shock dispersion and provide added cushioning for maximum comfort.MaterialMesh Rubber Synthetic 						",7545.33,8978.9427,PRINCE NFS II Indoor Court Shoe,PRINCE,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9.5;UK11,,http://products.activinstinct.com/y2013/m10/387685/95599769-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
387670-8P354087,"
							Part of the NFS series which has been designed to provide exceptional traction on indoor surfaces for enhanced Club. The shoe features Prince Natural Foot Shape design to bring a new level of comfort and fit to performance indoor footwear.

The Prince NFS Rally squash shoes are suitable for indoor court surfaces and have been designed to provide maximum comfort and stability. The lightweight synthetic upper has breathable mesh panels to ensure good ventilation, while the EVA midsole and removable moulded EVA sockliner provide lightweight shock absorption and reduce fatigue. The gum rubber outsole ensures good traction on indoor surfaces.MaterialMesh Rubber Synthetic 						",8071.83,9605.4777,PRINCE NFS Rally Indoor Court Shoe,PRINCE,UK7;UK10;UK10.5,,http://products.activinstinct.com/y2013/m10/387670/97276777-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
16513-8P931900,"
							The Prince NFS IV indoor shoes feature the distinctive Prince styling with anatomically constructed upper to keep your feet protected and comfortable from the extreme demands of a game where serious pressure is placed on your joints.

Built on the Natural Foot Shape last, the lightweight NFS Indoor shoes provide instant, no break-in comfort and support for players seeking exceptional stability and cushioning. The NFS last is famous for the generous fit, particularly in the forefoot.

Breathable mesh areas and soft synthetic upper provide excellent rigidity to keep your foot planted inside the shoe and restrict movement whilst keeping them cool.

The EVA midsole, anatomical and removable EVA sock liner, non-marking rubber sole and special lacing system take this further by working together to provide excellent shock absorption and keeping your feet moving quickly so you get to your next shot with ease.MaterialNylon Syn Leather 						",8073,9606.87,PRINCE NFS Indoor IV Men's Shoes ,PRINCE,UK7;UK7.5;UK8;UK9.5;UK10.5,,http://products.activinstinct.com/y2008/m12/16513/16513-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
373925-Q35129,"
							Part of the Stabil family that has produced balanced and high performing court shoes for a number of years, this indoor shoe is lighter, stronger and more flexible than it has ever been. With an excellent fit and brilliant strength it has top on-court performance.

There is a Tech-Net TPU grid for abrasion resistance, stabilisation and protection of the forefoot. The gum rubber compound ensures excellent grip on all indoor surfaces.

The Torsion System provides midfoot integrity and motion guidance, while highly responsive Adiprene EVA maintains forefoot propulsion to accelerate your game.MaterialRubber Synthetic Material 						",8599.5,10233.405,ADIDAS Court Stabil 10.1 Unisex Indoor Shoes,ADIDAS,UK7;UK8.5;UK10.5,,http://products.activinstinct.com/y2013/m07/373925/43711748-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
288466-7Q342280,"
							This premium squash string has a pre-stretched multifilament core for extra control. Its power band outer wraps add responsiveness and feel.


Rebel?s key qualities are similar to those of natural gut ? power, comfort and feel.
Rebel also has good durability.
A multifilament string with strong all-round qualities. A softer elasticity for more attacking power and resilience.
Control is enhanced through its low trampoline effect.

Gauge: 1.20mm						",18601.83,22136.1777,PRINCE Rebel Squash Reel Optic Yellow (200m),PRINCE,,,http://products.activinstinct.com/y2012/m05/288466/43150339-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375479-Q97859,"
							The adidas BT Feather Badminton Shoe is designed to provide a combination of solid support and agile ability. This shoe pairs a flexible and powerful forefoot for high speed agility in all directions. The open mesh and a ventilation grip provide enhanced breathability whilst a badminton specific construction delivers comfort and stability in all playing conditions. The non-marking rubber compound allows for unmatched grip on all badminton surfaces.

Adiprene insert for ideal cushioning during badminton specific movements.

Adiprene+ insert for a powerful acceleration during all badminton specific movements.

Air Mesh for maximum ventilation.

Adituff abrasion resistant material placed at the medial forefoot to combat abrasion zones.

Rearfoot Stabiliser construction for stability during badminton specific multidirectional movements.

Torsion System stabilises your midfoot in badminton specific movements and enhances control, support and fit.MaterialRubber Synthetic Material 						",8541,10163.79,ADIDAS BT Feather Men's Badminton Shoe,ADIDAS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12,,http://products.activinstinct.com/y2013/m08/375479/59263569-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
428536-296083,"
							A superb graphite composite racket for the club player.

Features:

Suitable for the club player
A superb graphite composite racket
Made from Graphite composite
Mega Power Zone
Double String System
Anti-Vibration System
Balance- Mid
String- Unsquashable 500 Silver string						",8422.83,10023.1677,UNSQUASHABLE DSP 700 Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2014/m05/428536/38161946-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
