SKU,Description,CP,SP,productname,Brand,Size,imgurl,
248403-AL28WMERG,"
							Merino is excellent at regulating body temperature and naturally wicking away moisture. This base layer has a tailored fit to be worn against the skin, and thus naturally helps to keep your core body temperature regulated at a comfortable constant.

The Merino wool helps wick moisture away, and there are anti-odour properties to keep the top as comfortable as possible.


100% Merino WoolMaterialWool 100%Merino Wool 100%						",5099,5965.83,ALTURA Ladies Merino Base Layer,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2011/m10/248403/44383637-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428304-AL34WSPN,"
							The Altura Spin Ladies Full Length Tights are a full length version of the popular spin 3/4. These are perfect on the bike or in the gym.

Features:

Women's specific design in soft cotton-feel fabric
Antibacterial, slim-line stretch insert
Deep yoga waistband

80% Nylon, 20% PolyurethaneMaterialNylon 82%Spandex 18%						",5099,5965.83,ALTURA Spin Ladies Full Length Tights,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2014/m05/428304/70301441-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
32810-AL34WNVI,"
							The Altura Night Vision Ladies Tights feature a women's specific stretch panel design with loads of reflective trim providing performance and a striking look for added safety in low light.

Features women's specific multi panel performance fit, stretch thermal fabric, critically positioned highly reflective trim and women's 2 layer stretch insert.MaterialLyrca 100%						",6449,7545.33,ALTURA Ladies Night Vision Tights,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2010/m01/32810/94978379-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428333-AL30WSYNB,"
							The Altura Synchro Ladies Cycling Baggy Shorts feature a women's specific design for those who prefer to add a layer over their spandex whether it be for commuting or mountain bike riding.

Features:

Full length stretch fabric gives the performance of a stretch short with the casual look of a baggy
Full stretch, lightweight durable outer short
Removable inner short with stretch multi-density insert with gel sit bone padding
Deep internal elastic waist band and hand pockets
Loose fit

84% Nylon, 16% NylonMaterialNylon 84%Spandex 16%						",6899,8071.83,ALTURA Synchro Ladies Cycling Baggy Shorts,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2014/m05/428333/57134237-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
348280-AL37WSYNB,"
							Baggy shorts are a great alternative to the more traditional stretch cycling shorts, giving a different style and added protection, but with the same great comfort. Popular among mountain bikers, but also the perfect solution for leisure riders and tourists, Altura offer a neat range of female-specific styles and designs.

These full stretch 3/4 baggy shorts offer a fantastic fit.

Features:

Full stretch, lightweight, durable outer short
Removable inner short with stretch multi-density insert
Deep internal elastic waist band and hand pockets
84% Nylon, 16% SpandexMaterialNylon Spandex 						",7259,8493.03,ALTURA Ladies Synchro 3/4 Baggy Shorts,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2013/m03/348280/44129876-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
385463-AL21WMIC,"
							A showerproof shell for when the rain arrives, this jacket can be stowed away in the integrated pack pocket at the rear.

Features:

Ultra lightweight showerproof fabric
Packs into tiny rear pocket
Reflective trimMaterialNylon 						",5099,5965.83,ALTURA Ladies Microlite Showerproof Jacket,ALTURA,08;10;12;14;16;18;Black/Pink;Red,http://products.activinstinct.com/y2013/m09/385463/96772451-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
385450-AL22WFLT,,7799,9124.83,ALTURA Ladies Flite Jacket,ALTURA,08;10;12;14;16;18;Black/Pink;Red,http://products.activinstinct.com/y2013/m09/385450/26248960-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428273-AL22WNVI,"
							The Altura Night Vision Ladies Cycling Jacket continues as the uk's number 1 ladies specific commuting jacket with a range of features that makes it ideally suited to the task of commuting with the aspects of safety, comfort and performance all taken care of thanks to the range of technologies utilised.

Features:

Waterproof, breathable and highly durable 2 layer fabric with mesh liner
Reflective zips and surrounds
Pit and rear vents
Chest and rear pockets
Fleece lined adjustable collar
Velcro Lightstick LED mount
Critically positioned highly reflective trim for 360o visibility

Main: 100% Polyester Lining: 100% Polyester

Breathability rating 10,000MaterialPolyester Fabric 100%						",7799,9124.83,ALTURA Night Vision Ladies Cycling Jacket,ALTURA,08;10;12;14;16;18;Black/Pink;Yellow,http://products.activinstinct.com/y2014/m05/428273/87924760-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
193012-AL21WTRN,"
							The Altura Ladies Transformer Windproof Jacket is a highly versatile 3 season windproof ideal for variable weather conditions.

This incredible garment easily transforms from long to short sleeve whilst you're still wearing it.

Features stretch, water repel, windproof React panels for the perfect combination of comfort and protection.

The sleeves roll up to fit in the rear pocket for convenience. Utilises three open rear pockets and zipped security pocket with added reflective trim for safety.MaterialPolyester 100%						",9149,10704.33,ALTURA Ladies Transformer Jacket,ALTURA,08;10;12;14;16;18;Black/Purple;Black/White;Purple/White,http://products.activinstinct.com/y2010/m10/193012/20318529-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428214-AL25WSPI,"
							The Altura Ladies Short Sleeve Cycling Jersey utilises a ladies specific design that produces and elegant jersey for optimum riding comfort. Perfect for both training and racing this will become a staple in your cycling wardrobe.

Features:

Soft touch, high wicking, quick dry fabric
Women's specific panel design
Front zip for improved ventilation
Concealed zip rear pocket
Silicone hem gripper to keep hem firmly in place
Reflective trim details for increased visibility
Sport fit

100% PolyesterMaterialPolyester Fabric 100%						",4199,4912.83,ALTURA Spirit Ladies Short Sleeve Cycling Jersey,ALTURA,08;10;12;14;16;18;Black/White;Blue/White;Pink/Black,http://products.activinstinct.com/y2014/m05/428214/55877415-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428195-AL25WSPT,"
							The Altura Spot Ladies Cycling Jersey is a stylish, versatile short sleeve ladies specific jersey that boasts a range of design features to make it the perfect partner for training or racing in total comfort.

Features:

High wicking, quick dry fabric
Ladies specific panel design
Front zip for improved ventilation
3 rear pockets for excellent storage capacity
Silicone hem gripper to keep hem firmly in place
Reflective trim details for increased visibility
Sport fit

100% PolyesterMaterialPolyester Fabric 100%						",5099,5965.83,ALTURA Spot Ladies Cycling Jersey,ALTURA,08;10;12;14;16;18;Black;Pink,http://products.activinstinct.com/y2014/m05/428195/16940197-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
32798-AL21WNVI,"
							The Altura Night Vision Windproof features a new design of the popular Night Vision Windproof utilising improved fabrics for a better fit and much sportier look and performance. Now also featuring LED loop compatible with Night vision Lightstick.Features stretch windproof, waterproof, water repel front panels, stretch thermal rear panels, 3 open and one zipped rear pockets, rear LED mount and critically positioned reflective panels and trim for safety in low light conditions.MaterialPolyester 94%Spandex 6%						",7349,8598.33,ALTURA Ladies Night Vision Windproof Jacket,ALTURA,08;10;12;14;16;18;Black;Raspberry;Yellow,http://products.activinstinct.com/y2010/m01/32798/75800544-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
32790-AL22WEV,"
							The Altura Night Vision Evo Jacket is an evolution of the best selling Night Vision Jacket and features a new fabric and design with a removable LED tab, front hand pockets, hood fittings and loads of reflective trim, making for perfect commuting jacket. Features include waterproofing, breathability, durability, soft touch 2 layer fabric with mesh liner, critically positioned highly reflective trim, pit and rear vents, front chest and hand pockets and rear pocket, water repel zips with reflective trim, optional hood fittings and removable rear LED mount. Free Lightstick LED.MaterialPolyester 100%						",10499,12283.83,ALTURA Ladies Night Vision Evo Jacket,ALTURA,08;10;12;14;16;18;Black;Raspberry;Yellow,http://products.activinstinct.com/y2010/m01/32790/44782687-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
32792-AL22WNVI,"
							The Altura Night Vision Jacket is their best selling waterproof jacket with impressive levels of breathability and a bright design that is sure to get you noticed on the road. The combination of breathability, durability and waterproofing makes this an ideal jacket for everyday use. The large reflective panels and trim provide excellent levels of visibility. The pit and back vents will keep you cool and comfortable during maximum exertion whilst the cycle specific cut with drop tail provides a comfortable fit. Waterproof zip with storm flap provides protection and there are fittings for the optional hood. The fleece lined collar adds that extra touch for heightened comfort with chest and rear pockets for added versatility.MaterialPolyester 100%						",7799,9124.83,ALTURA Ladies Night Vision Jacket,ALTURA,08;10;12;14;16;18;Black;Yellow,http://products.activinstinct.com/y2010/m01/32792/49531380-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
27939-AL25WSYN,"
							The Altura Synchro Short Sleeve Jersey boasts a multi panel design that forms a close fit combined with supreme comfort for riding thanks soft stretch fabrics.

Ride for extended periods of time in total comfort with the multi panel ladies specific fit combined with the soft touch stretch fabric for ease of movement and optimum fit for riding. The silicone hem gripper ensure that the top stays in the correct position no matter how hard youï¿½re pushing.

Zipped rear pocket allows you to store essentials during your ride.MaterialNylon 87%Spandex 13%						",4499,5263.83,ALTURA Ladies Synchro Short Sleeve Jersey,ALTURA,08;10;12;14;16;18;Blue/Black/White;Red/Black/White;Raspberry;White,http://products.activinstinct.com/y2009/m03/27939/38773807-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428247-AL21WTRN,"
							The Altura Transformer Ladies Windproof Cycling Jacket is a highly versatile all year round windproof for the demanding rider. Packed with features this jacket is ideal for keeping you on your bike in changeable conditions.

Features:

Transforms easily from long sleeve to short sleeve whilst on the bike
React fabric construction, stretch, water repellent, windproof, breathable
Women's specific multi panel performance fit
Zip off sleeves that can be easily removed with the jacket on
3 rear pockets and zipped security pocket for excellent storage capacity
Silicone hem gripper to keep hem firmly in place
Reflective trim details for increased visibility
Sport fit

100% PolyesterMaterialPolyester Fabric 100%						",9599,11230.83,ALTURA Transformer Ladies Windproof Cycling Jacket,ALTURA,08;10;12;14;16;18;Blue/Black;Red/Black,http://products.activinstinct.com/y2014/m05/428247/39547485-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
27936-AL22WNEV,"
							The Altura Nevis Jacket is an ideal entry level cycling jacket that'll keep you warm and dry in even the most challenging conditions. Constructed from Altek fabric for excellent levels of durability, waterproofing, wind proofing and breathability for all round performance good enough for any rider. The pit and back vents will keep you cool and comfortable at all times whilst the waterproof zip with storm flap provides protection.

This jacket is easily stored as it folds up into its own back pocket for convenience. The reflective trim is sure to get you noticed in low light conditions allowing you to enjoy your ride with peace of mind.MaterialPolyester 100%						",6449,7545.33,ALTURA Ladies Nevis Jacket,ALTURA,08;10;12;14;16;18;Blue;Raspberry;Yellow,http://products.activinstinct.com/y2009/m03/27936/59199402-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
248435-AL21WSYG,"
							This jacket is a multi panel windproof jacket that provides fantastic comfort and warmth in a performance fit, designed specifically with women in mind.

The jacket's fabric construction makes it water repellent as well as having stretch qualities to ensure the fit is comfortable and remains so over time. The jacket also features stretch rear thermal panels, two zipped rear pockets and reflective trim for greater visibility.


Fabric: 45% Nylon, 40% Polyester, 15% PolyurethaneMaterialPolyester 40%Nylon 45%Polyurethane 15%						",7499,8773.83,ALTURA Ladies Synergy Windproof Jacket,ALTURA,08;10;12;14;16;18;Pink/White;Red/White,http://products.activinstinct.com/y2011/m10/248435/26238321-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
220573-AL25WNVI,"
							For riders who don't want the night to impede their performance or safety then this is the perfect cycling jersey, with highly reflective trim keeping you visible to other riders and road users.

Altura have made this short sleeve top using high wicking, quick dry fabric. As a result, all the moisture that accumulates is quickly pulled away to keep you dry and comfortable throughout your ride. This jersey is also made from 100% polyester so it is light and breathable on your skin. Ideal for people who love to ride on their road bike, if the road unexpectedly takes you off road then the Night Vision jersey is just as capable.

Altura have kitted out this cycling jersey with 3 rear pockets to stash all your essentials in like your house keys and phone, and because all the pockets are at the rear, you won't be annoyed by keys dangling down at either side of you. The jersey also has a Night Vision Velcro LED mount that can give you extra visibility in poorer light conditions.MaterialPolyester 100%						",5049,5907.33,ALTURA Ladies Night Vision Short Sleeve Jersey,ALTURA,08;10;12;14;16;18;Raspberry;Yellow,http://products.activinstinct.com/y2011/m03/220573/53275654-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
248480-AL26WNVI,"
							A jersey made with darker, winter conditions in mind, where greater visibility is key. This women's specific jersey has masses of reflective trim and offering less restriction than a waterproof jacket. Made from soft touch, high wicking thermal fabric, this jersey still manages to provide brilliant insulation and help maintain and more comfortable core body temperature. There is a full length front zip, three rear pockets, a Velcro lightstick LED mount and highly reflective trim for essential visibility at night. *100% PolyesterMaterialPolyester 100%Nylon 85%Polyurethane 15%						",5999,7018.83,ALTURA Ladies Night Vision Long Sleeve Jersey,ALTURA,08;10;12;14;16;18;Raspberry;Yellow,http://products.activinstinct.com/y2011/m10/248480/31391751-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
348752-AVS6,"
							A new addition to the Orca product range, the Orca Core Swim Range offers the key essential swim products at the highest value.

Features:

Internal mesh lined for added comfort
String back comfort for support and range of motion
Body contoured panels for added comfort
Twin needle finished leg hem
Flat lock top stitch
Silicone label for added comfortMaterialSynthetic Material 						",4199,4912.83,ORCA Ladies Flex String Back One Piece Swimsuit,ORCA,08;10;12;14;16;Black/Blue;Black/Pink;Navy/Blue;Pink/Black,http://products.activinstinct.com/y2013/m03/348752/99630576-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
348246-AL25WBARB / AL25WBRAP,"
							Specifically designed and constructed for women, Altura cycling jerseys match performance to comfort, and technical fabrics to stylish design. This stylish short sleeve jersey comes with technical properties; it looks great on the road, trail or in the cafe.

Features:

High wicking, quick-dry fabric
Reflective trim
Performance fit
100% PolyesterMaterialPolyester 						",5099,5965.83,ALTURA Ladies Baroque Short Sleeve Jersey,ALTURA,08;10;12;14;16;Black/Green;Raspberry,http://products.activinstinct.com/y2013/m03/348246/78319663-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
27941-AL30WPROB,"
							The Altura Progel Shorts are constructed from Lycra and feature a gel padded insert for added comfort and performance. Featuring an 8 panel ladies specific design for a superb ergonomic fit that’ll leave you riding in complete comfort. The antibacterial, multi density stretch insert with Gel sit bone pads affords unmatched comfort on the saddle.

French stitch seams ensure durability and comfort whilst silicone grippers provide the perfect fit. Reflective details allow for increased visibility in low light conditions.MaterialLyrca 100%						",5099,5965.83,ALTURA Ladies Progel Shorts,ALTURA,08;10;12;14;16;Black;Black/Blue,http://products.activinstinct.com/y2009/m03/27941/65108555-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426273-4973,"
							Lightweight, waterproof cycling jacket with fully taped seams and a full-length front zip with storm flap and zip garage.

Integral stuffsack; the jacket will pack down into a very small pocket making it convenient to carry, there are fully adjustable elasticated cuffs, drawcord hem and collar and a zipped front pocket with media cord.MaterialPolyester Fabric 						",5999,7018.83,POLARIS Aqualite Extreme Ladies Jacket,POLARIS,08;10;12;14;16;Cyan;Fluo Pink,http://products.activinstinct.com/y2014/m04/426273/54022414-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426300-5750,"
							Mid-weight long sleeve jersey, this has a tailored fit to match the curves of the body.

Zipped neck to aid temperature control, one central rear elasticated pocket and one concealed zip security pocket. Elasticated at the hem and features thumb loops.MaterialPolyester Fabric 						",4649,5439.33,POLARIS Sante Ladies Top,POLARIS,08;10;12;14;16;Pink;White,http://products.activinstinct.com/y2014/m04/426300/50069983-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426284-5765,,5099,5965.83,POLARIS Peak Ladies Top,POLARIS,08;10;12;14;16;Purple;White,http://products.activinstinct.com/y2014/m04/426284/58693087-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
347981-AVC9,"
							The ORCA CORE range is the most extensive range of apparel in triathlon. It offers a performance garment for every type of triathlete. Whether you are training or racing, do it in confidence with Orca Core.

Features:

Rear pockets
Thick binding shoulder straps for comfort and style
Flat lock top stitch
Reflective logos
Silicone back neck label for less irritation
Twin needle armhole for comfort
Internal mesh body and contoured bra comfort
3-Coil control front zipMaterialSynthetic Material 						",5499,6433.83,ORCA Ladies Core Support Singlet,ORCA,08;10;12;14;Black/White/Blue;Black/White/Grey;Black/White/Pink,http://products.activinstinct.com/y2013/m03/347981/69673795-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
192979-AL20WSYGB,"
							The Ladies Synergy Gilet is constructed with a multi panel pre shaped design that's sculpted to fit into the riding position.

Constructed from the highest quality fabrics and designed to perform to the highest of standards with unrestricted movement, core body warmth and unmatched protection from the elements.

Features stretch windproof, water repel front and shoulder panels and stretch mesh rear panels for the perfect combination of comfort and protection.

Reflective trim keeps you safe in low light conditions.MaterialPolyester 100%Nylon 87%Spandex 13%						",4499,5263.83,ALTURA Ladies Synergy Gilet,ALTURA,08;12;14;18,http://products.activinstinct.com/y2010/m10/192979/25565990-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
348002-AVC8,"
							The ORCA CORE range is the most extensive range of apparel in triathlon. It offers a performance garment for every type of triathlete. Whether you are training or racing, do it in confidence with Orca Core.

Features:

Rear pockets
Thick binding shoulder straps for comfort and style
Flat lock top stitch
Reflective logos
Silicone back neck label for less irritation
Twin needle armhole for comfort
Internal mesh body and contoured bra comfort
3-Coil control front zipMaterialSynthetic Material 						",4499,5263.83,ORCA Ladies Core Support Top,ORCA,08;12;Black/White/Grey;Black/White/Pink,http://products.activinstinct.com/y2013/m03/348002/28204946-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
248422-AL22WBLZ,"
							A comfortable jacket that provides protection from the wind and rain, as well as managing to stay ventilated and breathable while you ride. Constructed with a combination of different linings, the Blitz Jacket manages to offer cyclists all the features they require. The jacket features highly reflective trim for greater visibility, pit and rear vents to allow air to flow throughout and chest and rear pockets for greater practicality. Fabric: *Shell: 100% Polyester *Lining 1: 100% Polyester Microfleece *Lining 2: 100% Polyester Mesh *Lining 3: 100% Polyester TaffetaMaterialPolyester 100%						",7799,9124.83,ALTURA Ladies Blitz Jacket,ALTURA,08;16,http://products.activinstinct.com/y2011/m10/248422/94451243-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
