SKU,Description,SP,CP,SP,productname,Brand,Size,imgurl,Stock
170669- ,"
							Based on our 20 years of experience in string manufacturing of monofilament tennis strings made of co-polymere materials with toop quality products like COMPETITION and TOUCH TURBO we continuously improve and develope new formulations. PRO LINE No. II offers tournament players an extraordinary mixture of power, control and spin-potential. A constant dynamic response of the stringbed and the maintenance of the installed string tension grant steady playing characteristics and performances. * Gauge: 1.30mm * wide range of available gauges * various combinations of different gauges as a hybrid-string are possible to meet the player\'s personal demands * outstanding combination of power and control * highest spin-potential without string-slipping * extreme durability and best tension-maintenance						",73.19,8819,10318.23,KIRSCHBAUM Pro Line II 1.30mm Tennis String Reel (200m),KIRSCHBAUM,Black;Red,"http://products.activinstinct.com/y2010/m04/170669/30070989-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429373-TIILOR,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

The Lore is styled to transition seamlessly between sport and casual wear, the Lore will quickly become the go-to pair.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

The fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",49.99,6499,7603.83,TIFOSI Lore Sunglasses,TIFOSI,Black;Red;Silver/White,"http://products.activinstinct.com/y2014/m05/429373/16094827-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429392-TIIRAD,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

The Radius is an all-round winner. Open frame, minimalist styling and super light in a wide range of frames and lens colour options.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

Fully adjustable ear pads allow a custom fit, increasing comfort and performance.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",49.99,6499,7603.83,TIFOSI Radius Sunglasses,TIFOSI,Black;Silver,"http://products.activinstinct.com/y2014/m05/429392/14753404-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4195-GG10/220,,27.84,4284,5012.28,GAMMA Advantage Reel 220M Tennis String ,GAMMA,Black;White,"http://products.activinstinct.com/y2008/m12/4195/95728220-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
426591-4471,"
							White framed model that comes with blue, yellow and clear lenses.

The lenses are vented to assist airflow and prevent fogging and are incredibly flexible thanks to the TR90 plastic frame, not to mention durable and comfortable.

Rubberised, injection-moulded temple pads for a secure fit, adjustable nose piece, and these come supplied with a soft microfibre pouch and EVA hard case.MaterialPlastic 						",35.99,5099,5965.83,POLARIS Lucid Sunglasses,POLARIS,Black;White,"http://products.activinstinct.com/y2014/m05/426591/27224977-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433335-85101007 / 85101009,"
							Great sunglasses for competitive racing, as well as the commute, these are for riders of all abilities.

The Megol design is made up of hypoallergenic material and is particularly soft. It improves grip on the face and so helps avoid slipping.

Features:

Optical adaptor
Polycarbonate lens
Interchangeable lens
Water-repellent
Adjustable nose pad and temple tips						",35.99,5099,5965.83,NORTHWAVE Blade Sunglasses,NORTHWAVE,Black;White/Blue,"http://products.activinstinct.com/y2014/m06/433335/64075001-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429384-TIIPODXC,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

Rimless and revolutionary, the Podium XC features a proprietary, patent-pending lens changing system, allowing you to find what you need for each occasion.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

The fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",59.99,7499,8773.83,TIFOSI Podium XC Sunglasses,TIFOSI,Black;White/Grey,"http://products.activinstinct.com/y2014/m05/429384/42757039-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
426594-5748 / 5749,,31.49,4649,5439.33,POLARIS Viper Sunglasses,POLARIS,Black;White/Red,"http://products.activinstinct.com/y2014/m05/426594/14974361-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
426597-5746 / 5747,"
							Single fixed lens cycle glasses constructed from lightweight ultra flexible plastic to ensure they last as long as you do.

Rubber ends to the arms to add comfort during long rides, built-in rubberised nose piece, UV protected lenses. These come with an EVA case and micro fibre pouch.MaterialPlastic 						",26.99,4199,4912.83,POLARIS Gator Sunglasses,POLARIS,Black/Lime;White/Grey,"http://products.activinstinct.com/y2014/m05/426597/43102279-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429361-TIRTYR2,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

Revised and ready for action, the 24g Tyrant 2.0 is lighter and better than ever, with Clarion lenses.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

Fully adjustable ear pads allow a custom fit, increasing comfort and performance. The same can be said for the fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",59.99,7499,8773.83,TIFOSI Tyrant 2.0 Clarion Mirror Sunglasses,TIFOSI,Black/Red;White/Black/Blue,"http://products.activinstinct.com/y2014/m05/429361/57304698-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433338-85101011 / 85101013,"
							Great sunglasses for competitive racing, as well as the commute, these are for riders of all abilities.

The Megol design is made up of hypoallergenic material and is particularly soft. It improves grip on the face and so helps avoid slipping.

Features:

Polycarbonate lens
Interchangeable lens
Water-repellent
Adjustable nose pad						",31.49,4649,5439.33,NORTHWAVE Devil Sunglasses,NORTHWAVE,Black/White;White/Black,"http://products.activinstinct.com/y2014/m06/433338/27568147-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288410-7J828022 / 7J828221,"
							This unique multi-coloured poly provides a softer feel and a cool look.


Each side of the string is coloured differently. When strung, it naturally rotates to provide a twisted appearance.
Excellent durability with great spin.

Gauge: 1.27mm						",59.99,7499,8773.83,PRINCE Twisted 16L Reel Tennis String (100m),PRINCE,Black/Yellow;Blue/White,"http://products.activinstinct.com/y2012/m05/288410/83044488-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
385484-TIRPODXC1 / TIRPODXC4,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

This new Clarion Collection features a new lens coating technology, combined with strong colours for brilliant style. Clarion lenses use a full mirror hydrophobic coating, preventing both water and sweat from beading up on the lens surface to improve visibility in all conditions.

Clarion technology greatly reduces glare and provides an even colour treatment across the entire width of the lens, ensuring consistent light transmission, thus reducing eye fatigue.

The Podium Sunglasses feature a proprietary interchangeable frameless lens design that provides an unobstructed field of vision. With greater rigidity than the standard Podium frame, this has a slimmer profile and offers a more streamlined fit.MaterialPolycarbonate 						",69.99,8499,9943.83,TIFOSI Podium XC Clarion Interchangeable Sunglasses,TIFOSI,Blue;Purple,"http://products.activinstinct.com/y2013/m09/385484/38530782-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429370-TIIRUM,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

The Rumour has it all; with the latest shield lens model has an oversized full frame. This has sport functionality and everyday style in one.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

The fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",49.99,6499,7603.83,TIFOSI Rumour Sunglasses,TIFOSI,Brown;White,"http://products.activinstinct.com/y2014/m05/429370/33402911-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288433-7J850112 / 7J850117,"
							The power of Lightning XX combined with the spin produced from the tornado shaped outer wrap.


Spring loaded polyester Powerfoil releases explosive energy on impact for greater power while providing extra durability.
Tornado shaped outerwraps provide extra attacking topspin.

Gauge: 1.30mm						",107.99,12299,14389.83,PRINCE Lightning XX Spin 16 Reel Tennis String (200m),PRINCE,Clear/White;Clear/Black,"http://products.activinstinct.com/y2012/m05/288433/11249958-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429816-GG21/200 / GG7/200 / GG16/200 / GG6/200,"
							An all-around performance string that offers a balance of playability and durability for all playing levels and playing styles. Available in a variety of gauges for greater playability and durability.

SOLID CORE WITH SINGLE WRAP
The solid core give durability and reduces tension loss whilst the outer wrap protects the core and improves playabilityMaterialSynthetic 						",62.64,7764,9083.88,GAMMA Synthetic Gut Tennis String Reel,GAMMA,Gold;White;1.38mm;1.22mm;1.30mm,,
4191-GG7/200,,62.64,7764,9083.88,GAMMA Synthetic Gut 16 Reel 200M Tennis String ,GAMMA,Gold;White;1.38mm;1.30mm,"http://products.activinstinct.com/y2008/m12/4191/20788175-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
229062-CTB-5,"
							The Tourna Deluxe Poly-Bench is made from extruded high density polypropylene and PVC. This is the most durable and maintenance free bench available. This bench is very attractive and comfortable to sit on. It's also very easy to assemble and can be bolted to any hard surface.

Length: 4ft/5ft.
Colours: Green/White						",399.99,41499,48553.83,TOURNA Deluxe Poly-Bench,TOURNA,Green;White,"http://products.activinstinct.com/y2011/m06/229062/15409591-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429364-TIVATTYR2G / TIVHSTYR2B / TIVLNTYR2G,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

Revised and ready for action, the 24g Tyrant 2.0 is lighter and better than ever, with Clarion lenses.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

Fully adjustable ear pads allow a custom fit, increasing comfort and performance. The same can be said for the fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",69.99,8499,9943.83,TIFOSI Tyrant 2.0 Fototec Sunglasses,TIFOSI,Iron;Black/White;Gunmetal,"http://products.activinstinct.com/y2014/m05/429364/96644013-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
310356-82781-109-M / 52781-109-M,"
							This is a hard working junior tennis shoes that offers young players brilliant protection through a reinforced toecap and fantastic durability thanks to its outsole.

The outsole features non marking durable Aosta II high density rubber outsole with forefoot flexibility provided by flex grooves for ease of movement and a carpet friendly tread design.

Young players will revel in the support and comfort helping them to focus on developing their technique.MaterialSynthetic Leather Rubber 						",29.99,4499,5263.83,K-SWISS Optim IV Junior Carpet Shoes,K-SWISS,J12.5;J13;J13.5;UK1;UK2;UK2.5;UK3.5;UK4.5;UK5,"http://products.activinstinct.com/y2012/m09/310356/20204204-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395639-C310Y-0123,"
							The Asics Gel-Resolution 5 is amongst the tennis shoe elite. Packed full of technology, they combine to create a shoe that performs at an exceptionally high standard on all surfaces giving your game the flexibility and consistency to perform at your best.

With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability.

The upper is constructed to provide form-fitting comfort without sacrificing support and there are durable pivot points of AHAR rubber on the sole which gives brilliant grip during rotation.MaterialRubber Synthetic Material 						",34.99,4999,5848.83,ASICS Gel-Resolution 5 GS Junior Tennis Shoes,ASICS,J13;UK1;UK2;UK3;UK4;UK5;UK5.5,"http://products.activinstinct.com/y2013/m12/395639/95489755-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4157-P5/200,"
							The Prince Tournament Nylon tennis string provides exceptional value in a highly durable package.


Reliable value string for the recreational player.
Outer wraps provide more feel.
Centre core adds strength and tension retention.

Gauge: 1.38mm						",39.59,5459,6387.03,PRINCE Tournament Nylon 15 Tennis String Reel (200M) ,PRINCE,Natural;White,"http://products.activinstinct.com/y2008/m12/4157/27170835-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
224702--,"
							Made with a Mono-Filament construction, this classic 'all-court string' replicates the properties of Gut but with increased durability.

According to Ashaway, the construction of this string combines good response with above average durability. The stringing tension may be adjusted to provide increased control or livelier response.

Recommended for players looking for a responsive 16 gauge string at an economical price.						",67.19,8219,9616.23,ASHAWAY Synthetic Gut 16 1.30mm Tennis String Reel (220m),ASHAWAY,Natural;White,"http://products.activinstinct.com/y2011/m05/224702/89942017-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
405340-WRS316940,"
							The Wilson Junior Open Tennis Shoe features everything young players need to get them playing from a solid base. Forefoot overlay ensures enhanced support whilst comfort is taken care of by the Lightweight synthetic leather and mesh upper combined with the EVA midsole for cushioning. All-court Duralast outsole provides for durability and traction that will handle any court.MaterialRubber Synthetic Material 						",29.99,4499,5263.83,WILSON Junior Open Tennis Shoe,WILSON,UK1;UK1.5;UK2;UK2.5;UK3;UK3.5;UK4;UK4.5;UK5;UK5.5,"http://products.activinstinct.com/y2014/m01/405340/77684721-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
408658-83028-192-M,"
							A scaled down version of the Bigshot 2 and the lightest junior performance tennis shoe around.

Durawrap provides an extra line of defence against excessive toe-dragging. K-EVA is a special formula EVA to provide maximised cushioning and enhance the durability of the midsole.

The Aosta II Rubber Compound is a high-density outsole provides unsurpassed durability from heel to toe. Mid-foot support structure and anchoring in the arch area, featuring a TPU injection component, comes from Y-BEAM technology.MaterialRubber Synthetic 						",40.49,5549,6492.33,K-SWISS Bigshot Light Omni Junior Tennis Shoes,K-SWISS,UK1;UK1.5;UK2;UK2.5;UK3;UK3.5;UK4;UK4.5;UK5;UK5.5,"http://products.activinstinct.com/y2014/m02/408658/23759253-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
405351-WRS317820,"
							The Wilson Junior Open Tennis Shoe features everything young players need to get them playing from a solid base. Forefoot overlay ensures enhanced support whilst comfort is taken care of by the Lightweight synthetic leather and mesh upper combined with the EVA midsole for cushioning. All-court Duralast outsole provides for durability and traction that will handle any court.MaterialRubber Synthetic Material 						",29.99,4499,5263.83,WILSON Junior Open Tennis Shoe,WILSON,UK1;UK1.5;UK2;UK3.5;UK4;UK4.5;UK5;UK5.5,"http://products.activinstinct.com/y2014/m01/405351/38404686-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
408669-83028-195-M,"
							A scaled down version of the Bigshot 2 and the lightest junior performance tennis shoe around.

Durawrap provides an extra line of defence against excessive toe-dragging. K-EVA is a special formula EVA to provide maximised cushioning and enhance the durability of the midsole.

The Aosta II Rubber Compound is a high-density outsole provides unsurpassed durability from heel to toe. Mid-foot support structure and anchoring in the arch area, featuring a TPU injection component, comes from Y-BEAM technology.MaterialRubber Synthetic 						",40.49,5549,6492.33,K-SWISS Bigshot Light Omni Junior Tennis Shoes,K-SWISS,UK1;UK1.5;UK2.5;UK3.5;UK4;UK4.5;UK5;UK5.5,"http://products.activinstinct.com/y2014/m02/408669/54905024-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
405329-WRS316950,"
							The Wilson Junior Open Tennis Shoe features everything young players need to get them playing from a solid base. Forefoot overlay ensures enhanced support whilst comfort is taken care of by the Lightweight synthetic leather and mesh upper combined with the EVA midsole for cushioning. All-court Duralast outsole provides for durability and traction that will handle any court.MaterialRubber Synthetic Material 						",26.99,4199,4912.83,WILSON Junior Open Tennis Shoe,WILSON,UK1;UK1.5;UK3.5;UK4;UK4.5;UK5;UK5.5,"http://products.activinstinct.com/y2014/m01/405329/35069382-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
404352-D65992,"
							Styled just like the world's top tennis shoe, this junior version of the Barricade comes in a lightweight, durable synthetic upper with forefoot stability and ADIPRENE heel cushioning for serious court play.


Synthetic upper for light weight and durability
ADIPRENE+ in the forefoot maintains propulsion and efficiency
Eco-OrthoLite antimicrobial foam insole for kids
TORSION provides adaptive midfoot support
ADIPRENE under the heel for superior cushioning at impact
NON MARKING rubber outsoleMaterialRubber Synthetic Material 						",35.99,5099,5965.83,ADIDAS Barricade Team 3 Junior Tennis Shoes,ADIDAS,UK1;UK2;UK4;UK5;UK5.5,"http://products.activinstinct.com/y2014/m01/404352/61860924-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
8775-91033-163-M,"
							The Defier RS is engineered to stand up to the most intense game play. *Outsole Non-marking, durable Aosta 7. 0 rubber with abrasion resistant DragGuard in the toe and heel for extra durability in theses high-wear areas. *Midsole Shock Spring cushioning technology. PU and braided metal Cushion Board construction for extra support. *Upper Leather with ultra-durable TecTuff toe wrap as an extra line of defence against excessive toe-dragging. Stay-Tied laces to keep laces tied.MaterialLeather 						",59.99,7499,8773.83,K-SWISS Defier RS Ladies Tennis Shoes ,K-SWISS,UK3;UK3.5;UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,"http://products.activinstinct.com/y2008/m12/8775/8775-1-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
345517-E350Y-0121,"
							The Asics Gel-Resolution 5 is amongst the tennis shoe elite. Packed full of technology, they combine to create a shoe that performs at an exceptionally high standard on all surfaces giving your game the flexibility and consistency to perform at your best.

The Impact Guidance System enhances the foot's natural gait from heel strike to toe-off improving the efficiency and comfort of your foot-strike and movement. The featured heal clutching system offers an extra skeletal heel counter providing improved support and creating an improved heel fitting environment.

Biomorphic Fit technology allows the upper of the shoe to move in harmony with the foot, giving more comfort while in motion. This fit means the shoe material does not bunch, reducing the risk of blisters or irritation.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability. With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. There are also discrete, independently placed eyelets where the laces pass through the upper and disperse lace tension which leads to an improved fit and reduces possible irritation.

The discreet Eyeletstay lacing uses independently placed eyelets to disperse lace tension, creating a customised fit and enhanced upper comfort.MaterialMesh Rubber Synthetic 						",74.99,8999,10528.83,ASICS Gel-Resolution 5 Ladies Tennis Shoes,ASICS,UK3;UK3.5;UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5,"http://products.activinstinct.com/y2013/m02/345517/26959079-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395325-E356Y-0143,"
							The Asics Gel-Game 4 Tennis Shoe incorporates a mix of technology that provides comfort, support and durability so you can focus on elevating your game and outshining your adversary.

Upper constructed from nylon and synthetic leather for comfort, support and durability.

The forefoot GEL cushioning system consists of a silicone-based material placed in critical areas of the sole which dampens shock when the foot hits the ground, allowing for smoother movement through the gait cycle.

The Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the shoe.

There is California Lasting supplies stability and comfort. The upper is stitched around a canvas or EVA board and directly attached to the midsole.MaterialRubber Synthetic Material 						",54.99,6999,8188.83,ASICS Gel-Game 4 Ladies Tennis Shoes,ASICS,UK3;UK3.5;UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9,"http://products.activinstinct.com/y2013/m12/395325/20394719-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
