SKU,Description,MRP,SP,variant,imgurl,productname
"
			  VUST-T100				","
Stool is made of heavy duty tetron and tubular pipe. Foldable, easy for carrying and storage.


",660,"Rs. 
			555","
		,
		,
				",Admin/mm_bigger/1340096137_UMPIRE STOOL.jpg,Umpire Stool
"
			  PVS-CLB				","
Made of heavy gauge steel pipe. Easy height adjustment. Upright detaches for easy storage and transportation. Extension arms for safety.


",17824,"Rs. 
			14989","
		,
		,
				",Admin/mm_bigger/1326226995_POLE VAULT STAND - CLUB.jpg,Pole Vault Stand - Club
,,,,,,
,,,,,,
"
			  VSHC-AF2135				","
Aluminium Shot /Hammer Circle made of heavy aluminium. This can be folded and packed in box for easy transportation. Diameter : 2.135 m


",23441,"Rs. 
			19712","
		,
		,
				",Admin/mm_bigger/1326228792_VINEX SHOT-HAMMER CIRCLE.jpg,Vinex Shot / Hammer Circle
,,,,,,
,,,,,,
"
			  VSH-333				","
The special design of this hurdle makes it one of the best hurdles for school level competition & practice. It features powder coated paint, fixed weighted base, lexan gateboard and 5 height adjustments as per IAAF rule. This hurdle is detachable from the base which makes the transportation of the hurdle easier& economical.



",4145,"Rs. 
			3485","
		,
		,
				",Admin/mm_bigger/1326224219_CLUB.jpg,Club
,,,,,,
"
			  VED-200				","
Made of soft PVC available in assorted colours.


","436,532,645,821","Rs. 
			366,Rs. 
			448,Rs. 
			542,Rs. 
			690","
		,
		,
		200 gm		,
		350 gm		,
		500 gm		,
		750 gm		",Admin/mm_bigger/1340094977_ELEMENTARY DISCUS.jpg,Elementary Discus
"
			  VED-B100				","
These bags are made by using combination of Heavy Duty mesh fabric and nylon coated fabric.


","211,163","Rs. 
			178,Rs. 
			137","
		,
		,
		Carries 4 Elementary Discus		,
		Carries 4 Elementary Shots		",Admin/mm_bigger/1340095019_ELEMENTARY CARRYING BAG.jpg,Elementary Carrying Bag
"
			  HJS-A55				","
Upright made of Anodised Aluminium profile with in-built Metal Measuring Tape. Heavy base made of steel, powder coated for extra durability.


",14225,"Rs. 
			11962","
		,
		,
				",Admin/mm_bigger/1326226550_HIGH JUMP STAND CLUB.jpg,High Jump Stand - Club
"
			  HJS-A66				","
Aluminium 1.5 inches square tubular pipe. Base made of rectangular steel pipe with weight.


",5720,"Rs. 
			4810","
		,
		,
				",Admin/mm_bigger/1326321976_VINEX GOLD-100.jpg,Vinex Gold 100
,,,,,,
,,,,,,
"
			  CBF-E15				","
Made of elastic cord with 6"" x 1"" foam sections, overall length 15'
","634,634","Rs. 
			533,Rs. 
			533","
		,
		,
		Black digits only.		,
		Alternating Black & White digits.		",Admin/mm_bigger/1326227258_ELASTIC CROSSBAR.jpg,Elastic Crossbar
"
			  VSH-C10				","
,


",6915,"Rs. 
			5815","
		,
		,
				",Admin/mm_bigger/1326233876_HURDLE CART.jpg,Hurdle Cart
,,,,,,
,,,,,,
,,,,,,
"
			  DHC-S101				","
Made of heavy duty 100 mm Square Steel Tube, HOT GALVANIZED for long life. Poles can be detatched from centre for easy transportation and hinged for easy lifting during installation. Easy to bind the poles together with the help of tie bars for sturdiness of the cage. Gates are attached to the poles using four hinges and both gates include wheels for easy movement. NET is 5 mm thick (machine knitted) with 40 mm square mesh. Net is UV stabilized for long life. Steel tube is used on the top of the net to avoid sagging.


",1100000,"Rs. 
			925000","
		,
		,
		 , Cage with netting.		",Admin/mm_bigger/1326227909_VINEX DISCUS AND HAMMER THROWING CAGE.jpg,Vinex Discus and Hammer Throwing Cage
,,,,,,
"
			  PVS-CPT				","
Made of heavy gauge steel pipe. Easy height adjustment. Upright detaches from base rail for easy storage and transportation. Extension arms for safety.


",21751,"Rs. 
			18291","
		,
		,
				",Admin/mm_bigger/1326226788_POLE VAULT STAND - COMPETITION.jpg,Pole Vault Stand - Competition
"
			  STB-A101				","
Shot Toe Board Aluminium




",15061,"Rs. 
			12665","
		,
		,
		For Level pad		",Admin/mm_bigger/1326228588_(2) SHOT TOE BOARD ALUMINIUM.jpg,Shot Toe Board Aluminium
,,,,,,
,,,,,,
"
			  VFG-C4				","
Fibreglass Crossbar made in single piece through poltrusion process for minimum sag and extra durability.


","3791,4213","Rs. 
			3188,Rs. 
			3543","
		,
		,
		 , 4.0 m		,
		 , 4.5 m		",Admin/mm_bigger/1326227192_FIBREGALSS CROSSBAR.jpg,Fibreglass Crossbar
,,,,,,
,,,,,,
"
			  MST-OR30M				","
Measuring Tape made of fibreglass open reel. Available in different lengths.




","1133,1243,2365","Rs. 
			953,Rs. 
			1045,Rs. 
			1989","
		,
		,
		30 m		,
		50 m		,
		100 m		",Admin/mm_bigger/1326232394_MEASURING TAPE - OPEN REEL.jpg,Measuring Tape - Open Reel
,,,,,,
,,,,,,
,,,,,,
"
			  JAL-C30				","
Made of heavy steel tube. Suitable for carrying 30 Javelins.


",9075,"Rs. 
			7631","
		,
		,
				",Admin/mm_bigger/1326233715_JAVELIN CART.jpg,Javelin Cart
"
			  VLS-20				","
Frame is made of steel for extra stability with large and easy to read numbers. The base is made of heavy steel for stability on ground. Comes with bell.
",24728,"Rs. 
			20794","
		,
		,
				",Admin/mm_bigger/1340095890_LAP SCORING STAND.jpg,Lap Scoring Stand
"
			  SCB-100				","
Barrier beam made of 100 mm x 100 mm Steel Tube, covered with water proof plywood. Base legs have spring loaded snap-locks for easy height (3 heights) adjustment.


",36480,"Rs. 
			30677","
		,
		,
		 , 		",Admin/mm_bigger/1326224445_STEEPLE CHASE BARRIERS.jpg,Steeplechase Barriers
,,,,,,
"
			  VSH-666				","
Superior quality competition hurdle made of Heavy Gauge semi-circular Aluminum Alloy Tube with wider flat base for superior stability on the ground. Weight of the Hurdle adjusts automatically according to the height as per regulation Tip-over position.


",14109,"Rs. 
			11864","
		,
		,
				",Admin/mm_bigger/1340095183_VINEX OLYMPIC-AUTOMATIC.jpg,Vinex Olympic - Automatic
"
			  DSJC-100				","
Made of heavy steel pipe. Suitable for carrying 12 Javelins, 12 Shots and 30 Discus. Comes with extra durable wheels. Foldable to reduce freight cost.


",9075,"Rs. 
			7631","
		,
		,
				",Admin/mm_bigger/1326233779_DISCUS SHOT JAVELIN CART.jpg,Discus - Shot - Javelin Cart
"
			  VSH-113				","
Hurdle with compact base and sliding tube. Height adjusted by concealed push-buttons. 5 height adjustments as per IAAF rule.



",1973,"Rs. 
			1659","
		,
		,
				",Admin/mm_bigger/1326224260_SUPER-200.jpg,Super - 200
,,,,,,
"
			  VTOM-100				","
Take-off marker for long and triple jump with black stripes on both sides. Made of aluminium & powder coated for durable finish.


",2295,"Rs. 
			1930","
		,
		,
				",Admin/mm_bigger/1326233079_VINEX TAKE-OFF MARKER.jpg,Vinex Take - Off Marker
"
			  PVS-CPTA				","
The uprights and risers are made of Heavy Gauge Aluminium Tubing. Height Adjustment up to 21.75 feet, English & Metric Scale. Bases are made of heavy steel for extra sturdiness and stability. These bases are detachable for easy transportation and storage.  Also includes 8 Anchor pins.



",67254,"Rs. 
			56554","
		,
		,
		 , 		",Admin/mm_bigger/1326227110_POLE VAULT STAND ALUMINIUM - COMPETITION.jpg,Pole Vault Stand Aluminium - Competition
,,,,,,
,,,,,,
,,,,,,
"
			  JAL-N800				","Vinex Practice is machine-crafted and made of superior quality aluminium alloy. Perfect in balance and stability. Painted with good quality metallic paint. No Guarantee against bending & breakage.



","1320,1276,1210,1144,1100","Rs. 
			1110,Rs. 
			1073,Rs. 
			1018,Rs. 
			962,Rs. 
			925","
		,
		,
		800 gm.	Blue		,
		700 gm.	Green		,
		600 gm.	Red		,
		500 gm.	Yellow		,
		400 gm.	Orange		",Admin/mm_bigger/1326227796_VINEX JAVELIN PRACTICE.jpg,Vinex javelin - Practice
"
			  VSH-116				","
Scissor type hurdle made of steel strip. Height range 9"" to 36""


",1584,"Rs. 
			1332","
		,
		,
				",Admin/mm_bigger/1326224369_SCISSOR ECONOMY.jpg,Scissor Economy
"
			  VSB-C10				","
,
,


",8226,"Rs. 
			6917","
		,
		,
				",Admin/mm_bigger/1326233344_STARTING BLOCK CART.jpg,Starting Block Cart
"
			  FPP-555				","
The post and the base are made of heavy duty steel. Features powder coated finish and in-built wheels  make the movement of the post easier.


",10063,"Rs. 
			8462","
		,
		,
		Sold in Pair		",Admin/mm_bigger/1340095935_FINISH POST.jpg,Finish Post
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"
			  CBR-D15				","



","634,704","Rs. 
			533,Rs. 
			592","
		,
		,
		Crossbar 15' P. P. ROPE & durahyde covers weighted with sand.		,
		Crossbar 15' ELASTIC ROPE & durahyde covers weighted with sand.		",Admin/mm_bigger/1326227280_CROSSBAR ROPE.jpg,Crossbar Rope
,,,,,,
,,,,,,
,,,,,,
"
			  HJS-A11				","
,
,
,



",49881,"Rs. 
			41945","
		,
		,
		 , 		",Admin/mm_bigger/1326226382_HIGH JUMP STAND OLYMPIC.jpg,High Jump Stand Olympic
,,,,,,
"
			  HJS-XXX				","
Heavy gauge steel uprights. High Jump standards with 18"" steel square base. Steel constructed risers with welded bar rests. Complies with International standards. Approved by IAAF.





",13240,"Rs. 
			11133","
		,
		,
		 , 		",Admin/mm_bigger/1326226517_HIGH JUMP STAND COMPETITION.jpg,High Jump Stand - Competition
"
			  PVT-SS1				","
Welded stainless steel construction. Comes with blanking board made of aluminium. Sockets at bottom for drainage of water.


",35119,"Rs. 
			29532","
		,
		,
		 , 		",Admin/mm_bigger/1326228212_VINEX POLE VAULT BOX-COMPETITION.jpg,Vinex Pole Vault Box - Competition
"
			  RBP-S08				","
Made of plastic with rounded ends. Available in different colours.

","444,332,378,282","Rs. 
			374,Rs. 
			279,Rs. 
			318,Rs. 
			237","
		,
		,
		 , Senior set of 8 pieces.		,
		 , Senior set of 6 pieces.		,
		Junior set of 8 pieces.		,
		Junior set of 6 pieces.		",Admin/mm_bigger/1326319736_VINEX SUPER-200.jpg,VINEX SUPER  200
,,,,,,
,,,,,,
"
			  DGP-B20				","
89% rim Weight. High quality Brass rim with yellow reinforced plastic (unbreakable) side plates and without aluminium centre plates. Used in top competitions. Vinex Gold 100 Discus features ultra high spin, when thrown with proper turn gives better results.


","7753,7099,7097,6316,5584","Rs. 
			6519,Rs. 
			5970,Rs. 
			5968,Rs. 
			5311,Rs. 
			4695","
		,
		,
		 , 2.00 Kg.		,
		1.75 Kg.		,
		1.60 Kg.		,
		1.50 Kg.		,
		 , 1.00 Kg.		",Admin/mm_bigger/1326236007_VINEX GOLD-100 WOCP.jpg,Vinex Gold - 100 WOCP
,,,,,,
,,,,,,
"
			  STB-W100				","
,


",5419,"Rs. 
			4557","
		,
		,
				",Admin/mm_bigger/1326228528_(1) SHOT TOE BOARD WOODEN.jpg,Shot Toe Board Wooden
,,,,,,
"
			  VSH-111				","
,
,




",3742,"Rs. 
			3147","
		,
		,
				",Admin/mm_bigger/1326224141_PREMIUM.jpg,Premium
"
			  VSCP-100				","
Starter clapper made of wood for the best sound with dual colour painted for visual starting signal.



",1846,"Rs. 
			1552","
		,
		,
				",Admin/mm_bigger/1326232461_VINEX STARTER CLAPPER.jpg,Vinex Starter Clapper
"
			  VSH-112				","
Best quality hurdle used for practice and competitions. Inside concealed weights help the hurdle to come back when knocked by the athlete. Easy height adjustment by spring loaded plastic locks. 5 height adjustments as per IAAF rule.



",4052,"Rs. 
			3408","
		,
		,
				",Admin/mm_bigger/1326224173_CLASSIC.jpg,Classic
"
			  JAL-C800				","
New Vinex AERO Javelins are made of Special ALUMINIUM alloy for extra durability and stability.



","4904,4664,4422,4112,3870","Rs. 
			4124,Rs. 
			3922,Rs. 
			3718,Rs. 
			3458,Rs. 
			3254","
		,
		,
		800 gm.	Blue + White		,
		700 gm.	Green + White		,
		600 gm.	Red + White		,
		500 gm.	Yellow + White		,
		400 gm.	Orange + White		",Admin/mm_bigger/1326227759_VINEX AERO JAVELIN.jpg,Vinex Aero Javelin
"
			  WJC-9P				","
Jacket is made of heavy duty Polyester Fabric. Nine pockets each to hold 1lb weight. Wider shoulder straps for comfort and stability. Two nylon straps to fit secure.


",2860,"Rs. 
			2405","
		,
		,
				",Admin/mm_bigger/1340096099_WEIGHT JACKET.jpg,Weight Jacket
,,,,,,
"
			  STB-F100				","
Stop board made of fibre designed for depressed pad.



",10155,"Rs. 
			8540","
		,
		,
		 , 		",Admin/mm_bigger/1326228488_VINEX FIBRE STOP BOARD-COMPETITION.jpg,Vinex Fibre Stop Board - Competition
"
			  VSH-114L				","
Steel hurdle, light weight, 5 height adjustments as per IAAF rule by concealed push-buttons. Ideal for schools. 



",2266,"Rs. 
			1906","
		,
		,
		LEXAN GATEBOARD		",Admin/mm_bigger/1326224312_GOLD-100.jpg,Gold - 100
,,,,,,
,,,,,,
"
			  VPVP-700				","
This pit is made of best quality non-tear water proof thick fabric, P.U. foam. The special design of this pit allows smooth and soft landing and is made as per the new IAAF specifications. Comes with spike proof top. Cover made of vinyl coated fabric for extra durability. Consists of seven  base units and one top pad with four side handles on each base for easy carrying.



","660000,627000","Rs. 
			555000,Rs. 
			527250","
		,
		,
		 , (600 cm  x  800 cm  x  80 cm)		,
		(680 cm  x  500 cm  x  80 cm)		",Admin/mm_bigger/1326226692_POLE VAULT PIT-COMPETITION.jpg,Pole Vault Pit Competition
,,,,,,
,,,,,,
,,,,,,
"
			  DSHC-A100				","
,


",28435,"Rs. 
			23911","
		,
		,
		 , 		",Admin/mm_bigger/1326229072_VINEX DISCUS THROWING CIRCLE-ALUMINIUM.jpg,Vinex Discus Throwing Circle - Aluminium
"
			  VPVP-700RC				","


","49192,40205","Rs. 
			40531,Rs. 
			33127","
		,
		,
		(600 cm  x  800 cm  x  80 cm)		,
		(680 cm  x  500 cm  x  80 cm)		",Admin/mm_bigger/1326226715_POLE VAULT PIT-RAIN COVER.jpg,Pole Vault Pit - Rain Cover
"
			  CBH-F33				","



","2022,1624,2066","Rs. 
			1700,Rs. 
			1365,Rs. 
			1737","
		,
		,
		Aluminium folding super 25 mm-Hard paint.		,
		Steel folding - Round.		,
		30 mm aluminium with plastic ends - 4 metre single length.		",Admin/mm_bigger/1326227225_CROSSBAR.jpg,Crossbar
"
			  VDIC-AF2500				","


",26693,"Rs. 
			22446","
		,
		,
				",Admin/mm_bigger/1326228895_VINEX DISCUS CIRCLE.jpg,Vinex Discus Circle
,,,,,,
,,,,,,
,,,,,,
,"
	    ",,,"
		Cheques / Cash can be deposited into VINEXSHOP account at your nearest SBI Bank Branch or ATM against the account number mentioned above. (Alternately you can send  cheques to our postal address mentioned below. You also need to mention your Order No. and Invoice No. in your deposit slip while making payment via Cheque.) ,
	",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"
			  VSH-101				","
Vinex Velocity All Aluminium Hurdle offers a special design which makes it one of the safest hurdles. This hurdle offers extra strong elbows which give this hurdle more strength and durability. Folding design of Vinex Velocity reduces the volume of the hurdles, which saves cost on space / transportation. It also features Lexan Gateboard and PVC coated counter weights with better stacking ability. 5 height adjustments as per IAAF rule.




",11132,"Rs. 
			9361","
		,
		,
		 , 		",Admin/mm_bigger/1326223882_VINEX VELOCITY.jpg,Vinex Velocity
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"
			  RBA-S08PC				","
Made of Aluminium pipe smoothly turned from both ends, powder coated. Available in 8 different colours.




","911,684,805,605","Rs. 
			766,Rs. 
			575,Rs. 
			677,Rs. 
			509","
		,
		,
		Senior set of 8 pieces.		,
		Senior set of 6 pieces.		,
		Junior set of 8 pieces.		,
		Junior set of 6 pieces.		",Admin/mm_bigger/1326223796_VINEX CLASSIC.jpg,Vinex Classic
,,,,,,
,,,,,,
,,,,,,
"
			  RBA-S08				","
Aluminium pipe smoothly turned from both the ends, anodized. Available in 8 different colours.




","957,717,880,660","Rs. 
			805,Rs. 
			603,Rs. 
			740,Rs. 
			555","
		,
		,
		 , Senior set of 8 pieces		,
		 , Senior set of 6 pieces.		,
		Junior set of 8 pieces.		,
		Junior set of 6 pieces.		",Admin/mm_bigger/1326223724_VINEX GOLD-100.jpg,Vinex Gold - 100
"
			  VSB-03A				","
Casted aluminium centre rail and aluminium paddles with rubber pads. Adjustable at different positions. Attachment for synthetic tracks also available.




",3047,"Rs. 
			2562","
		,
		,
				",Admin/mm_bigger/1326223653_VINEX PREMIUM.jpg,Vinex Premium
,,,,,,
,,,,,,
"
			  VSB-08				","
Made of slotted steel channel, plastic paddles with PVC pads, suitable for all tracks.




",1313,"Rs. 
			1104","
		,
		,
				",Admin/mm_bigger/1326223611_VINEX RACER.jpg,Vinex Racer
"
			  VSB-22				","
Made of slotted galvanized steel channel, blocks made of extra thick poly-propylene for maximum durability, suitable for any track.





",1720,"Rs. 
			1447","
		,
		,
				",Admin/mm_bigger/1326223566_VINEX JET.jpg,Vinex Jet
,,,,,,
,,,,,,
"
			  VSB-02N				","
,





",5614,"Rs. 
			4721","
		,
		,
				",Admin/mm_bigger/1326223476_VINEX NEW OLYMPIC MARK II.jpg,Vinex New Olympic Mark II
"
			  VSB-01N				","
Centre rail made of 82 mm heavy slotted Aluminium Channel with thick ribs to slip in anchor plates for ensuring better ground stability. Extra broad paddles for easy start.





",8140,"Rs. 
			6845","
		,
		,
		 , 		",Admin/mm_bigger/1326223438_VINEX NEW OLYMPIC MARK I.jpg,Vinex New Olympic - Mark I
"
			  VSB-02				","
Made of slotted steel channel, light weight aluminium paddles with thick PVC pads. M.S. chromium plates with spikes to hold the starting block on synthetic tracks.




",4651,"Rs. 
			3911","
		,
		,
				",Admin/mm_bigger/1326223503_VINEX OLYMPIC MARK IV.jpg,Vinex Olympic Mark IV
,,,,,,
,,,,,,
"
			  VSB-01B				","
IAAF Certified. Centre rail made of special 75 mm slotted aluminium channel with ribs to slip in anchor plates ensuring high ground stability. Heavy aluminium paddles with thick rubber pads. Rust proof plates with spikes to hold the starting block on synthetic tracks / cinder tracks.




",7722,"Rs. 
			6494","
		,
		,
		 , 		",Admin/mm_bigger/1326223403_VINEX OLYMPIC MARK I.jpg,Vinex Olympic Mark I
,,,,,,
,,,,,,
"
			  HGL-111 LHS				",Vinex Hammer Gloves Leather,"583,583,583,583,583,583,583,583","Rs. 
			490,Rs. 
			490,Rs. 
			490,Rs. 
			490,Rs. 
			490,Rs. 
			490,Rs. 
			490,Rs. 
			490","
		,
		,
		Left Hand, Size - S		,
		Left Hand, Size - M		,
		Left Hand, Size - L		,
		Left Hand, Size -XL		,
		Right Hand, Size - M		,
		Right Hand, Size - XL		,
		Right Hand, Size - L		,
		Right Hand, Size - S		",Admin/mm_bigger/1326223326_VINEX HAMMER GLOVES LEATHER.jpg,Vinex Hammer Gloves Leather
,,,,,,
"
			  HWG-100				","





",132,"Rs. 
			111","
		,
		,
		3.20 mm thick		",Admin/mm_bigger/1326223300_VINEX SPARE HAMMER WIRES STEEL.jpg,Vinex Spare Hammer Wires Steel
,,,,,,
"
			  HHV-101				","





","365,493,1212","Rs. 
			307,Rs. 
			414,Rs. 
			1019","
		,
		,
		Straight aluminium		,
		 , Curved aluminium		,
		Straight, single steel wire		",Admin/mm_bigger/1326223276_VINEX SPARE HAMMER HANDLES.jpg,Vinex Spare Hammer Handles
,,,,,,
"
			  HVE-400				","
Cast iron accurate weight hammer.




","1096,1260,1320,1374","Rs. 
			966,Rs. 
			1111,Rs. 
			1164,Rs. 
			1212","
		,
		,
		4.00	kg.		,
		5.45	kg.		,
		6.00	kg.		,
		7.26	kg.		",Admin/mm_bigger/1326223245_VINEX ECONOMY UNTURNED CAST IRON.jpg,Vinex Economy Unturned Cast Iron
,,,,,,
"
			  HVI-300				","
Cast iron precisely machine turned hammer for accurate weight and diameter. Comes with IAAF approved Hammer Handles.





","1758,2006,2321,3307,2651,2660,3749","Rs. 
			1478,Rs. 
			1687,Rs. 
			1952,Rs. 
			2781,Rs. 
			2229,Rs. 
			2237,Rs. 
			3152","
		,
		,
		3.00	kg.	97 mm		,
		4.00	kg.	102 mm		,
		 , 5.00	kg.	115 mm		,
		5.45	kg.	108 mm		,
		 , 6.00	kg.	115 mm		,
		6.25	kg.	115 mm		,
		7.26	kg.	120 mm		",Admin/mm_bigger/1326223214_VINEX SUPER TURNED IRON SHELL.jpg,Vinex Super Turned Iron Shell
"
			  HVS-F40				","
High quality Alloy Steel (rust proof) hammer, manufactured to International standards. Comes with IAAF approved Hammer Handles.




","5973,7458,6244,8886","Rs. 
			5023,Rs. 
			6272,Rs. 
			5250,Rs. 
			7472","
		,
		,
		 , 4.00	kg.	95 mm		,
		5.45	kg.	103 mm		,
		6.00	kg.	107 mm		,
		 , 7.26	kg.	110 mm		",Admin/mm_bigger/1326223164_VINEX SUPER-200.jpg,Vinex Super - 200
,,,,,,
,,,,,,
"
			  TSA-300				","
Cast iron solid turned shots. Accurate weight and balance. Available in economical price range. Ideal for schools and training.





","876,1115,1357,1654,1894","Rs. 
			736,Rs. 
			938,Rs. 
			1141,Rs. 
			1391,Rs. 
			1593","
		,
		,
		3.00	kg.		,
		4.00	kg.		,
		5.00	kg.		,
		6.25	kg.		,
		7.26	kg.		",Admin/mm_bigger/1326223059_VINEX TURNED ECONOMY.jpg,Vinex Turned Economy
"
			  ESP-363 K				","
Cast iron shots, round shaped and nicely painted. Maintains a weight tolerance of +/- 70 gm and round shape. This shot is complete value for money.



","796,876,970,1069,1157,1258,1302,1500","Rs. 
			670,Rs. 
			736,Rs. 
			816,Rs. 
			899,Rs. 
			973,Rs. 
			1058,Rs. 
			1095,Rs. 
			1262","
		,
		,
		3.630	kg.		,
		4.000	kg.		,
		4.500	kg.		,
		5.000	kg.		,
		5.450	kg.		,
		6.000	kg.		,
		6.250	kg.		,
		7.260	kg.		",Admin/mm_bigger/1326223028_VINEX ECONOMY.jpg,Vinex Economy
"
			  VSP-328				","
Turned iron shots, precisely machine turned for accurate weight and diameter specifications. Available in different weights and diameter.




","2735,2022,1969,3256,2138,2246,2160,2671,2149,1830,1549,1236,1514,1824,1379,1478,1481,1349,1012,1019,1019","Rs. 
			2300,Rs. 
			1700,Rs. 
			1656,Rs. 
			2738,Rs. 
			1798,Rs. 
			1889,Rs. 
			1817,Rs. 
			2246,Rs. 
			1807,Rs. 
			1539,Rs. 
			1302,Rs. 
			1040,Rs. 
			1273,Rs. 
			1534,Rs. 
			1160,Rs. 
			1243,Rs. 
			1245,Rs. 
			1134,Rs. 
			851,Rs. 
			857,Rs. 
			857","
		,
		,
		7.26	kg.	128 mm.		,
		 , 7.26	kg.	125 mm.		,
		 , 6.00	kg.	125 mm.		,
		 , 7.26	kg.	120 mm.		,
		 , 6.00	kg.	120 mm.		,
		6.25	kg.	121 mm.		,
		6.00	kg.	119 mm.		,
		5.45	kg.	108 mm.		,
		5.45	kg.	114 mm.		,
		 , 5.00	kg.	115 mm.		,
		4.00	kg.	108 mm.		,
		 , 4.00	kg.	103 mm.		,
		4.00	kg.	102 mm.		,
		4.00	kg.	100 mm.		,
		3.63	kg.	100 mm.		,
		3.50	kg.	108 mm.		,
		3.25	kg.	97 mm.		,
		3.00	kg.	97 mm.		,
		2.625	kg.	93 mm.		,
		2.500	kg.	88 mm.		,
		2.000	kg.	80 mm.		",Admin/mm_bigger/1326222997_VINEX SUPER.jpg,Vinex Super
,,,,,,
,,,,,,
,,,,,,
"
			  VSP-229				","
Shell made of rust proof alloy (Stainless Steel). Precisely machine turned for accurate diameter and balance.



","8393,8195,5551,6765,5282,5185","Rs. 
			7058,Rs. 
			6891,Rs. 
			4668,Rs. 
			5689,Rs. 
			4442,Rs. 
			4360","
		,
		,
		 , 7.26	kg.	129	mm.		,
		7.26	kg.	110	mm.		,
		6.00	kg.	107	mm.		,
		5.45	kg.	103	mm.		,
		 , 4.00	kg.	95	mm.		,
		 , 4.00	kg.	109	mm.		",Admin/mm_bigger/1326222958_VINEX SUPER-200.jpg,VINEX SUPER-200
,,,,,,
"
			  VHS-200				","
IAAF Certified Hyper spin is a premium quality Discus. This Discus is precisely mastered and designed with JOINTLESS rim. 91% rim weight in the Discus assists the throwers to get  remarkable spin, longer distance and extra stability. This Discus features RUST PROOF ALLOY RIM with UNBREAKABLE strong plastic side plates, which makes it one of the best Discus in the world.






","4349,3995,3995,3894,3641","Rs. 
			3657,Rs. 
			3360,Rs. 
			3360,Rs. 
			3274,Rs. 
			3062","
		,
		,
		 , 2.000 kg.		,
		1.750 kg.		,
		1.600 kg.		,
		1.500 kg.		,
		 , 1.000 kg. 		",Admin/mm_bigger/1326221725_VINEX HYPER SPIN.jpg,Vinex Hyper Spin
,,,,"
In order to streamline support requests and better serve you, we utilize a customer support ticket system. If  you are unable to find a solution to your problems on our website or you are not satisfied with our services, including Sales, Billing, Support or in case, any concerned department has not responded to you or anything that relates to VINEXSHOP.COM, please post your  request or complaint here. This request or complaint gets directly submitted to VINEXSHOP.COM Management, and will be looked into on top priority.",,
,,,,,,
