Category,Page Title,Product Image File - 1,Product Image File - 2,Product ID,Product Image File - 7,Product Image File - 6,Brand Name,Product Image File - 4,Product Description,Price,Product Image File - 8,Product Image Sort - 2,Product Name,Product Image Sort-5,Product Image File - 3,Product Image Sort-7,Product Image Sort-6,Free Shipping,Current Stock Level,Option Set,Track Inventory,Product Image Sort-8,Sort Order,Product Image Description - 1,Retail Price,Product Availability,Meta Description,Sale Price,Product Code/SKU,Product Image File - 5 ,Item Type,Product Image Sort - 1,Product Image Is Thumbnail - 1,Product Image Sort - 3,Bin Picking Number,Product Image Sort - 4
,,,,201548,,,,,,,,,[S]Size= US 10,,,,,,100,,,,,,,,,,650320HLABRD686,,SKU,,,,HOLABIRDSPORTS,
,,,,201549,,,,,,,,,[S]Size= US 11,,,,,,100,,,,,,,,,,650320HLABRD674,,SKU,,,,HOLABIRDSPORTS,
,,,,201550,,,,,,,,,[S]Size= US 9,,,,,,100,,,,,,,,,,650320HLABRD685,,SKU,,,,HOLABIRDSPORTS,
Shoes/Men's Shoes/Tennis Shoes;Racket Sports/Tennis/Tennis Shoes/Men's Shoes,Buy the adidas Barricade Court Men's White/Tech Silver Metallic Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/1/1/113589_3.jpg,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/1/1/113589_1.jpg,103724,,,adidas,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/1/1/113589_4.jpg,<p>adidas Barricade Court tennis shoes are low-profile performance shoes for players that use aggressive play to conquer competition. The stability chassis located at the midfoot of the shoes provides excellent steadiness while leaving plenty space for flexibility in the forefoot. These durable and supportive shoes will definitely help enhance your play.</p>,8615.0,,2,adidas Barricade Court Men's White/Tech Silver Metallic*,5,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/1/1/113589_2.jpg,7,6,N,100,adidas Barricade Court Men's White/Tech Silver Metallic,By Option,8,-335,Buy adidas Barricade Court Men's White/Tech Silver Metallic Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,8615.0,15-21 Working days,Get your hands on the adidas Barricade Court Men's White/Tech Silver Metallic. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,8137.3,113589HLABRD,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/1/1/113589_5.jpg,Product,1,Y,3,HOLABIRDSPORTS,4
,,,,329503,,,,,,,,,[S]Size= US 10,,,,,,100,,,,,,,,,,113589HLABRD3279,,SKU,,,,HOLABIRDSPORTS,
,,,,329504,,,,,,,,,[S]Size= US 10.5,,,,,,100,,,,,,,,,,113589HLABRD3292,,SKU,,,,HOLABIRDSPORTS,
,,,,329505,,,,,,,,,[S]Size= US 11,,,,,,100,,,,,,,,,,113589HLABRD3281,,SKU,,,,HOLABIRDSPORTS,
,,,,329506,,,,,,,,,[S]Size= US 11.5,,,,,,100,,,,,,,,,,113589HLABRD3293,,SKU,,,,HOLABIRDSPORTS,
,,,,329507,,,,,,,,,[S]Size= US 12,,,,,,100,,,,,,,,,,113589HLABRD3294,,SKU,,,,HOLABIRDSPORTS,
,,,,329508,,,,,,,,,[S]Size= US 12.5,,,,,,100,,,,,,,,,,113589HLABRD3300,,SKU,,,,HOLABIRDSPORTS,
,,,,329509,,,,,,,,,[S]Size= US 13,,,,,,100,,,,,,,,,,113589HLABRD3295,,SKU,,,,HOLABIRDSPORTS,
,,,,329510,,,,,,,,,[S]Size= US 14,,,,,,100,,,,,,,,,,113589HLABRD3296,,SKU,,,,HOLABIRDSPORTS,
,,,,329511,,,,,,,,,[S]Size= US 7,,,,,,100,,,,,,,,,,113589HLABRD3286,,SKU,,,,HOLABIRDSPORTS,
,,,,329512,,,,,,,,,[S]Size= US 7.5,,,,,,100,,,,,,,,,,113589HLABRD3287,,SKU,,,,HOLABIRDSPORTS,
,,,,329513,,,,,,,,,[S]Size= US 8,,,,,,100,,,,,,,,,,113589HLABRD3288,,SKU,,,,HOLABIRDSPORTS,
,,,,329514,,,,,,,,,[S]Size= US 8.5,,,,,,100,,,,,,,,,,113589HLABRD3289,,SKU,,,,HOLABIRDSPORTS,
,,,,329515,,,,,,,,,[S]Size= US 9,,,,,,100,,,,,,,,,,113589HLABRD3290,,SKU,,,,HOLABIRDSPORTS,
,,,,329516,,,,,,,,,[S]Size= US 9.5,,,,,,100,,,,,,,,,,113589HLABRD3291,,SKU,,,,HOLABIRDSPORTS,
Racket Sports/Tennis/Strings,Buy the Wilson NXT Power 17 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/17f82f742ffe127f42dca9de82fb58b1/0/1/011839_1.jpg,,88367,,,Wilson,,<p>Unleash the power in your swing when you string your tennis racquet with Wilson NXT Power 17. This tennis string is constructed with high crystallinity Xycro Micro fibers processed for ideal feel and power.</p>,2399.0,,2,Wilson NXT Power 17*,5,,7,6,N,100,Wilson NXT Power 17,By Product,8,-237,Buy Wilson NXT Power 17 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,2399.0,15-21 Working days,Get your hands on the Wilson NXT Power 17. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,2034.5,011839   PKGHLABRD,,Product,1,Y,3,HOLABIRDSPORTS,4
Racket Sports/Tennis/Strings,Buy the Gamma iO 17 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/17f82f742ffe127f42dca9de82fb58b1/0/1/011716_blu_1.jpg,,87926,,,Gamma,,"<p>Designed to deliver exceptional power and access to spin, Gamma iO 17 tennis racquet string offers pinpoint control for players with powerful ground strokes. This tennis racquet string provides enhanced levels of response and comfort.</p>",2124.0,,2,Gamma iO 17*,5,,7,6,N,100,Gamma iO 17,By Option,8,-236,Buy Gamma iO 17 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,2124.0,15-21 Working days,Get your hands on the Gamma iO 17. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,1363.8,011716HLABRD,,Product,1,Y,3,HOLABIRDSPORTS,4
,,,,201869,,,,,,,,,[S]Size= US Black,,,,,,100,,,,,,,,,,011716HLABRD1228,,SKU,,,,HOLABIRDSPORTS,
,,,,201870,,,,,,,,,[S]Size= US Blue,,,,,,100,,,,,,,,,,011716HLABRD1478,,SKU,,,,HOLABIRDSPORTS,
,,,,201871,,,,,,,,,[S]Size= US Orange,,,,,,100,,,,,,,,,,011716HLABRD2266,,SKU,,,,HOLABIRDSPORTS,
,,,,201872,,,,,,,,,[S]Size= US Silver,,,,,,100,,,,,,,,,,011716HLABRD3278,,SKU,,,,HOLABIRDSPORTS,
Racket Sports/Tennis/Strings,Buy the Wilson NXT 16 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/17f82f742ffe127f42dca9de82fb58b1/0/1/010537_1.jpg,,87757,,,Wilson,,"<p>If you're looking for an optimal playing string that provides superior shock absorption and gut-like playability, then look no further than Wilson NXT 16 tennis string. This string replaces Sensation NXT 17 but provides the same great performance with a new name. You'll experience comfort, feel and great playability.</p>",2579.0,,2,Wilson NXT 16*,5,,7,6,N,100,Wilson NXT 16,By Product,8,-239,Buy Wilson NXT 16 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,2579.0,15-21 Working days,Get your hands on the Wilson NXT 16. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,2034.5,010537   PKGHLABRD,,Product,1,Y,3,HOLABIRDSPORTS,4
Racket Sports/Tennis/Strings,Buy the Wilson Synthetic Gut Extreme 16 - 10 Pack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/0/1/011975_nat_1.jpg,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/0/1/011975_nat_2.jpg,87774,,,Wilson,,"<p>For a wide variety of playing styles, string up your number one racquet with Wilson Synthetic Gut Extreme 16 tennis string. You’ll get a great balance of playability and durability with awesome directional control.</p>",4830.0,,2,Wilson Synthetic Gut Extreme 16 - 10 Pack*,5,,7,6,N,100,Wilson Synthetic Gut Extreme 16 - 10 Pack,By Option,8,-238,Buy Wilson Synthetic Gut Extreme 16 - 10 Pack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4830.0,15-21 Working days,Get your hands on the Wilson Synthetic Gut Extreme 16 - 10 Pack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,3024.7,011975HLABRD,,Product,1,Y,3,HOLABIRDSPORTS,4
,,,,201575,,,,,,,,,[S]Size= US Natural,,,,,,100,,,,,,,,,,011975HLABRD2155,,SKU,,,,HOLABIRDSPORTS,
,,,,201576,,,,,,,,,[S]Size= US White,,,,,,100,,,,,,,,,,011975HLABRD2781,,SKU,,,,HOLABIRDSPORTS,
Racket Sports/Tennis/Strings,Buy the Tecnifibre X-One Biphase 17 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/17f82f742ffe127f42dca9de82fb58b1/0/1/010939_nat_1.jpg,,87878,,,Tecnifibre,,"<p>Tecnifibre X-One Biphase 17 is Tecnifibre's flagship playability tennis string, and for good reason. With plenty of technology packed in for maximum power, feel and comfort, this string is even a great choice if you suffer from arm pain. The 17 gauge is even thinner for increased feel on those touch shots.</p>",2395.0,,2,Tecnifibre X-One Biphase 17*,5,,7,6,N,100,Tecnifibre X-One Biphase 17,By Option,8,-240,Buy Tecnifibre X-One Biphase 17 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,2395.0,15-21 Working days,Get your hands on the Tecnifibre X-One Biphase 17. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,2034.5,010939HLABRD,,Product,1,Y,3,HOLABIRDSPORTS,4
,,,,201829,,,,,,,,,[S]Size= US Natural,,,,,,100,,,,,,,,,,010939HLABRD2155,,SKU,,,,HOLABIRDSPORTS,
,,,,201830,,,,,,,,,[S]Size= US Red,,,,,,100,,,,,,,,,,010939HLABRD2464,,SKU,,,,HOLABIRDSPORTS,
Racket Sports/Squash/Squash Shoes/Women's Shoes; Racket Sports/Badminton/Badminton Shoes/Women's Shoes; Racket Sports/Table Tennis/Table Tennis Shoes; Team Sports/Volleyball/Volleyball Shoes/Women's Shoes; Shoes/Women's Shoes/Indoor Court Shoes,Buy the Salming Race R5 2.0 Women's Purple Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210389_3.jpg,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210389_1.jpg,88537,,,Salming,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210389_4.jpg,<p>Salming Race R5 2.0 indoor court shoes give squash and racquetball players the stability they need for safety and success. The uniquely comfortable upper and elongated heel cup virtually eliminate the break-in period for top performance right out of the box. The flexibility will stimulate your foot’s natural movement while the bright colors will motivate your game.</p>,13343.0,,2,Salming Race R5 2.0 Women's Purple*,5,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210389_2.jpg,7,6,N,100,Salming Race R5 2.0 Women's Purple,By Option,8,-316,Buy Salming Race R5 2.0 Women's Purple Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,13343.0,15-21 Working days,Get your hands on the Salming Race R5 2.0 Women's Purple. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,13338.9,210389HLABRD,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210389_5.jpg,Product,1,Y,3,HOLABIRDSPORTS,4
,,,,203349,,,,,,,,,[S]Size= US 10,,,,,,100,,,,,,,,,,210389HLABRD3279,,SKU,,,,HOLABIRDSPORTS,
,,,,203350,,,,,,,,,[S]Size= US 10.5,,,,,,100,,,,,,,,,,210389HLABRD3292,,SKU,,,,HOLABIRDSPORTS,
,,,,203351,,,,,,,,,[S]Size= US 6,,,,,,100,,,,,,,,,,210389HLABRD3284,,SKU,,,,HOLABIRDSPORTS,
,,,,203352,,,,,,,,,[S]Size= US 9.5,,,,,,100,,,,,,,,,,210389HLABRD3291,,SKU,,,,HOLABIRDSPORTS,
Racket Sports/Squash/Squash Shoes/Women's Shoes; Racket Sports/Badminton/Badminton Shoes/Women's Shoes; Racket Sports/Table Tennis/Table Tennis Shoes; Team Sports/Volleyball/Volleyball Shoes/Women's Shoes; Shoes/Women's Shoes/Indoor Court Shoes,Buy the ASICS GEL-Volleycross® Revolution Women's Black/Gunmetal Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210287_3.jpg,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210287_1.jpg,88540,,,ASICS,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210287_4.jpg,<p>ASICS GEL-Volleycross Revolution MT speed and cushioning volleyball shoes give you the necessary bounce and stability for enhanced performance at the net. ASICS GEL® cushioning systems won’t let you down when you need it the most during those high-impact landings after you challenge for the point. The professional look of these shoes will pair perfectly with your team’s uniform.</p>,12871.0,,2,ASICS GEL-Volleycross® Revolution Women's Black/Gunmetal*,5,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210287_2.jpg,7,6,N,100,ASICS GEL-Volleycross® Revolution Women's Black/Gunmetal,By Option,8,-335,Buy ASICS GEL-Volleycross® Revolution Women's Black/Gunmetal Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,12871.0,15-21 Working days,Get your hands on the ASICS GEL-Volleycross® Revolution Women's Black/Gunmetal. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,8799.3,210287HLABRD,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210287_5.jpg,Product,1,Y,3,HOLABIRDSPORTS,4
,,,,203373,,,,,,,,,[S]Size= US 10,,,,,,100,,,,,,,,,,210287HLABRD3279,,SKU,,,,HOLABIRDSPORTS,
,,,,203372,,,,,,,,,[S]Size= US 10.5,,,,,,100,,,,,,,,,,210287HLABRD3292,,SKU,,,,HOLABIRDSPORTS,
,,,,203371,,,,,,,,,[S]Size= US 11,,,,,,100,,,,,,,,,,210287HLABRD3281,,SKU,,,,HOLABIRDSPORTS,
,,,,203370,,,,,,,,,[S]Size= US 6,,,,,,100,,,,,,,,,,210287HLABRD3284,,SKU,,,,HOLABIRDSPORTS,
,,,,203369,,,,,,,,,[S]Size= US 6.5,,,,,,100,,,,,,,,,,210287HLABRD3285,,SKU,,,,HOLABIRDSPORTS,
,,,,203368,,,,,,,,,[S]Size= US 7,,,,,,100,,,,,,,,,,210287HLABRD3286,,SKU,,,,HOLABIRDSPORTS,
,,,,203367,,,,,,,,,[S]Size= US 7.5,,,,,,100,,,,,,,,,,210287HLABRD3287,,SKU,,,,HOLABIRDSPORTS,
,,,,203366,,,,,,,,,[S]Size= US 8,,,,,,100,,,,,,,,,,210287HLABRD3288,,SKU,,,,HOLABIRDSPORTS,
,,,,203365,,,,,,,,,[S]Size= US 8.5,,,,,,100,,,,,,,,,,210287HLABRD3289,,SKU,,,,HOLABIRDSPORTS,
Racket Sports/Squash/Squash Shoes/Women's Shoes; Racket Sports/Badminton/Badminton Shoes/Women's Shoes; Racket Sports/Table Tennis/Table Tennis Shoes; Team Sports/Volleyball/Volleyball Shoes/Women's Shoes; Shoes/Women's Shoes/Indoor Court Shoes,Buy the ASICS GEL-Netburner Ballistic Women's Columbia Blue/Silver/Navy Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210417_3.jpg,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210417_1.jpg,101517,,,ASICS,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210417_4.jpg,"<p>ASICS GEL-Netburner Ballistic MT indoor court shoes are an update to the former GEL-Volleycross® Revolution line by combining running characteristics with exceptional cushion and support for indoor court sports. Volleyball, squash and racquetball players will enjoy the enhanced stability and secure fit. A redesigned upper provides unmatched comfort with breathability and durability.</p>",13344.0,,2,ASICS GEL-Netburner Ballistic Women's Columbia Blue/Silver/Navy*,5,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210417_2.jpg,7,6,N,100,ASICS GEL-Netburner Ballistic Women's Columbia Blue/Silver/Navy,By Option,8,-337,Buy ASICS GEL-Netburner Ballistic Women's Columbia Blue/Silver/Navy Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,13344.0,15-21 Working days,Get your hands on the ASICS GEL-Netburner Ballistic Women's Columbia Blue/Silver/Navy. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,11920.3,210417HLABRD,http://cdn.media.holabirdsports.com/media/catalog/product/cache/1/image/500x500/040ec09b1e35df139433887a97daa66f/2/1/210417_5.jpg,Product,1,Y,3,HOLABIRDSPORTS,4
,,,,340249,,,,,,,,,[S]Size= US 10,,,,,,100,,,,,,,,,,210417HLABRD3279,,SKU,,,,HOLABIRDSPORTS,
,,,,340250,,,,,,,,,[S]Size= US 10.5,,,,,,100,,,,,,,,,,210417HLABRD3292,,SKU,,,,HOLABIRDSPORTS,
,,,,340251,,,,,,,,,[S]Size= US 11,,,,,,100,,,,,,,,,,210417HLABRD3281,,SKU,,,,HOLABIRDSPORTS,
,,,,340252,,,,,,,,,[S]Size= US 6,,,,,,100,,,,,,,,,,210417HLABRD3284,,SKU,,,,HOLABIRDSPORTS,
