Category,SKU,Variant,MRP,productname,stock,imgurl,Description
�Hydration,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Bottle Cage"",""price"":""300.0"",""sku"":""86421017"",""categories"":[""product/accessories"",""brand/bontrager"",""category/hydration""]},""category"":{""name"":""category/hydration""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 300.00,Bontrager Bottle Cage,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">I</span><span style=""font-size: small; font-family: trebuchet ms,geneva;"">deal for both road and path riding where repeated bottle jarring isn't a concern, Bontrager's 5mm cage is constructed from lightweight 6061-T6 aluminum that's topped with a durable powder coat finish.</span></p>
<div><span style=""font-size: small; font-family: trebuchet ms,geneva;"">- Suits most of the bottles available in the market</span></div>
<div><span style=""font-size: small; font-family: trebuchet ms,geneva;"">- Color - Black</span></div>
<div><span style=""font-size: small; font-family: trebuchet ms,geneva;"">- Best selling bottle cage at Bumsonthesaddle.</span></div>
                
              </div>"
Accessories,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Commuter Fender MTB"",""price"":""1380.0"",""sku"":""86421005"",""categories"":[""product/accessories"",""category/bike-protection"",""brand/bontrager""]},""category"":{""name"":""product/accessories""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,380.00",Bontrager Commuter Fender MTB,Delivered in 15 to 20 business days,"/spree/products/332/product/bontrager-commuter-mtb.jpg?1353915829,/spree/products/25/product/bon_commfend_11_m.jpg?1349870566","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">A must-have for the dedicated commuter or all-weather cyclist, this set of high-impact nylon front and rear fenders mounts quickly and easily to almost any frame.</span></p>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">And unlike clip-on style guards, these fenders attach to the frame and fork crown with dedicated metal hardware for stability and durability. Fit 26"" wheels Fast and easy assembly for front and rear of bike</span></p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Commuter Gel Saddle "",""price"":""1550.0"",""sku"":""86421027"",""categories"":[""product/accessories"",""brand/bontrager"",""category/saddles""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,550.00",Bontrager Commuter Gel Saddle ,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-size: small; font-family: trebuchet ms,geneva;"">With a tough, weather-resistant vinyl cover, Bontrager's Commuter Gel saddle is ready to stand up to the punishment of the daily grind. Plenty of gel cushioning in the nose and sit bone area helps make this saddle supremely comfortable. Synthetic leather cover. Steel rails.</span></p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Gloves "",""price"":""1470.0"",""sku"":""86421087"",""categories"":[""product/accessories"",""brand/bontrager"",""category/rider-protection""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ","
                Size: Large
              ,
                Size: Medium
              ,
                Size: Small
              ","Rs 1,470.00",Bontrager Gloves ,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Upgrade to the unmatched comfort of inForm with the new redesigned Sport glove. Ergonomically engineered using university-backed research, inForm gloves are scientifically shown to reduce pressure over the sensitive ulnar nerve, helping to eliminate hand discomfort, numbness, and fatigue.</span></p>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Color - Black / Grey</span></p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager H2 Eco Tire (700X35C)   "",""price"":""1210.0"",""sku"":""86421134"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,210.00",Bontrager H2 Eco Tire (700X35C)   ,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><strong>A durable road tire with a smooth rolling center and great cornering traction for bike path adventures.</strong></p>
<p>Features</p>
<p>The latest in pavement tire technology and design, the natural successor to the Satellite and Nebula<br>Lightweight and supple casing<br>Durable and smooth riding tread compound<br>Advanced tread design for great traction, wet or dry<br>All Deluxe and Hard-Case Lite level tires are made from Bontrager's exclusive Outlast construction<br>Outlast tires include natural rubber from sustainable harvest practices and up to 15% reclaimed rubber<br>Outlast tire treads last up to 50% longer than standard tire treads with no sacrifice in performance<br>411263 has a reflective sidewall stripe</p>
<p> </p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Hybrid tube (700X35-44C) Schrader Valve"",""price"":""330.0"",""sku"":""86421131"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 330.00,Bontrager Hybrid tube (700X35-44C) Schrader Valve,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><strong>Features</strong></p>
<p>0.9mm wall thickness<br>Premium quality, standard weight replacement tubes</p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager LT2 Eco tires (700X35C)  "",""price"":""1670.0"",""sku"":""86421133"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,670.00",Bontrager LT2 Eco tires (700X35C)  ,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><strong>The LT2 are light trail specialty tires designed for fast rolling on both smooth pavement and packed light trails.</strong></p>
<p>Features</p>
<p>Light weight all-around tire that's at home on the street as well as paths and light trails<br>Hard-Case Lite versions offer lightweight puncture protection<br>Hard-Case Ultimate models available with triple flat protection<br>All Deluxe and Hard-Case Lite level tires are made from Bontrager's exclusive Outlast construction<br>Outlast tires include natural rubber from sustainable harvest practices and up to 15% reclaimed rubber<br>Outlast tire treads last up to 50% longer than standard tire treads with no sacrifice in performance</p>
<p> </p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager LT3 tires (MTB)  "",""price"":""1510.0"",""sku"":""86421132"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,510.00",Bontrager LT3 tires (MTB)  ,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h2><span style=""font-family: 'trebuchet ms', geneva; font-size: small;"">The LT3 are Bontrager's all-condition, light trail specialty tires designed for fast rolling on both pavement and trails.</span></h2>
<p>Features</p>
<h2> </h2>
<p>Smooth and easy rolling center section, the modern successor to the Connection/Connection Trail<br>Open tread design for trail use<br>Excellent all-purpose tire<br>Hard-Case Lite puncture protection on standard models<br>Hard-Case Ultimate models available with triple flat protection<br>All Deluxe and Hard-Case Lite level tires are made from Bontrager's exclusive Outlast construction<br>Outlast tires include natural rubber from sustainable harvest practices and up to 15% reclaimed rubber<br>Outlast tire treads last up to 50% longer than standard tire treads with no sacrifice in performance<br>Covered by Bontrager's Unconditional Performance Guarantee</p>
<h2><span style=""font-family: 'trebuchet ms', geneva; font-size: small;""> </span></h2>
                
              </div>"
Accessories,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Mudflap MTB"",""price"":""2020.0"",""sku"":""86421006"",""categories"":[""product/accessories"",""category/bike-protection"",""brand/bontrager""]},""category"":{""name"":""product/accessories""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 2,020.00",Bontrager Mudflap MTB,Delivered in 3 to 5 business days,"/spree/products/333/product/06bo274305.jpg?1353916602,/spree/products/334/product/06bo274307.jpg?1353916635","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Versatile and easy to attach, Bontrager's Rear Mudflap features a convenient quick release mounting system that attaches to virtually any seat post and is compatible with most full suspension designs.</span></p>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Key for cyclocross racers looking to stay clean during warmup. Suspension-compatible fork crown mount Quick-release system for easy on and off Fits most suspension forks with crown inner diameter 18.5mm to 25.4mm.</span></p>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Suspension-compatible fork crown mount</span></li>
<li>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Easy to mount and dismount them. </span></p>
</li>
</ul>
                
              </div>"
�Category,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Presta MTB Tube (26x1.75/2.125 PV)"",""price"":""330.0"",""sku"":""86421127"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""category""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 330.00,Bontrager Presta MTB Tube (26x1.75/2.125 PV),Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h2><span style=""font-family: 'trebuchet ms', geneva; font-size: small;"">The LT3 are Bontrager's all-condition, light trail specialty tires designed for fast rolling on both pavement and trails.</span></h2>
<p>Features</p>
<h2> </h2>
<p>Smooth and easy rolling center section, the modern successor to the Connection/Connection Trail<br>Open tread design for trail use<br>Excellent all-purpose tire<br>Hard-Case Lite puncture protection on standard models<br>Hard-Case Ultimate models available with triple flat protection<br>All Deluxe and Hard-Case Lite level tires are made from Bontrager's exclusive Outlast construction<br>Outlast tires include natural rubber from sustainable harvest practices and up to 15% reclaimed rubber<br>Outlast tire treads last up to 50% longer than standard tire treads with no sacrifice in performance<br>Covered by Bontrager's Unconditional Performance Guarantee</p>
<h2><span style=""font-family: 'trebuchet ms', geneva; font-size: small;""> </span></h2>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager R1 Road (700x23C)"",""price"":""1480.0"",""sku"":""86421138"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,480.00",Bontrager R1 Road (700x23C),Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: 'trebuchet ms', geneva; font-size: small;"">A performance tire at a great value. The R1's 60 tpi casing and Plus puncture protection provide for reasonable weight, long life, and excellent grip.</span></p>
<p>•Light and durable 60 tpi casing<br>•Tread profile helps give low rolling resistance<br>•Lightly textured tread design for excellent cornering grip in all conditions<br>•Wire bead affordability<br>•Includes Plus puncture protection</p>
<p><span style=""font-family: 'trebuchet ms', geneva; font-size: small;""> </span></p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager R2 Road (700x23C)  "",""price"":""1960.0"",""sku"":""86421139"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,960.00",Bontrager R2 Road (700x23C)  ,Delivered in 15 to 20 business days,"/spree/products/229/product/1311271953-31682100.jpg?1352383493,/spree/products/362/product/bontrager-r2-road.jpg?1354043882","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: 'trebuchet ms', geneva; font-size: small;"">The R2 tire combines the proven ride quality and construction of the R1 with aero wing technology.</span></p>
<p>Features</p>
<p> </p>
<p>Light and durable 60 tpi casing</p>
<p> </p>
<p>Bontrager-exclusive aero wings for advanced aerodynamics</p>
<p> </p>
<p>Integrated sub-tread puncture protection (Hard-Case Lite)</p>
<p> </p>
<p>Available dual-color tread allows you to customize the look of your bike</p>
<p><span style=""font-family: 'trebuchet ms', geneva; font-size: small;""> </span></p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Road Tube 700*18C - 25C PV 36mm"",""price"":""340.0"",""sku"":""86421495"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 340.00,Bontrager Road Tube 700*18C - 25C PV 36mm,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><div>The tubes are more of a essential spare for all of our rides. Its a good premium quality road tube from Bontrager.
<p>Bontrager 700X18/25 C 36MM Presta Valve</p>
<p>105 Grams<br>Premium Quality Tube<br>0.9mm Wall Thickness<br>36mm Presta Valve</p>
</div>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Satellite Short "",""price"":""3640.0"",""sku"":""86421047 "",""categories"":[""brand/bontrager"",""category/clothing"",""category/rider-protection"",""product/accessories""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ","
                Size: Small, Colour: Black
              ","Rs 3,640.00",Bontrager Satellite Short ,Delivered in 15 to 20 business days,"/spree/products/33/product/Bontrager_Shorts.jpg?1349874049,/spree/products/176/product/52.jpg?1350305249","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Combining the casual styling of a street short with the performance advantages of a cycling short, the Satellite is great for recreational riders who want the improved comfort of a cycling short without the tight-fitting, 'race' look of traditional lycra shorts.</span></p>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Features</span></p>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Comfort fit casual short with enough features to let you enjoy the ride</span></li>
</ul>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Lightweight stretch and woven fabrics with a highly breathable liner and rubberized leg gripper</span></li>
</ul>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Double layer micro fleece chamois</span></li>
</ul>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Quick-cord easy fit waistband</span></li>
</ul>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Intended for casual riding</span></li>
</ul>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">10 inch (25cm) inseam</span></li>
</ul>
                
              </div>"
�Category,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Schrader MTB tube (26x1.75/2.125 SV) "",""price"":""330.0"",""sku"":""86421128"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""category""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 330.00,Bontrager Schrader MTB tube (26x1.75/2.125 SV) ,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h2><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Features</span></h2>
<ul>
<li><span style=""font-size: small; font-family: trebuchet ms,geneva;"">0.9mm wall thickness</span></li>
<li><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Premium quality, standard weight replacement tubes</span></li>
<li><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Schrader Valve</span></li>
</ul>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Schrader MTB tube (26x2.20/2.50 SV)   "",""price"":""450.0"",""sku"":""86421129"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes"",""product/accessories""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 450.00,Bontrager Schrader MTB tube (26x2.20/2.50 SV)   ,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><div id=""content_block_description"" class=""wysiwyg-content"" style=""display: block;""><span style=""font-size: small; font-family: trebuchet ms,geneva;"">- Premium-quality butyl rubber tube. 0.9mm wall thickness.</span></div>
                
              </div>"
�Category,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Schrader Valve MTB tube (26x1.25/1.75 SV)  "",""price"":""290.0"",""sku"":""86421130"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""category""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 290.00,Bontrager Schrader Valve MTB tube (26x1.25/1.75 SV)  ,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h2><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Features</span></h2>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">0.9mm wall thickness</span></li>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Premium quality, standard weight replacement tubes</span></li>
</ul>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Select (Road) "",""price"":""710.0"",""sku"":""86421137"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 710.00,Bontrager Select (Road) ,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h2><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Features:</span></h2>
<ul>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">High quality training tire</span></li>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Slick tread for minimum rolling resistance</span></li>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Kevlar belt for extreme puncture prevention</span></li>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">60 tpi casing</span></li>
<li><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Weight: 225-350 grams</span></li>
</ul>
                
              </div>"
�Bike Protection,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Side Stand "",""price"":""950.0"",""sku"":""86421043 "",""categories"":[""product/accessories"",""category/bike-protection"",""brand/bontrager""]},""category"":{""name"":""category/bike-protection""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 950.00,Bontrager Side Stand ,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Suits disc bikes as well.</span></p>
<div><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Super strong and stable platform will hold your bike upright even with gear on the rack.</span></div>
<p> <span style=""font-size: small; font-family: trebuchet ms,geneva;"">Subtle and strong.</span></p>
<div>
<p><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Made up of alloy.</span></p>
<p><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Wouldn't wobble in the trails.</span></p>
 </div>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;""> </span></p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager Solstice Helmet"",""price"":""2700.0"",""sku"":""86421091"",""categories"":[""product/accessories"",""brand/bontrager"",""category/rider-protection""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ","
                Colour: Red
              ,
                Colour: Blue
              ,
                Colour: Silver
              ","Rs 2,700.00",Bontrager Solstice Helmet,Delivered in 3 to 5 business days,"/spree/products/177/product/53.jpg?1350305866,/spree/products/203/product/502.jpg?1352042699,/spree/products/204/product/503.jpg?1352042718","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Solstice is proof you don't have to spend a lot of money to get a great fitting, great looking, and easy-to-use helmet. </span></p>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Designed to be comfortable right out of the box, Solstice features Bontrager's proprietary LockDown strap dividers and Micro-Manager Fit System, making customizing your fit quick and easy. </span></p>
<p><span style=""font-family: trebuchet ms,geneva; font-size: small;"">Universal fit sizing adds one-size-fits-most versatility.</span></p>
<p> </p>
<h2><span style=""font-size: small;"">Features</span></h2>
<ul>
<li><span style=""font-size: small;"">Lightweight and comfortable</span></li>
<li><span style=""font-size: small;"">One-hand adjustable Micro-Manager fit system</span></li>
<li><span style=""font-size: small;"">Easy-to-use Lockdown side strap adjusters</span></li>
<li><span style=""font-size: small;"">A variety of colors to complement any color preference</span></li>
<li><span style=""font-size: small;"">Washable wicking fit pads</span></li>
<li><span style=""font-size: small;"">Removable snap-on visor</span></li>
<li><span style=""font-size: small;"">One size fits most</span></li>
<li><span style=""font-size: small;"">In-molded shell with internal reinforcements</span></li>
</ul>
<p> </p>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager SR1 Slick MTB (26x1.5)  "",""price"":""1380.0"",""sku"":""86421136"",""categories"":[""brand/bontrager"",""category/tyres-and-tubes""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,380.00",Bontrager SR1 Slick MTB (26x1.5)  ,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h2><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Put a little speed into your on-road adventures with this full-slick, fast, pavement-specific tire.</span></h2>
<h2><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Features</span></h2>
<ul>
<li><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Lightweight slick tire for your 26"" mountain bike.</span></li>
<li><span style=""font-size: small; font-family: trebuchet ms,geneva;"">Great for fast urban riding or commuting.</span></li>
</ul>
                
              </div>"
Bontrager,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Bontrager SSR Seat Post"",""price"":""1350.0"",""sku"":""85123478"",""categories"":[""brand/trek"",""product/accessories"",""brand/bontrager""]},""category"":{""name"":""brand/bontrager""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,350.00",Bontrager SSR Seat Post,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><ul>
<li>Proven design featuring straight gauge 6061-T6 aluminum tubing</li>
<li>Large, single-bolt clamp design locks the seat angle in place</li>
<li>Suitable for use on and off road</li>
</ul>
                
              </div>"
