Description,MRP,SP,Variant,,productname,imgurl,,
"With the TaylorMade RocketBallz Stage 2 Fairway Wood, a lower and more-forward center of gravity location promotes a faster ball speed, higher launch, and lower spin, resulting in better players gaining up to ten more yards compared to the original RocketBallz fairway wood. Ultra-high strength TaylorMade RocketSteel supplied by Carpenter creates a thinner and faster-flexing face, and the improved Speed Pocket design flexes faster to promote faster ball speed and more distance. A shallower face and lower head profile offers increased playability and easier launch, while the thick-thin crown design saves weight which is redistributed to improve the center of gravity location.Black clubface, non-glare white crown, and new crown graphic all promote easy alignmentUltra-light Matrix RocketFuel graphite shaft promotes fast swing speed",,12000,Right Handed 19 Stiff Matrix RocketFuel  Right Handed 19 Regular Matrix RocketFuel ,,TaylorMade RocketBallZ Stage 2 Fairway Wood (#5),golfessentials.in/images/taylormade/fairways/rbz2/1_thumb.jpg,golfessentials.in/images/taylormade/fairways/rbz2/2_thumb.jpg,golfessentials.in/images/taylormade/fairways/rbz2/3_thumb.jpg
"Unmatched ball speeds + Explosive distances = Mizuno EZ Performance

The new Mizuno JPX-EZ Fairway Wood is destined to be by far the easiest to hit and most forgiving fairway wood on the market. This revolutionary Mizuno fairway wood, designed from the ground up with the latest Mizuno engineering technology, delivers explosive distance from a wide variety of lie conditions or off the tee with added forgiveness and control for any level player, not just the typical mid to high handicap Mizuno Golf JPX player.

The Mizuno JPZ-EZ Fairway Wood features an ultra thin maraged hot metal face possessing superior strength and toughness with a slightly oversized 17-4 stainless steel body. The rebound crown design has expanded the COR area substantially and subsequently has the JPX-EZ fairway wood delivering unmatched ball speeds and explosive distance across the entire face of the club. Internal weighting allows Mizuno's deepest center of gravity yet ensuring maximum forgiveness. And a face forward design increases launch in the strongest lofts.

Mizuno Golf and their tech staff designed the JPX-EZ fairway wood to have you attacking the course and playing the game long like never before. Get one in your game and you'll see they are right.

Features 

Harmonic Impact Technology (H.I.T.) ensures a powerful and tuned, solid sound at impact
Deeper face that will challenge your driver for more tee shots
Massively deep clubhead that will inspire approach aggressiveness and attack
Fujikura Orochi Black Eye graphite shaft standard
",,14990,Right Handed 15 Regular Fujikura Orochi  Right Handed 15 Stiff Fujikura Orochi ,,Mizuno JPX-EZ Fairway #3,golfessentials.in/images/mizuno/fairways/jpx_fairway_3/1_thumb.jpg,golfessentials.in/images/mizuno/fairways/jpx_fairway_3/2_thumb.jpg,
"Unmatched ball speeds + Explosive distances = Mizuno EZ Performance

The new Mizuno JPX-EZ Fairway Wood is destined to be by far the easiest to hit and most forgiving fairway wood on the market. This revolutionary Mizuno fairway wood, designed from the ground up with the latest Mizuno engineering technology, delivers explosive distance from a wide variety of lie conditions or off the tee with added forgiveness and control for any level player, not just the typical mid to high handicap Mizuno Golf JPX player.

The Mizuno JPZ-EZ Fairway Wood features an ultra thin maraged hot metal face possessing superior strength and toughness with a slightly oversized 17-4 stainless steel body. The rebound crown design has expanded the COR area substantially and subsequently has the JPX-EZ fairway wood delivering unmatched ball speeds and explosive distance across the entire face of the club. Internal weighting allows Mizuno's deepest center of gravity yet ensuring maximum forgiveness. And a face forward design increases launch in the strongest lofts.

Mizuno Golf and their tech staff designed the JPX-EZ fairway wood to have you attacking the course and playing the game long like never before. Get one in your game and you'll see they are right.

Features 

Harmonic Impact Technology (H.I.T.) ensures a powerful and tuned, solid sound at impact
Deeper face that will challenge your driver for more tee shots
Massively deep clubhead that will inspire approach aggressiveness and attack
Fujikura Orochi Black Eye graphite shaft standard
",,14990,Right Handed 18 Regular Fujikura Orochi  Right Handed 18 Stiff Fujikura Orochi ,,Mizuno JPX-EZ Fairway #5,golfessentials.in/images/mizuno/fairways/jpx_fairway_5/1_thumb.jpg,golfessentials.in/images/mizuno/fairways/jpx_fairway_5/2_thumb.jpg,
"Callaway's Longest Fairway Wood Ever.

Callaway Golf's most recent engineering marching orders were to make a fairway wood that outperforms the best fairway wood ever created, which might seem impossible, but Callaway has done exactly that with the new X2 Hot Fairway Wood that is a technological marvel.

Features &amp; Benefits


The New Hyper Speed Face Cup has a thinner, more robust 455 Carpenter Steel face cup design . This delivers faster ball speeds all over the face for longer, more consistent distance and is designed for where most players hit the ball.
An improvement was made to the Internal Standing Wave. Weight was moved lower and forward to precisely position the center of gravity for more consistent launch and spin as hits move away from the centre.
Warbird sole design is super versatile. It's great from any lie (due to camber on the sole).
Available in 3, 5, 7, and 9-wood.
The Aldila Tour Blue Shaft is a true after-market shaft, which comes standard in the X2 Hot Fairway with the same playing characteristics as the X2 Hot Driver.
",,14990,Right Handed 15 Regular Aldila Tour Blue  Right Handed 15 Stiff Aldila Tour Blue  Left Handed 15 Regular Aldila Tour Blue ,,Callaway X 2 Hot Fairway Wood #3,golfessentials.in/images/callaway/fairways/x2_fairway_wood/1_thumb.jpg,golfessentials.in/images/callaway/fairways/x2_fairway_wood/2_thumb.jpg,golfessentials.in/images/callaway/fairways/x2_fairway_wood/3_thumb.jpg
"Trajectory Tuning Technology allows you to hone in your launch angle and spin rate to increase distance. When adding loft, the face angle closes slightly; when subtracting, the face angle opens slightly. However, we've designed our Trajectory Tuning Technology to minimize face-angle effects. This approach lets you modify the height of your trajectory by changing loft before a round to suit the playing conditions, the weather, or changes in your swing.Rear sole weighting optimizes the CG to promote a slightly lower, more penetrating ball flight with low spin, which adds distance and elevates the MOI for greater accuracy. In the compact 17-4 stainless steel head, a larger hitting surface elevates MOI from heel to toe for maximizing distance and accuracy across the face.",,21500,Men Right Handed 14.5 Regular TFC 800F  Men Right Handed 14.5 Stiff TFC 800F  Men Left Handed 14.5 Regular TFC 800F ,,Ping Anser Fairway Wood (#3),golfessentials.in/images/ping/fairways/anser3/1_thumb.jpg,golfessentials.in/images/ping/fairways/anser3/2_thumb.jpg,golfessentials.in/images/ping/fairways/anser3/3_thumb.jpg
"With an optimized CG and spin rate in the 17-4 stainless steel Serene fairway woods, women will be more confident and longer off the tee and the ground. An external weight pad in the wide-profile head positions the CG back and slightly lower to produce high launch and increase MOI in both axes.Keeping the CG from being too low helps produce moderate spin, which increases carry distance and roll from moderate-to-slow swing speeds. The clubface is slightly shallower to inspire confidence, and additional hitting surface low in the face ensures the ball will launch cleanly from a variety of lies.",,17500,Ladies Right Handed 18 L ULT 210F  Ladies Left Handed 18 L ULT 210F ,,Ping Serene Ladies Fairway Wood (#3),golfessentials.in/images/ping/fairways/serene3/1_thumb.jpg,golfessentials.in/images/ping/fairways/serene3/2_thumb.jpg,golfessentials.in/images/ping/fairways/serene3/3_thumb.jpg
"Callaway's Longest Fairway Wood Ever.

Callaway Golf's most recent engineering marching orders were to make a fairway wood that outperforms the best fairway wood ever created, which might seem impossible, but Callaway has done exactly that with the new X2 Hot Fairway Wood that is a technological marvel.

Features &amp; Benefits


The New Hyper Speed Face Cup has a thinner, more robust 455 Carpenter Steel face cup design . This delivers faster ball speeds all over the face for longer, more consistent distance and is designed for where most players hit the ball.
An improvement was made to the Internal Standing Wave. Weight was moved lower and forward to precisely position the center of gravity for more consistent launch and spin as hits move away from the centre.
Warbird sole design is super versatile. It's great from any lie (due to camber on the sole).
Available in 3, 5, 7, and 9-wood.
The Aldila Tour Blue Shaft is a true after-market shaft, which comes standard in the X2 Hot Fairway with the same playing characteristics as the X2 Hot Driver.
",,14990,Right Handed 19 Regular Aldila Tour Blue  Right Handed 19 Stiff Aldila Tour Blue ,,Callaway X 2 Hot Fairway Wood #5,golfessentials.in/images/callaway/fairways/x2_fairway_wood/1_thumb.jpg,golfessentials.in/images/callaway/fairways/x2_fairway_wood/2_thumb.jpg,golfessentials.in/images/callaway/fairways/x2_fairway_wood/3_thumb.jpg
"Trajectory Tuning Technology allows you to hone in your launch angle and spin rate to increase distance. When adding loft, the face angle closes slightly; when subtracting, the face angle opens slightly. However, we've designed our Trajectory Tuning Technology to minimize face-angle effects. This approach lets you modify the height of your trajectory by changing loft before a round to suit the playing conditions, the weather, or changes in your swing.Rear sole weighting optimizes the CG to promote a slightly lower, more penetrating ball flight with low spin, which adds distance and elevates the MOI for greater accuracy. In the compact 17-4 stainless steel head, a larger hitting surface elevates MOI from heel to toe for maximizing distance and accuracy across the face.",,21500,Men Right Handed 16.5 Regular TFC 800F  Men Right Handed 16.5 Stiff TFC 800F  Men Left Handed 16.5 Regular TFC 800F ,,Ping Anser Fairway Wood (#4),golfessentials.in/images/ping/fairways/anser4/1_thumb.jpg,golfessentials.in/images/ping/fairways/anser4/2_thumb.jpg,golfessentials.in/images/ping/fairways/anser4/3_thumb.jpg
"With an optimized CG and spin rate in the 17-4 stainless steel Serene fairway woods, women will be more confident and longer off the tee and the ground. An external weight pad in the wide-profile head positions the CG back and slightly lower to produce high launch and increase MOI in both axes.Keeping the CG from being too low helps produce moderate spin, which increases carry distance and roll from moderate-to-slow swing speeds. The clubface is slightly shallower to inspire confidence, and additional hitting surface low in the face ensures the ball will launch cleanly from a variety of lies.",,17500,Ladies Right Handed 22 L ULT 210F  Ladies Left Handed 22 L ULT 210F ,,Ping Serene Ladies Fairway Wood (#5),golfessentials.in/images/ping/fairways/serene5/1_thumb.jpg,golfessentials.in/images/ping/fairways/serene5/2_thumb.jpg,golfessentials.in/images/ping/fairways/serene5/3_thumb.jpg
" The TaylorMade Burner Superfast 2.0 Fairway Wood features the same SuperFast technology as the driver, with a lighter, longer shaft, a lighter grip and a larger, more forgiving clubhead. While everything below the hosel has been made lighter, it’s the technology and engineering in the clubhead that provides the most game-improving technology. A low and deep center of gravity provides more power and a high launch-angle for more carry and distance. Behind the clubface, they’ve enhanced the coefficient of restitution with inverted cone technology adds some spring to the clubface to increase ball speeds at the moment of impact for even more distance. TaylorMade has also included the 2.0 technology, which engineers each club for more control, higher ball flight and an improved sound and feel.  Additional Features: Long shaft, lighter weight and new low-drag aerodynamics promote faster swing speed for more distance.New head shape, large address footprint and low CG promote exceptional ease of launch and long carry.White non-glare crown and black clubface for easy alignment.",,12000,Men Right Handed 18 Regular  Men Right Handed 18 Stiff  Men Left Handed 18 Stiff ,,TaylorMade Burner Superfast 2.0 Fairway Wood (#5),golfessentials.in/images/taylormade/fairways/superfast2/1_thumb.jpg,golfessentials.in/images/taylormade/fairways/superfast2/2_thumb.jpg,golfessentials.in/images/taylormade/fairways/superfast2/3_thumb.jpg
" The TaylorMade R11 Fairway Wood is the latest and greatest from the makers of the No.1 drivers and woods in golf. It has new technology, like an adjustable sole that can adjust the face angle of the club, as well as the ability to adjust the launch angle, making it a truly adjustable fairway wood. This club promotes up to 60 yards of side-to-side trajectory change and 1,000 RPM backspin change, giving you consistent power and distance. It has a new deeper face and deeper center of gravity, which produces a more penetrating flight. The white non-glare crown and black clubface (which provides easy alignment) will improve your game and that sleek white finish will make you the center of attention on the course and in the clubhouse. The ""TP"" version is designed for more experienced players. Additional Features: Adjust the loft with Flight Control Technology (FCT)Adjust the face angle with the new Adjustable Sole Plate (ASP)","Regular Price: , 13,500",10800,Men Right Handed 19 Regular  Men Right Handed 19 Stiff  Men Left Handed 19 Regular ,,TaylorMade R11 Fairway Wood (#5),golfessentials.in/images/taylormade/fairways/r11/1_thumb.jpg,golfessentials.in/images/taylormade/fairways/r11/2_thumb.jpg,golfessentials.in/images/taylormade/fairways/r11/3_thumb.jpg
"Trajectory Tuning Technology allows you to hone in your launch angle and spin rate to increase distance. When adding loft, the face angle closes slightly; when subtracting, the face angle opens slightly. However, we've designed our Trajectory Tuning Technology to minimize face-angle effects. This approach lets you modify the height of your trajectory by changing loft before a round to suit the playing conditions, the weather, or changes in your swing.Rear sole weighting optimizes the CG to promote a slightly lower, more penetrating ball flight with low spin, which adds distance and elevates the MOI for greater accuracy. In the compact 17-4 stainless steel head, a larger hitting surface elevates MOI from heel to toe for maximizing distance and accuracy across the face.",,21500,Men Right Handed 18.5 Regular TFC 800F ,,Ping Anser Fairway Wood (#5),golfessentials.in/images/ping/fairways/anser5/1_thumb.jpg,golfessentials.in/images/ping/fairways/anser5/2_thumb.jpg,golfessentials.in/images/ping/fairways/anser5/3_thumb.jpg
" The advanced Speed Pocket is the ultimate launching pad. Engineered to dramatically increase ball speed and distance. Matte-white finish and larger head are easy to align and launch – undeniably a lethal combination. Additional Features:Better players gain 17 yards, see what you'll gainSpeed Pocket in the sole boosts ball speed dramatically for more distanceThick-Thin Crown design creates lower CG to promote higher launch for more distanceLow/forward CG for high launch and low spinLightweight shaft and grip promotes faster swing speed for more distanceWhite crown and black face makes alignment easy and eliminates glare on top",,12000,Men Right Handed 17 Regular Matrix X-CON ,,TaylorMade RBZ Fairway Wood (#3 - High Loft),golfessentials.in/images/taylormade/fairways/rbz/1_thumb.jpg,golfessentials.in/images/taylormade/fairways/rbz/2_thumb.jpg,golfessentials.in/images/taylormade/fairways/rbz/3_thumb.jpg
" R11S fairway woods improve on the adjustability established in R11 fairways. R11S fairways combine Adjustable Sole Plate Technology (ASP) with Flight Control Technology (FCT) in a high- performance steel fairway wood. The combination of ASP and FCT gives the player 24 ways to set up the R11S fairway. Adjust the loft up or down (�1.5 degrees) with Flight Control Technology (FCT)Adjust the face to square, closed or open (�2 degrees) with Adjustable Sole Plate (ASP) Technology24 possible combinations of face angle and loft to dial in distance and accuracyLow and forward CG location promotes faster ball speed and easier launchWhite crown and black face makes alignment easy and eliminates glare on top","Regular Price: , 13,500",13000,Men Right Handed 15.5 Regular Aldila RIP Phenom  Men Left Handed 15.5 Regular Aldila RIP Phenom ,,TaylorMade R11 S Fairway Wood (#3),golfessentials.in/images/taylormade/fairways/r11s/1_thumb.jpg,golfessentials.in/images/taylormade/fairways/r11s/2_thumb.jpg,golfessentials.in/images/taylormade/fairways/r11s/3_thumb.jpg
"Titleist 910F Fairway Wood has a technologically advanced head design that delivers outstanding performance for straighter, more consistent shots from the turf or tee. The patented, innovative, dual-angle SureFit Tour (SFT) hosel technology allows you to set loft and lie independently to optimize ball flight - higher or lower, and for more draw or fade - for increased distance and improved shot control while an interchangeable shaft connection and a rear weight screw provide enhanced fitting options. The compact, high performance head with a rich black, PVD and paint finish inspires confidence at address and is acoustically engineered for a hot, solid sound and feel.  Additional Features: Grip: Titleist Tour Velvet 360 RubberCrown Construction: SteelBody Construction: SteelFace Construction: SteelWrench not included","Regular Price: , 14,950",13950,Right Handed 15 Regular  Right Handed 15 Stiff ,,Titleist 910F Fairway Wood (15°),golfessentials.in/images/titleist/fairways/910f_15/1_thumb.jpg,golfessentials.in/images/titleist/fairways/910f_15/2_thumb.jpg,
Advanced Material Placement and Adjustable Flight Technology deliver easy launch and trajectory tuning. Shots from the fairway are easy with AMP Technology. Adjustable Flight Technology allows you to fine-tune your shots for more distance and accuracy.ESSENTIALSE9 Face Technology with Dual RollAdvanced Material PlacementAdjustable Flight TechnologyHEAD MATERIAL17-4 Steel Body with 465 Maraging Steel Face Insert,,17650,Right Handed 15 Regular Aldila Rip  Right Handed 15 Stiff Aldila Rip ,,Cobra AMP Fairway Wood (#3),golfessentials.in/images/cobra/fairways/amp3/1_thumb.jpg,golfessentials.in/images/cobra/fairways/amp3/2_thumb.jpg,golfessentials.in/images/cobra/fairways/amp3/3_thumb.jpg
"Shallow face design with new Tungsten Rails delivers maximum forgiveness. The Baffler T-Rail Fairways combine tungsten rail technology with a thin, high strength 455 steel face and deliver maximum forgiveness and versatility from the fairway.ESSENTIALSTungsten Rail SoleShallow Face DesignHigh-Strength FacePLAYER PROFILEFor all golfers seeking maximum forgivenessHEAD MATERIAL17-4 Stainless Steel body with 455 Maraging High Strength Steel Face",,16150,Right Handed 18 Regular  Right Handed 18 Stiff ,,Cobra Baffler T-Rail Fairway Wood (#5),golfessentials.in/images/cobra/fairways/bafflers5/1_thumb.jpg,golfessentials.in/images/cobra/fairways/bafflers5/2_thumb.jpg,golfessentials.in/images/cobra/fairways/bafflers5/3_thumb.jpg
"The Callaway RAZR Fit Xtreme Fairway Wood is built for Extreme Distance and Versatility, with Speed Frame Face Technology that delivers higher ball speeds all over the face. The proprietary adjustable hosel allows golfers to dial in shot shape and trajectory for maximum distance while the Tour Grade Aldila Trinity Shaft helps to maximize consistency and performance. These dynamic, adjustable fairway woods are extremely long out of any lie.OptiFit Technology: OptiFit Hosel allows golfers to set the face angle in either Open, Square or Closed positions to improve accuracy and trajectory.Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and increases ball speeds across the steel face for longer, more consistent distance. This technology also saves weight that can be redistributed to the perimeter of the clubhead for a higher MOI.","Regular Price: , 16,990",11900,Right Handed 18 Regular Aldila TRINITY ,,Callaway RAZR Fit Xtreme Fairway Wood (#5),golfessentials.in/images/callaway/fairways/razr_fit_xtreme/1_thumb.jpg,golfessentials.in/images/callaway/fairways/razr_fit_xtreme/2_thumb.jpg,golfessentials.in/images/callaway/fairways/razr_fit_xtreme/3_thumb.jpg
