Description,MRP,SP,Variant,,productname,imgurl
"Fresh Looks with Confident Performance

Mizuno has announced the evolution of their technology driven JPX line with the new JPX-EZ Series. Mizuno believes the JPX-EZ series irons are the pinnacle of their irons technology and offer a completely new level of distance and dispersion within a soft feeling iron. We're confident you will agree with them once you put the JPX-EZ irons in play.

The first thing Mizzy aficionados are going to notice on the newly released JPX-EZ irons is the departure from the stunningly beautiful chrome and satin-finish to a black-nickel plating and dark finish freshly bedazzled with bursts of bright orange in the cavity of the irons that some are going to like, some are going to dislike, and some are simply going to scratch their heads wondering why. Regardless of where one might fall on that likability scale or how the new color scheme may seem more at home on an eve of All Hallow's in the hands of a capped-crusading Batman - there'll be no tricks and all treats with these well-made, Mizuno proven irons.

More importantly however than the color scheme on the JPX-EZ irons - is their performance. Mizuno has the progressive cavity designed JPX-EZ irons - with no holds barred - definitely developed and marked as game changers for aggressive golfers looking to be risk takers and who are serious, along with passionate, about improving their game. With the JPX-EZ irons you are getting a great set of Mizuno quality irons that will give you the confidence to ignore the danger as any stand-up capped crusader would and go for the pin. Your odds are going to improve with the incredible new JPX-EZ irons. Combined with a high-energy player's approach to the game, you can bet on it.

Features 

Max Pocket Cavity (4-7) with massive sweet area, tightest dispersion, and effortless launch characteristics
Deep pocket Cavity (8-PW) for increased accuracy and launch control
Hot metal face with thin multi thickness design for maximum COR (coefficient of restitution = energy transfer between clubhead and ball) to deliver long, consistent distance
Harmonic Impact Technology (H.I.T) that heightens feel and sound tuned through cavity frame design
Matte Black with low glare finish to minimize surface area
Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"44,990",Men Right Handed Regular NSPRO ;,,Mizuno JPX - EZ  (5-P) Steel Irons,"http://golfessentials.in/images/mizuno/irons/jpx_5p_steel/1_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_5p_steel/2_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_5p_steel/3_thumb.jpg"
"Shot-making Pure Precision - Exemplified

The latest quality forging from Mizuno and their golf engineers is the highly-anticipated MP-4. The new MP-4 is simply stunning with its classic shape and understated graphics that traditionalists will find elegantly flash-free. And, according to Chuck Couch, vice president of golf product for Mizuno, these new Mizuno irons feel as good if not better than any iron Mizuno has ever produced.

The Mizuno MP-4 is the purest of forged muscle backs, with a noticeably smaller face at ball address, and is for shot-makers seeking the ultimate control over their ball flight. On most irons the blade length of the iron gets longer as the club gets shorter. The MP-4 bucks that and instead of increasing blade length, Mizuno engineers added weight to the MP-4 irons by increasing the size of the muscle pad behind the sweetspot of the irons, which is the reason for the irons' pronounced bulge, or ""Pure Muscle"" in the back. The muscle bulge is most prominent (go ahead, stare, it's okay) in the scoring irons and reduces down through to the slender long irons - where design emphasis is placed on creating a quick launch and steeper landing angle. According to Mizuno and their design staff, the added mass amplifies the MP-4's ""Harmonic Number"" which are the frequencies created at impact that golfers equate with feel. That added mass gives these irons a pleasing ""sticky, soft feel"" at impact that provide a feel and sound about which golfers will rave.

These irons are not for everybody though due to their CAD designed final profile and exacting nature. But, ""the Mizuno MP-4 gives real shot-makers the ultimate control over their ball flight - with the very purest feel and feedback possible. If you want to learn to become a truly great shotmaker, the MP-4 is the best teacher you can have"" states Tetsuya Kanayama, Mizuno's Manager in club development.

Features 

Pure muscle design that ensures thickness behind impact for solid feel
Shot-maker's profile with thin topline and reduced offset to help manipulate ball flight
Variable muscle bulge with more bulge in the short irons for trajectory control
New profile 8-PW more compact than previous MP irons
Grain Flow Forged from a single 1025E pure select mild carbon steel billet for enhanced feel
Double nickel mirror chrome and plated with durable finish with soft underlay
Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"65,990",Men Right Handed Regular Dynamic Gold R300 ; Men Right Handed Regular Dynamic Gold S300 ;,,Mizuno MP-4 (4-P) Steel Irons,"http://golfessentials.in/images/mizuno/irons/mp4_4p_steel/1_thumb.jpg,http://golfessentials.in/images/mizuno/irons/mp4_4p_steel/2_thumb.jpg,http://golfessentials.in/images/mizuno/irons/mp4_4p_steel/3_thumb.jpg"
"Traditionally Built, Aggressively Played

The latest release by Mizuno and their precision golf engineering masters is the wonderfully awaited MP-54 featuring a players-iron style size and shape. With the MP-54's milled pocket cavity, Mizuno was able to reposition an average of 16 grams to the blade's center section in an effort to give the new ""Step Muscle"" MP-54 iron the feel of a traditional iron.

That thickness behind the blade at impact, along with the step-muscle design (slightly larger than the MP-64) and combined with super-sweet forged from top-shelf carbon steel, gives the Mizuno MP-54 awesomely incredible feedback, feel, and improved launch angles - yet still maintains a certain level of forgiveness. But, it should be noted that level of forgiveness is for golfers, per Mizuno, who typically play in the zero to twelve handicap range. The Mizuno MP-54 is designed for shotmakers who have grown up on forgiving golf equipment and as such is crafted to awaken the shotmaker in players needing just a little forgiveness.

The Mizuno MP-54 irons keep with the gorgeous sparkle and shine tradition of beautifully made and spectacularly played golf clubs and with these irons you can expect nothing less.

Features 

Step Muscle design for additional thickness behind impact
Grain Flow Forged from a single 1025E Pure Select mild carbon steel billet for pure feel
Milled pocket cavity (3-7) for off-center stability, higher launches and steeper landing angles
Solid muscle design (8-PW) for enhanced feel and maneuverability
A perimeter grind that reduces topline appearance and sole width
Double nickel mirrored chrome plated for durable finish

Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"65,990",Men Right Handed Regular Dynamic Gold R300 ; Men Right Handed Regular Dynamic Gold S300 ;,,Mizuno MP-54 (4-P) Steel Irons,"http://golfessentials.in/images/mizuno/irons/mp54_4p_steel/1_thumb.jpg,http://golfessentials.in/images/mizuno/irons/mp54_4p_steel/2_thumb.jpg,http://golfessentials.in/images/mizuno/irons/mp54_4p_steel/3_thumb.jpg"
"Fresh Looks with Confident Performance

Mizuno has announced the evolution of their technology driven JPX line with the new JPX-EZ Series. Mizuno believes the JPX-EZ series irons are the pinnacle of their irons technology and offer a completely new level of distance and dispersion within a soft feeling iron. We're confident you will agree with them once you put the JPX-EZ irons in play.

The first thing Mizzy aficionados are going to notice on the newly released JPX-EZ irons is the departure from the stunningly beautiful chrome and satin-finish to a black-nickel plating and dark finish freshly bedazzled with bursts of bright orange in the cavity of the irons that some are going to like, some are going to dislike, and some are simply going to scratch their heads wondering why. Regardless of where one might fall on that likability scale or how the new color scheme may seem more at home on an eve of All Hallow's in the hands of a capped-crusading Batman - there'll be no tricks and all treats with these well-made, Mizuno proven irons.

More importantly however than the color scheme on the JPX-EZ irons - is their performance. Mizuno has the progressive cavity designed JPX-EZ irons - with no holds barred - definitely developed and marked as game changers for aggressive golfers looking to be risk takers and who are serious, along with passionate, about improving their game. With the JPX-EZ irons you are getting a great set of Mizuno quality irons that will give you the confidence to ignore the danger as any stand-up capped crusader would and go for the pin. Your odds are going to improve with the incredible new JPX-EZ irons. Combined with a high-energy player's approach to the game, you can bet on it.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"51,990",Men Right Handed Regular Fujikura Orochi ;,,Mizuno JPX - EZ  (5-P) Graphite Irons,"http://golfessentials.in/images/mizuno/irons/jpx_5p_graphite/1_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_5p_graphite/2_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_5p_graphite/3_thumb.jpg"
" The Callaway RAZR X HL Iron Set takes accuracy, distance and foregiveness to new highs. Each iron in this set has a low center of gravity so golfers can launch shots higher, even on impacts low on the face, so golf balls fly consistently farther and land softer on the greens. This low center of gravity makes the sweet spot more accessible at lower impact locations, where many amateurs strike the ball, meaning more accuracy and consistent distance. A Solid Impact Sole creates smooth turf interaction for better distance, accuracy and consistency and the VFT Power System, which is a fully integrated clubface/undercut cavity system, enables engineers to precisely position the center of gravity and engineer the face of each iron to maximize ball speed. This iron set is constructed of aluminum and thermoplastic polyurethane, meaning it fine-tunes sound and enhances feel off the clubface. Additional Features: RAZR TechnologySolid Impact SoleVFT Power System Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"36,990",Men Right Handed Uniflex True Temper  ;,,Callaway RAZR X HL Irons (4-S) Steel + White X Hot Stand Bag,"http://golfessentials.in/images/callaway/irons/razrx_hl/1_thumb.jpg,http://golfessentials.in/images/callaway/irons/razrx_hl/3_thumb.jpg"
"Advanced Material Placement enables customized distance and accuracy in each individual iron. Advanced Material Placement and E9 Face Technology combine to make this a versatile iron for players of all abilities.ESSENTIALSE9 Face TechnologyV Skid SoleAdvanced Material PlacementHEAD MATERIALIrons #4-7: 2-piece multi-alloy: 17-4 High Strength Steel face plasma welded to 431 Stainless Steel bodyIrons #8-SW: 1-piece 431 Stainless SteelNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"49,000",Right Handed Regular NS Pro 950 GH ; Right Handed Stiff NS Pro 950 GH ;,,Cobra AMP Iron Set (5-P) Steel Shaft,"http://golfessentials.in/images/cobra/irons/amp/1_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/2_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/3_thumb.jpg"
"Advanced Material Placement enables customized distance and accuracy in each individual iron. Advanced Material Placement and E9 Face Technology combine to make this a versatile iron for players of all abilities.ESSENTIALSE9 Face TechnologyV Skid SoleAdvanced Material PlacementHEAD MATERIALIrons #4-7: 2-piece multi-alloy: 17-4 High Strength Steel face plasma welded to 431 Stainless Steel bodyIrons #8-SW: 1-piece 431 Stainless SteelNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"60,500",Right Handed Regular Fujikura Rombax ;,,Cobra AMP Iron Set (5-P) Graphite Shaft,"http://golfessentials.in/images/cobra/irons/amp/1_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/2_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/3_thumb.jpg"
"Fresh Looks with Confident Performance

Mizuno has announced the evolution of their technology driven JPX line with the new JPX-EZ Series. Mizuno believes the JPX-EZ series irons are the pinnacle of their irons technology and offer a completely new level of distance and dispersion within a soft feeling iron. We're confident you will agree with them once you put the JPX-EZ irons in play.

The first thing Mizzy aficionados are going to notice on the newly released JPX-EZ irons is the departure from the stunningly beautiful chrome and satin-finish to a black-nickel plating and dark finish freshly bedazzled with bursts of bright orange in the cavity of the irons that some are going to like, some are going to dislike, and some are simply going to scratch their heads wondering why. Regardless of where one might fall on that likability scale or how the new color scheme may seem more at home on an eve of All Hallow's in the hands of a capped-crusading Batman - there'll be no tricks and all treats with these well-made, Mizuno proven irons.

More importantly however than the color scheme on the JPX-EZ irons - is their performance. Mizuno has the progressive cavity designed JPX-EZ irons - with no holds barred - definitely developed and marked as game changers for aggressive golfers looking to be risk takers and who are serious, along with passionate, about improving their game. With the JPX-EZ irons you are getting a great set of Mizuno quality irons that will give you the confidence to ignore the danger as any stand-up capped crusader would and go for the pin. Your odds are going to improve with the incredible new JPX-EZ irons. Combined with a high-energy player's approach to the game, you can bet on it.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"55,990",Men Right Handed Regular Fujikura Orochi ;,,Mizuno JPX - EZ  (4-P) Graphite Irons,"http://golfessentials.in/images/mizuno/irons/jpx_4p_graphite/1_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_4p_graphite/2_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_4p_graphite/3_thumb.jpg"
"Advanced Material Placement enables customized distance and accuracy in each individual iron. Advanced Material Placement and E9 Face Technology combine to make this a versatile iron for players of all abilities.ESSENTIALSE9 Face TechnologyV Skid SoleAdvanced Material PlacementHEAD MATERIALIrons #4-7: 2-piece multi-alloy: 17-4 High Strength Steel face plasma welded to 431 Stainless Steel bodyIrons #8-SW: 1-piece 431 Stainless SteelNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"10,100",Right Handed Regular Fujikura Rombax ; Right Handed Regular Fujikura Rombax ;,,Cobra AMP Single Iron - Graphite Shaft,"http://golfessentials.in/images/cobra/irons/amp/1_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/2_thumb.jpg,http://golfessentials.in/images/cobra/irons/amp/3_thumb.jpg"
"More distance in every club, from the 4-iron to the sand wedge, these new irons have earned their name. Engineered with metalwood construction and fast-flexing faces. Attack from anywhere with maximum ball speed and pinpoint accuracy.Individually engineered to promote more distance, improved accuracy and great feelTwo-piece metalwood-inspired construction in 4 and 5 irons for low CG and high CORUltra-thin face flexes freely to promote COR up to the USGA limit for high ball speedRe-engineered face with New Toe-Bar controls face-flexion to direct shots straighterNew vibration and sound control system promotes excellent feel and soundWedges incorporate new ATV sole for maximum versatility and playabilityNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 44,000","35,000",Right Handed Regular RBZ Graphite 65 ;,,TaylorMade RBZ HP Iron Set (4-S) Graphite Shaft,"http://golfessentials.in/images/taylormade/irons/rbz/1_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbz/2_thumb.jpg,http://golfessentials.in/images/taylormade/irons/rbz/3_thumb.jpg"
