Description,MRP,SP,Variant,,productname,imgurl,,
 Change the Face to Change Your Game New Flip Face Putters are an adjustable masterpiece unlike anything else in golf. Golfers now have the ability to own two putters in one  with one side of the face featuring the new Metal-X Insert and the other side featuring the White Ice Insert. The different inserts let you quickly customize your putter and fine-tune performance on the course by giving you great feel differential  ball speed differential and roll differential all in one putter. Flip Face Technology  Allows golfers to change the face insert on their putter quickly and easily to fine-tune feel and performance.Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.White Ice Insert Multi-layer insert has been fine-tuned to enhance sound  responsiveness  resiliency and consistency. The inner core enhances feel and resiliency  leading to consistent distance control. The face surface has been roughened to enhance the sound at impact with softer golf balls and increase friction to promote forward roll.Satin Chrome Finish Provides a premium  beautiful look that is a favorite on Tour.Lamkin 3GEN Pistol Grip Thin  smaller pistol shape appeals to better players. The pistol grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. The grip allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hand tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,Regular Price:   19 990,18900,Right Handed 3 34 ;,,Odyssey Flip Face #9 Putter,golfessentials.in/images/odyssey/putters/flip_face_9/1.jpg,,
 A Perfect Blend of Friction and Feel…it’s how we roll.  New Metal-X Putters represent the latest chapter in Odyssey’s long history of game-changing innovations. The Metal-X Insert provides the crisp feedback of a metal striking force  coupled with amazing feel. The unique face pattern generates the truest roll in golf and the ovals on the face develop a mechanical lock with the golf ball’s dimples at impact  creating friction and imparting an incredibly consistent roll for high precision distance control. Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.Midnight Black Finish Premium  high tech process produces a durable  glare reduction finish. This finish was added specifically based on feedback gathered from Tour players.Lamkin 3Gen Pistol Grip Thin  smaller pistol shape appeals to better players. The grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. This allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hard tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,9490,Right Handed 3 34 ;,,Odyssey Metal X Rossie Putter,golfessentials.in/images/odyssey/putters/metalx_rossie/1.jpg,golfessentials.in/images/odyssey/putters/metalx_rossie/3.jpg,
 A Perfect Blend of Friction and Feel…it’s how we roll.  New Metal-X Putters represent the latest chapter in Odyssey’s long history of game-changing innovations. The Metal-X Insert provides the crisp feedback of a metal striking force  coupled with amazing feel. The unique face pattern generates the truest roll in golf and the ovals on the face develop a mechanical lock with the golf ball’s dimples at impact  creating friction and imparting an incredibly consistent roll for high precision distance control. Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.Midnight Black Finish Premium  high tech process produces a durable  glare reduction finish. This finish was added specifically based on feedback gathered from Tour players.Lamkin 3Gen Pistol Grip Thin  smaller pistol shape appeals to better players. The grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. This allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hard tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,11490,Right Handed 3 34 ; Left Handed 3 34 ;,,Odyssey Metal X 2Ball Putter,golfessentials.in/images/odyssey/putters/metalx_2ball/1.jpg,golfessentials.in/images/odyssey/putters/metalx_2ball/2.jpg,golfessentials.in/images/odyssey/putters/metalx_2ball/3.jpg
 A Perfect Blend of Friction and Feel…it’s how we roll.  New Metal-X Putters represent the latest chapter in Odyssey’s long history of game-changing innovations. The Metal-X Insert provides the crisp feedback of a metal striking force  coupled with amazing feel. The unique face pattern generates the truest roll in golf and the ovals on the face develop a mechanical lock with the golf ball’s dimples at impact  creating friction and imparting an incredibly consistent roll for high precision distance control. Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.Midnight Black Finish Premium  high tech process produces a durable  glare reduction finish. This finish was added specifically based on feedback gathered from Tour players.Lamkin 3Gen Pistol Grip Thin  smaller pistol shape appeals to better players. The grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. This allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hard tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,9490,Right Handed 3 34 ;,,Odyssey Metal X #7 Putter,golfessentials.in/images/odyssey/putters/metalx_7/1.jpg,golfessentials.in/images/odyssey/putters/metalx_7/2.jpg,golfessentials.in/images/odyssey/putters/metalx_7/3.jpg
 This classic blade head shape features clean lines and a full-shaft offset  providing a confidence-inspiring look at address. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish to reduce glare  White Ice putters combine Tour-proven looks with Tour-inspired feel. White Ice Insert The multi-layer insert has been fine-tuned to enhance sound  responsiveness  resiliency and consistency. The inner core is 19 percent firmer to enhance the feel and 92 percent stiffer for better resiliency  leading to consistent distance control. The face surface has been roughened to enhance the sound at impact with softer golf balls. The rough texture also helps increase friction between the ball and the insert to promote forward roll. Headweight Optimization In White Ice core models  Tour-tuned weight ports in the sole optimize the putter head with the shaft length to create the ideal balance that maximizes feel  control and accuracy. Headweight optimization uses 340 gram heads on 35” putters and 355 gram heads on 33” and 34” putters to precisely tune the performance and feel. Dark Nickel Finish Creates a rich  premium look that reduces glare for the utmost in confidence. Core ModelsTour-proven looks with Tour-inspired feel for Tour-level confidenceHeadweight Optimization maximizes feelNote: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,8000,Right Handed 3 34 ;,,Odyssey White Ice #1 Putter,golfessentials.in/images/odyssey/putters/white_ice_1/1.jpg,golfessentials.in/images/odyssey/putters/white_ice_1/2.jpg,golfessentials.in/images/odyssey/putters/white_ice_1/3.jpg
 The radical new head shape features weighted alignment wings that are connected in the rear  creating a highly stable putter that increases consistency  control and accuracy. The Hi-Def alignment lines help make lining up putts easier. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish for a premium look  White Ice putters combine Tour-level performance with Tour-inspired feel. Advanced Moment of Inertia  In White Ice progressive models  the extreme perimeter weighting creates stability through the stroke and at impact for the straightest  truest putts possible. The Mini T features connecting weighted alignment wings to increase consistency and control  along with the H-Def alignment system for improved accuracy. Dark Nickel Finish Creates a rich  premium look for the utmost in confidence.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,11000,Right Handed 3 33 ; Right Handed 3 34 ; Right Handed 3 35 ;,,Odyssey White Ice MINI-T Putter,golfessentials.in/images/odyssey/putters/white_ice_minit/1.jpg,golfessentials.in/images/odyssey/putters/white_ice_minit/2.jpg,golfessentials.in/images/odyssey/putters/white_ice_minit/3.jpg
 One of the most popular head shapes Odyssey has ever created  this tour-proven design features weighted alignment wings that improve stability during the stroke and help accurately line up putts. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish to reduce glare  White Ice putters combine Tour-proven looks with Tour-inspired feel. White Ice Insert The multi-layer insert has been fine-tuned to enhance sound  responsiveness  resiliency and consistency. The inner core is 19 percent firmer to enhance the feel and 92 percent stiffer for better resiliency  leading to consistent distance control. The face surface has been roughened to enhance the sound at impact with softer golf balls. The rough texture also helps increase friction between the ball and the insert to promote forward roll. Headweight Optimization In White Ice core models  Tour-tuned weight ports in the sole optimize the putter head with the shaft length to create the ideal balance that maximizes feel  control and accuracy. Headweight optimization uses 340 gram heads on 35” putters and 355 gram heads on 33” and 34” putters to precisely tune the performance and feel. Dark Nickel Finish Creates a rich  premium look that reduces glare for the utmost in confidence. Core ModelsTour-proven looks with Tour-inspired feel for Tour-level confidenceHeadweight Optimization maximizes feelNote: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,8000,Right Handed 3 35 ; Right Handed 3 34 ;,,Odyssey White Ice #7 Putter,golfessentials.in/images/odyssey/putters/white_ice_7/1.jpg,golfessentials.in/images/odyssey/putters/white_ice_7/2.jpg,
 With weighted perimeter wings and triangulated Hi-Def alignment  the White Ice Teron is one of the most radical mallets we�ve ever created. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish for a premium look  White Ice putters combine Tour-level performance with Tour-inspired feel. Advanced Moment of Inertia  In White Ice progressive models  the extreme perimeter weighting creates stability through the stroke and at impact for the straightest  truest putts possible. The Mini T features connecting weighted alignment wings to increase consistency and control  along with the H-Def alignment system for improved accuracy. Dark Nickel Finish Creates a rich  premium look for the utmost in confidence.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,14000,Right Handed 3 34 ; Right Handed 3 35 ;,,Odyssey White Ice TERON Putter,golfessentials.in/images/odyssey/putters/white_ice_teron/1.jpg,golfessentials.in/images/odyssey/putters/white_ice_teron/2.jpg,golfessentials.in/images/odyssey/putters/white_ice_teron/3.jpg
 This #9 head shape was originally developed specifically for Phil Mickelson for use on the PGA Tour. It was so successful that it was brought into the Odyssey line and has been a fixture ever since. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish to reduce glare  White Ice putters combine Tour-proven looks with Tour-inspired feel. White Ice Insert The multi-layer insert has been fine-tuned to enhance sound  responsiveness  resiliency and consistency. The inner core is 19 percent firmer to enhance the feel and 92 percent stiffer for better resiliency  leading to consistent distance control. The face surface has been roughened to enhance the sound at impact with softer golf balls. The rough texture also helps increase friction between the ball and the insert to promote forward roll. Headweight Optimization In White Ice core models  Tour-tuned weight ports in the sole optimize the putter head with the shaft length to create the ideal balance that maximizes feel  control and accuracy. Headweight optimization uses 340 gram heads on 35” putters and 355 gram heads on 33” and 34” putters to precisely tune the performance and feel. Dark Nickel Finish Creates a rich  premium look that reduces glare for the utmost in confidence. Core ModelsTour-proven looks with Tour-inspired feel for Tour-level confidenceHeadweight Optimization maximizes feelNote: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,8000,Right Handed 3 33 ; Right Handed 3 34 ; Right Handed 3 35 ;,,Odyssey White Ice #9 Putter,golfessentials.in/images/odyssey/putters/white_ice_9/1.jpg,golfessentials.in/images/odyssey/putters/white_ice_9/2.jpg,
 A classic mallet head that has been in the lineup since Odyssey�s inception  this head design has been used by professionals across all the world�s major tours. The new White Ice Putters from Odyssey combine Tour-trusted shapes with a new look and better feel. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish to reduce glare  White Ice putters combine Tour-proven looks with Tour-inspired feel. Advanced Moment of Inertia  In White Ice progressive models  the extreme perimeter weighting creates stability through the stroke and at impact for the straightest  truest putts possible. The Mini T features connecting weighted alignment wings to increase consistency and control  along with the H-Def alignment system for improved accuracy. Dark Nickel Finish Creates a rich  premium look for the utmost in confidence.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,8000,Right Handed 3 35 ;,,Odyssey White Ice Rossie Putter,golfessentials.in/images/odyssey/putters/white_ice_rossie/1.jpg,golfessentials.in/images/odyssey/putters/white_ice_rossie/2.jpg,golfessentials.in/images/odyssey/putters/white_ice_rossie/3.jpg
 A Perfect Blend of Friction and Feel…it’s how we roll.  New Metal-X Putters represent the latest chapter in Odyssey’s long history of game-changing innovations. The Metal-X Insert provides the crisp feedback of a metal striking force  coupled with amazing feel. The unique face pattern generates the truest roll in golf and the ovals on the face develop a mechanical lock with the golf ball’s dimples at impact  creating friction and imparting an incredibly consistent roll for high precision distance control. Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.Midnight Black Finish Premium  high tech process produces a durable  glare reduction finish. This finish was added specifically based on feedback gathered from Tour players.Lamkin 3Gen Pistol Grip Thin  smaller pistol shape appeals to better players. The grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. This allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hard tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,9490,Right Handed 3 34 ; Right Handed 3 35 ;,,Odyssey Metal X #6 Putter,golfessentials.in/images/odyssey/putters/metalx_6/1.jpg,golfessentials.in/images/odyssey/putters/metalx_6/2.jpg,golfessentials.in/images/odyssey/putters/metalx_6/3.jpg
 A Perfect Blend of Friction and Feel…it’s how we roll.  New Metal-X Putters represent the latest chapter in Odyssey’s long history of game-changing innovations. The Metal-X Insert provides the crisp feedback of a metal striking force  coupled with amazing feel. The unique face pattern generates the truest roll in golf and the ovals on the face develop a mechanical lock with the golf ball’s dimples at impact  creating friction and imparting an incredibly consistent roll for high precision distance control. Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.Midnight Black Finish Premium  high tech process produces a durable  glare reduction finish. This finish was added specifically based on feedback gathered from Tour players.Lamkin 3Gen Pistol Grip Thin  smaller pistol shape appeals to better players. The grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. This allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hard tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,9490,Right Handed 3 34 ; Left Handed 3 34 ;,,Odyssey Metal X #1 Putter,golfessentials.in/images/odyssey/putters/metalx_1/1.jpg,golfessentials.in/images/odyssey/putters/metalx_1/2.jpg,golfessentials.in/images/odyssey/putters/metalx_1/3.jpg
 An extended mallet head that features the revolutionary 2-Ball alignment system  a double-bend shaft and full-shaft offset. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish for a premium look  White Ice putters combine Tour-level performance with Tour-inspired feel. Adjustable Weighting Allows you to optimize the feel and performance of your 2-Ball putter based on your personal preference. Three available weight chips can be easily switched out on the sole of the putter  precisely dialing in the head weight at 350g  360g  or 370g. 2-Ball Alignment System The legendary design provides a Tour-proven visual aid that makes lining up putts easier and more accurate. Dark Nickel Finish Creates a rich  premium look for the utmost in confidence.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,11000,Right Handed 3 33 ; Right Handed 3 35 ;,,Odyssey White Ice 2Ball Putter,golfessentials.in/images/odyssey/putters/white_ice_2ball/1.jpg,golfessentials.in/images/odyssey/putters/white_ice_2ball/2.jpg,golfessentials.in/images/odyssey/putters/white_ice_2ball/3.jpg
"PRECISION IMPACT  BETTER ACCURACY
The Nike Method 001 Golf Putter is made with a milled steel face for increased control  and Polymetal Groove technology delivers a more accurate stroke.
Benefits

Polymetal Groove technology provides greater accuracy
Combination of soft polymer and milled steel grooves for a better feel and more control
Interspersed milled steel face maintains audible feedback for proper distance control
Method Tour Tradition grip for a natural  responsive feel

Product Details

Heel-toe design
Straight shaft
Length / Lie / Loft / Angle / Hand: 33"" - 35"" / 71° / 2° / Toe down / Right Hand

Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ",,19500,Right Handed 33 ; Right Handed 34 ; Right Handed 35 ;,,Nike Method Milled 001 Putter,golfessentials.in/images/nike/putters/method_milled_001/1.jpg,golfessentials.in/images/nike/putters/method_milled_001/2.jpg,
The Ping Anser Milled Putter pays tribute to Karsten Solheim's original Anser putter head  the winningest design in golf history  by introducing seven new models to fit more putting strokes and aesthetic preferences. Each new model is fully machined using 303 stainless steel to ensure the highest quality and performance.Fully machined using 303 stainless steel  Anser Milled putters feature slight variations to the top lines  heel-toe length and toe radius to suit more style preferences. Subtle milling lines on the heel and toe ballasts prevent glare  and the Anser's elegant satin nickel finish is optically appealing.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,24500,Right Handed ; Left Handed ;,,Ping Anser Putter,golfessentials.in/images/ping/putters/anser/1.jpg,golfessentials.in/images/ping/putters/anser/2.jpg,golfessentials.in/images/ping/putters/anser/3.jpg
