Description,MRP,SP,Variant,,productname,imgurl,,
"The Callaway RAZR Fit Xtreme Driver has combined Extreme Distance and Extreme Adjustability to create Callaway's longest driver. The Forged Composite crown helps achieve the lowest CG of any adjustable driver and OptiFit Technology allows for a greater range of face angle options, CG bias options and CG height differences than the RAZR Fit. Speed Frame Technology produces fast ball speeds for longer, more consistent distance across the face.OptiFit Technology: OptiFit Hosel adjusts the face angle to Open, Square or Closed positions at address to improve accuracy and trajectory. The OptiFit Weights (13 grams and 1 gram) shift the clubhead's center of gravity to promote either Draw or Neutral ball flights. Forged Composite: Revolutionary material in the crown that's lighter, stronger than titanium, allowing Callaway's engineers to precisely control thickness for improved forgiveness. Callaway's lightest Forged Composite driver crown ever helps achieve the lowest CG in any fully adjustable driver. Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a large sweet spot and increases ball speeds across the face for longer, more consistent distance. This technology saves weight that can be redistributed to the clubhead to help optimize the CG position and create a higher MOI. It features a tighter bulge radius than the RAZR Fit for a better look at address along with more consistent sidespin and dispersion for accurate shots. Broader Trajectory and Shot Shaping Options: Incorporates a greater range of face angle options, CG bias options and CG height differences than the RAZR Fit, and is also available in more loft options than RAZR Fit. ",25990,16900,Right Handed 9.5 Stiff Aldila TRINITY ;,,Callaway RAZR Fit Xtreme Driver,golfessentials.in/images/callaway/drivers/razr_fit_xtreme_single/1.jpg,golfessentials.in/images/callaway/drivers/razr_fit_xtreme_single/2.jpg,golfessentials.in/images/callaway/drivers/razr_fit_xtreme_single/3.jpg
"COBRA Reaches Extreme Distance with the Long Tom DriverCOBRA is going the distance and letting it fly with the Long Tom Driver, a four foot long, ultra light driver that is the ultimate weapon for jaw-dropping distance. The Long Tom has a Blackbird shaft by Grafalloy, is packed with technology and has the highest length to weight ratio of any COBRA Driver, making the Long Tom Driver a machine built for extreme distance.ESSENTIALSHighest Length to Weight ratio of any COBRA driverAdvanced Material PlacementE9 Face Technology with Dual RollUltralight Grafalloy Blackbird shaft",,27200,Right Handed 9 Regular Grafalloy Blackbird ; Right Handed 9 Stiff Grafalloy Blackbird ; Right Handed 10 Regular Grafalloy Blackbird ;,,Cobra Long Tom Driver,golfessentials.in/images/cobra/drivers/long_tom/1.jpg,golfessentials.in/images/cobra/drivers/long_tom/2.jpg,golfessentials.in/images/cobra/drivers/long_tom/3.jpg
"SLDR is built to help you hit longer/straighter drives by promoting a high launch angle, lower spin-rate and faster ball speed. That's what makes SLDR the longest driver ever.SLDR's CG location is both low and forward, due in large part to the large, 20-gram sliding weight on the sole. That promotes a dramatic leap in distance.Moving the CG forward in a driver is a monumental shift in metalwood thinking. For years it's been accepted that low and back was the ideal CG location for a driver. We've found this is not the best way to generate the most distance.Long distance comes from combining of fast ball speed, high launch-angle and low spin-rate. We've discovered that moving the CG forward promotes more ball speed and less spin. To launch the ball on a high enough angle to maximize distance, we've discovered that most golfers benefit from increasing their loft, some by as much two or three degrees.In addition to the low-forward CG benefits, the SLDR weight also represents a complete reinvention of movable weight, making it more effective and easier to use.? Movable weight shifts the clubhead's CG horizontally toward either the heel, to promote a draw, or toward the toe, to promote a fade. SLDR's sliding weight allows you to shift the CG far enough to promote a side-to-side trajectory change of up to 30 yards.The SLDR weight slides on the track and never comes loose from the clubhead. To slide the weight to any of the 21 positions on the track, simply loosen the screw, slide the weight, then tighten the screw. It takes as little as ten seconds. And the sole is marked with the words ""fade"" at the toe-end of the track and ""draw"" at the heel-end of the track to make it clear where you should position the weight to promote the shot-shape you want.SLDR also incorporates our Loft-sleeve Technology, which allows you to adjust the loft. You can choose from 12 positions within a range of plus-or-minus 1.5 degrees of loft change.Aesthetically, SLDR's confluence of shape, color and visual accents make it one of the most visually compelling clubs we've ever created. Its striking modern-classic shape, charcoal-gray crown and chrome ""button-back"" all adds up to a remarkably beautiful appearance at address. And the clean design of SLDR's movable weight mechanism, including the single, blue weight and the track it slides in makes its appearance equally striking.Longest TaylorMade driver everLow-and-forward CG promotes high launch, fast speed and low spin for huge distanceEasy and intuitive SLDR movable weight promotes up to 30 yards of shot shape adjustmentIncrease or reduce the loft 1.5 Deg  with 12-position loft-sleeveSilver button-back works with subtle crown markings for easy clubface alignmentFujikura Speeder 57 shaft blends light weight with great feel and playabilityStunning modern-classic shape with charcoal-gray crown",26900,23900,Right Handed 10.5 Regular ; Right Handed 10.5 Stiff ;,,TaylorMade SLDR Driver ( 9 -12 Degree Loft ),golfessentials.in/images/taylormade/drivers/sldr/1.jpg,golfessentials.in/images/taylormade/drivers/sldr/2.jpg,golfessentials.in/images/taylormade/drivers/sldr/3.jpg
"Longer, Faster, More Forgiving

Callaway's new X2 Hot driver is challenging the driver market with its all new longer, incredibly faster, and more forgiving technology sure to bring trophy-shelf Callaway performance to your driving game.

Features &amp; Benefits:


Hyper Speed Face Technology with the new Advanced OptiFit Hosel (same one found on OptiForce driver) has a bigger, deeper &amp; faster face making it hotter in a bigger circle.
Advanced Optifit Hosel enables golfers to independently adjust loft and lie angle and choose from four lofts (from -1 to +2) to optimize launch angle and backspin and two different lies, Draw and Neutral.
3 distinctly shaped clubheads and 12 total lofts: comes in 9, 10.5 and 13.5 degree heads (all are 460ccs), each head can be adjusted down 1 degree and up 2 degrees.
The crown of the driver has changed to a slightly darker finish for better appeal and to prevent glare.
The Aldila Tour Blue Shaft is a true after-market shaft, which comes standard in the X2 Hot Driver.
The shaft doesn't rotate when you alter the settings keeping the graphics and orientation in line.
",,21990,Men Right Handed 9 Stiff Aldila Tour Blue ; Men Right Handed 10.5 Regular Aldila Tour Blue ; Men Left Handed 10.5 Regular Aldila Tour Blue ; Ladies Right Handed 13.5 Ladies Aldila Tour Blue ;,,Callaway X 2 Hot Driver,golfessentials.in/images/callaway/drivers/x2_hot/1.jpg,golfessentials.in/images/callaway/drivers/x2_hot/2.jpg,golfessentials.in/images/callaway/drivers/x2_hot/3.jpg
"Outrageous Ball Speed. Explosive Distance. That's what you'll get with the Callaway X Hot Driver. With its OptiFit design, the X Hot Driver also provides enhanced adjustability for a wide range of swings. A lighter configuration, optimized CG and larger sweet spot help to maximize length, and the OptiFit Hosel lets golfers set the speed frame face to fine tune their trajectory off the tee.OptiFit Technology: OptiFit Hosel allows golfers to set the adjustable speed frame face in either the Open, Square or Closed positions to fine tune trajectory and appearance.Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and fast ball speed for maximum distance. This technology also saves weight that can be redistributed to the perimeter of the clubhead for a higher MOI. Ultra Thin Wall Casting Technology: Callaway's thinnest casting technology ever creates a lighter overall configuration and an optimized CG to promote more distance. Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance. ",19990,13390,Right Handed 9.5 Stiff Project X ;,,Callaway X Hot Driver,golfessentials.in/images/callaway/drivers/xhot_single/1.jpg,golfessentials.in/images/callaway/drivers/xhot_single/2.jpg,
"The CG position in the large-profile 460cc, Ti 3-1-1-1 clubhead is lower and farther back to help generate a high launch and low spin trajectory that increases carry distance and roll out. An expanded clubface made of Ti 6-4 inspires confidence and produces a big increase in MOI to maintain distance and accuracy on mis-hits.The high-balance-point PING ULT 210D shaft positions the CG closer to the grip end, allowing the driver to be lengthened one-half inch to 45 inches with no change to head mass or swing weight. Swinging a longer shaft at the same weight allows you to increase clubhead speed and ball velocity with greater forgiveness for longer, straighter tee shots.",,24500,Ladies Right Handed 10.5 L ULT 210D ; Ladies Right Handed 12 L ULT 210D ; Ladies Right Handed 14 L ULT 210D ;,,Ping Serene Ladies Driver,golfessentials.in/images/ping/drivers/serene/1.jpg,golfessentials.in/images/ping/drivers/serene/2.jpg,golfessentials.in/images/ping/drivers/serene/3.jpg
"Big Bertha Is Back, And She's A Lot Meaner! 

The new Callaway Big Bertha Driver is so revolutionary, it deserves to carry the most legendary name in golf. It's faster, more robust, with Callaway's new Adjustable Perimeter Weighting for maximum distance from a total performance driver. 
""We didn't bring the name back out of some misguided sense of nostalgia. We brought it back to advance the science of hitting the ball far."" - Dr. Alan Hocknell, SVP, Research &amp; Development 

Features:

Adjustable Perimeter Sliding Weighting for more forgiveness and an infinite number of Draw and Fade bias options
Increase or decrease loft (up to +2deg. or down -1deg.) and adjust Draw or Neutral bias with new Advanced Adjustable Hosel Technology
New Hyper Speed Face is lighter, hotter, and more robust than ever before, increasing ball speeds all across the face 
High strength, lightweight, forged composite crown for ultimate performance 
Available in Right-hand 
Includes headcover
 
Big Bertha... Callaway's Longest Total Performance Driver!",,25990,Right Handed 9 Stiff Mitsubishi Fubuki Zeta ; Right Handed 10.5 Regular Mitsubishi Fubuki Zeta ;,,Callaway Big Bertha Driver,golfessentials.in/images/callaway/big_bertha/1.jpg,golfessentials.in/images/callaway/big_bertha/2.jpg,golfessentials.in/images/callaway/big_bertha/3.jpg
"The Women's AMP Driver features Advanced Material Placement, E9 Face Technology and Adjustable Flight Technolog to deliver blistering ball speeds and customized performance.ESSENTIALSE9 Face Technology with Dual RollAdvanced Material PlacementAdjustable Flight Technology",,26700,Ladies Right Handed 13.5 L Aldila Rip ;,,Cobra AMP Women's Driver ,golfessentials.in/images/cobra/drivers/amp_womens/1.jpg,golfessentials.in/images/cobra/drivers/amp_womens/2.jpg,golfessentials.in/images/cobra/drivers/amp_womens/3.jpg
"Trajectory Tuning Technology allows you to hone in your launch angle and spin rate to increase distance. When adding loft, the face angle closes slightly; when subtracting, the face angle opens slightly. However, our Trajectory Tuning Technology minimizes face-angle effects. This lets you fine-tune the height of your trajectory by changing loft before a round to suit the playing conditions, the weather, or changes in your swing. The body of the traditionally shaped 460cc head is centrifugally cast into a complex, variable-thickness geometry from Ti 8-1-1, a light, low-density alloy, which yields extra weight that is redistributed to increase MOI on both axes.A variable-thickness face helps generate incredible ball velocity. External sole weighting positions the CG low and raises the MOI, which provides a mid-high launch that adds to distance and forgiveness. Its straight-bias head rotation promotes square impact, and the Anser's low-spin design minimizes left or right curvature to help drives find the fairway. It has a non-glare, matte black finish.",,32500,Men Right Handed 8.5 Regular TFC 800D ; Men Right Handed 8.5 Stiff TFC 800D ; Men Right Handed 8.5 X-Stiff TFC 800D ; Men Left Handed 8.5 Regular TFC 800D ; Men Right Handed 9.5 Regular TFC 800D ; Men Right Handed 10.5 Regular TFC 800D ; Men Right Handed 10.5 Stiff TFC 800D ; Men Left Handed 10.5 Regular TFC 800D ; Men Right Handed 12 Regular TFC 800D ;,,Ping Anser Driver,golfessentials.in/images/ping/drivers/anser/1.jpg,golfessentials.in/images/ping/drivers/anser/2.jpg,golfessentials.in/images/ping/drivers/anser/3.jpg
"A full 14 grams lighter than Burner 09Lighter to promote faster clubhead speed to promote monstrous distanceMore aerodynamic head shape reduces dragPromotes more ball speed for 1.5 yards more distanceBigger, more expansive clubface is easier to hit and inspires confidenceUltra-Thin Wall Technology allows thinner clubhead walls than found in most competitive drivers",18000,14400,Right Handed 9.5 Regular ;,,TaylorMade Burner Superfast Driver (9.5 Reg),golfessentials.in/images/taylormade/drivers/burner_superfast/1.jpg,golfessentials.in/images/taylormade/drivers/burner_superfast/2.jpg,golfessentials.in/images/taylormade/drivers/burner_superfast/3.jpg
"PURE. FRESH. JUICY. SWEET TECHNOLOGY.Trusted and Tour proven by the best, the AMP Driver features Advanced Material PlacementTM, E9 Face TechnologyTM and Adjustable Flight TechnologyTM to deliver blistering ball speeds and customized performance.ESSENTIALSE9 Face Technology With Dual RollAdjustable Flight TechnologyAdvanced Material PlacementHEAD MATERIALTitanium 6-4 head with semi-forged, milled titanium face",,26700,Right Handed 9.5 Stiff Aldila Rip ; Right Handed 10.5 Regular Aldila Rip ;,,Cobra AMP Driver,golfessentials.in/images/cobra/drivers/amp/1.jpg,golfessentials.in/images/cobra/drivers/amp/2.jpg,golfessentials.in/images/cobra/drivers/amp/3.jpg
" Improved SuperFast technology and a more aerodynamic clubhead shape makes it longer, lighter and faster.At only 270 grams, it is lighter and faster than any previous TaylorMade driver while the ultra-large face promotes higher launch and lower spin, all for more distance. Longer shaft, lighter weight (279 grams) and new low-drag aerodynamics promote faster wing speed for more distanceBigger, deeper clubface works with low CG promote higher launch/lower spin for increased carryNew head shape and Inverted Cone face technology create the largest sweetspot of any TaylorMade driverWhite non-glare crown and black clubface makes alignment easy Custom Options are currently not available online.Please check back soon or use our “Retail Locator” to find a Retailer or Pro Shop nearyou. ",17000,13600,Right Handed 9.5 Stiff ; Right Handed 10.5 Stiff ;,,TaylorMade Burner Superfast 2.0 (9.5 Stiff),golfessentials.in/images/taylormade/drivers/superfast2/1.jpg,golfessentials.in/images/taylormade/drivers/superfast2/2.jpg,golfessentials.in/images/taylormade/drivers/superfast2/3.jpg
